Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,86.98,0.00,0.00,7.31,7.13
2020-09-30,89.74,0.00,0.00,8.22,7.98
2020-06-30,103.97,0.00,0.00,9.67,9.50
2020-03-31,73.23,0.00,0.00,8.20,7.14
2019-12-31,87.32,42.60,30.04,7.26,8.80
2019-09-30,74.23,39.91,27.41,6.60,7.64
2019-06-30,84.96,60.26,38.67,8.12,9.17
2019-03-31,86.01,73.51,47.45,8.84,9.30
2018-12-31,63.59,124.69,52.19,7.04,7.26
2018-09-30,69.08,0.00,187.11,8.15,8.14
2018-06-30,67.00,0.00,0.00,8.21,8.17
2018-03-31,83.33,0.00,2170.05,10.85,11.32
2017-12-31,94.71,0.00,0.00,12.27,12.59
2017-09-30,116.74,0.00,0.00,14.01,16.59
2017-06-30,125.91,0.00,448.56,25.21,19.00
2017-03-31,133.67,0.00,0.00,28.31,21.18
2016-12-31,100.27,185.69,105.51,45.14,17.55
2016-09-30,94.29,120.88,104.98,47.98,17.68
2016-06-30,79.98,216.16,172.48,50.58,16.06
2016-03-31,72.47,301.96,83.95,59.63,15.83
2015-12-31,108.45,0.00,320.38,118.27,26.22
2015-09-30,110.38,0.00,579.73,231.31,30.90
2015-06-30,104.21,2084.20,297.83,340.33,29.06
2015-03-31,91.66,0.00,607.42,-383.84,27.73
2014-12-31,73.11,0.00,0.00,-153.05,25.02
2014-09-30,49.05,0.00,0.00,-92.44,17.28
2014-06-30,56.44,0.00,0.00,-55.57,24.13
2014-03-31,53.52,0.00,0.00,-55.19,21.75
2013-12-31,50.63,0.00,1529.61,-42.73,20.69
2013-09-30,38.15,0.00,0.00,213.13,14.29
2013-06-30,22.00,0.00,0.00,-121.08,8.52
2013-03-31,23.41,0.00,0.00,-19.40,9.38
2012-12-31,16.61,0.00,0.00,-12.67,7.38
2012-09-30,18.05,0.00,0.00,-10.76,11.25
2012-06-30,22.70,0.00,0.00,-13.60,17.80
2012-03-31,19.30,0.00,0.00,-9.93,24.68
2011-12-31,15.01,0.00,0.00,-8.36,19.84
2011-09-30,13.97,0.00,0.00,-9.75,11.34
2011-06-30,18.94,0.00,0.00,-17.52,15.31
2011-03-31,15.85,0.00,0.00,-18.87,10.63
2010-12-31,16.56,0.00,21.47,-23.03,12.03
2010-09-30,15.99,0.00,9.04,-15.19,21.67
2010-06-30,11.07,0.00,6.78,-12.89,18.17
2010-03-31,13.93,0.00,9.86,-14.74,60.90
2009-12-31,9.11,0.00,78.33,-10.58,99.84
2009-09-30,6.75,0.00,0.00,-4.01,192.92
2009-06-30,3.29,0.00,0.00,-1.11,89.17
2009-03-31,2.34,0.00,0.00,-0.89,64.91
2008-12-31,3.79,0.00,0.00,-1.67,84.97
2008-09-30,7.65,0.00,0.00,-4.19,51.00
2008-06-30,7.61,0.00,0.00,-2.73,34.91
2008-03-31,10.51,0.00,0.00,-4.51,31.24
2007-12-31,10.05,0.00,0.00,-5.33,24.55
2007-09-30,7.15,0.00,0.00,-4.26,18.93
2007-06-30,6.00,0.00,0.00,-4.22,15.59
2007-03-31,6.59,0.00,0.00,-5.30,19.32
2006-12-31,5.84,0.00,0.00,-5.78,17.70
