Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,99.23,45.73,29.72,4.61,9.30
2020-08-31,79.57,34.75,35.58,3.69,7.47
2020-05-31,69.01,34.85,20.37,3.38,6.46
2020-02-29,70.60,32.54,18.94,3.37,6.48
2019-11-30,71.85,57.94,25.86,3.40,6.66
2019-08-31,64.89,69.03,23.62,3.16,6.08
2019-05-31,56.76,51.60,21.54,2.71,5.44
2019-02-28,52.58,52.06,20.47,2.52,5.18
2018-11-30,52.78,39.68,20.13,2.61,5.36
2018-08-31,54.39,39.13,23.67,2.72,5.72
2018-05-31,48.74,32.93,23.43,2.46,5.29
2018-02-28,46.53,32.31,28.73,2.28,5.23
2017-11-30,44.13,43.69,26.19,2.20,5.11
2017-08-31,46.32,48.25,26.96,2.40,5.08
2017-05-31,45.34,87.20,38.45,2.38,5.00
2017-02-28,39.36,140.57,23.18,2.07,4.22
2016-11-30,35.54,296.19,34.66,1.82,4.00
2016-08-31,36.91,922.70,33.40,1.85,4.40
2016-05-31,33.99,261.46,29.71,0.00,5.44
2016-03-31,34.96,92.00,27.94,2.86,6.52
2016-02-29,27.51,65.51,8.79,0.00,4.51
2015-12-31,29.84,57.38,12.88,0.00,7.79
2015-11-30,29.17,56.10,36.63,3.18,5.56
2015-08-31,28.26,50.47,17.35,0.00,5.53
2015-05-31,26.51,50.99,0.00,0.00,9.36
2015-03-31,26.60,71.90,8.47,0.00,6.21
2015-02-28,26.36,32.94,5.79,0.00,6.13
