Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,61.61,12.47,12.46,3.09,3.37
2020-12-31,49.53,10.03,10.01,2.48,2.71
2020-09-30,51.11,10.02,10.80,2.81,2.83
2020-06-30,58.65,10.80,11.70,3.04,3.25
2020-03-31,52.76,10.23,12.88,2.93,3.09
2019-12-31,58.06,12.30,15.34,3.21,3.63
2019-09-30,49.72,11.67,15.28,2.91,3.21
2019-06-30,45.88,10.69,15.46,2.71,3.01
2019-03-31,51.15,11.57,19.04,3.11,3.37
2018-12-31,44.42,9.92,14.65,2.69,2.96
2018-09-30,44.48,13.86,14.49,2.84,3.05
2018-06-30,46.48,16.78,17.50,3.06,3.37
2018-03-31,48.42,21.05,19.82,3.22,3.65
2017-12-31,42.63,21.53,19.95,2.89,3.29
2017-09-30,34.96,12.22,14.37,2.31,2.73
2017-06-30,30.75,11.78,12.70,2.11,2.43
2017-03-31,32.63,14.19,13.93,2.30,2.63
2016-12-31,32.58,15.44,13.04,2.33,2.67
2016-09-30,33.65,15.87,15.45,2.53,2.83
2016-06-30,29.02,14.02,11.90,2.24,2.50
2016-03-31,28.37,12.07,11.54,2.19,2.46
2015-12-31,29.95,12.80,12.54,2.32,2.65
2015-09-30,26.00,11.11,10.50,2.15,2.33
2015-06-30,26.04,11.03,11.86,2.15,2.35
2015-03-31,26.58,11.26,11.23,2.29,2.40
2014-12-31,30.63,13.14,15.01,2.60,2.79
2014-09-30,29.19,13.90,15.11,2.53,2.70
2014-06-30,25.73,12.74,13.98,2.15,2.44
2014-03-31,21.31,11.46,12.41,1.83,2.06
2013-12-31,21.22,11.29,10.75,1.81,2.05
2013-09-30,18.57,10.04,9.06,1.67,1.81
2013-06-30,19.44,10.51,10.08,1.80,1.90
2013-03-31,17.35,8.68,8.95,1.68,1.69
2012-12-31,16.22,7.61,10.65,1.57,1.57
2012-09-30,17.64,7.70,11.56,1.78,1.72
2012-06-30,20.57,8.72,11.60,2.11,1.99
2012-03-31,21.54,9.13,13.02,2.31,2.13
2011-12-31,18.44,7.71,9.78,2.01,1.86
2011-09-30,16.08,6.87,8.71,1.78,1.72
2011-06-30,16.54,7.49,10.69,1.79,1.91
2011-03-31,14.95,6.86,8.84,1.68,1.84
2010-12-31,15.45,7.54,7.66,1.72,2.02
2010-09-30,14.00,7.53,7.87,1.64,1.86
2010-06-30,14.07,8.43,7.29,1.71,1.94
2010-03-31,16.01,14.69,8.28,2.07,2.36
2009-12-31,14.54,18.88,12.33,1.93,2.33
2009-09-30,13.84,33.76,15.26,1.96,2.38
2009-06-30,11.62,27.02,16.38,1.67,1.96
2009-03-31,10.46,13.41,18.24,1.50,1.71
2008-12-31,10.10,10.98,10.14,1.42,1.55
2008-09-30,12.79,10.15,8.84,1.83,1.86
2008-06-30,14.58,11.95,9.30,2.04,2.15
2008-03-31,14.29,12.32,9.69,2.01,2.16
2007-12-31,17.87,15.15,13.91,2.43,2.76
2007-09-30,17.26,16.29,14.25,2.46,2.73
2007-06-30,15.77,16.26,15.41,2.31,2.58
2007-03-31,12.65,14.05,16.05,1.95,2.10
2006-12-31,13.32,15.48,16.41,2.09,2.21
