Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,25.56,42.60,7.98,3.61,1.11
2020-09-30,16.48,11.45,5.15,2.33,0.69
2020-06-30,16.73,14.54,8.46,2.62,0.67
2020-03-31,15.55,9.15,5.35,2.35,0.60
2019-12-31,21.92,13.13,6.44,3.00,0.84
2019-09-30,20.25,12.13,7.10,3.13,0.77
2019-06-30,20.97,12.63,7.25,3.30,0.81
2019-03-31,19.29,12.06,7.33,3.16,0.76
2018-12-31,18.75,11.87,18.80,2.96,0.75
2018-09-30,20.60,13.29,15.40,3.65,0.85
2018-06-30,20.93,13.86,26.42,3.84,0.88
2018-03-31,20.37,14.76,23.77,3.67,0.88
2017-12-31,17.67,12.02,9.67,3.01,0.78
2017-09-30,18.06,12.54,37.00,3.44,0.73
2017-06-30,21.18,15.24,12.34,4.14,0.89
2017-03-31,21.00,13.73,14.64,4.16,0.91
2016-12-31,19.86,13.33,25.97,3.78,0.90
2016-09-30,18.85,14.07,11.15,3.91,1.00
2016-06-30,19.36,16.13,17.15,3.91,1.03
2016-03-31,19.11,17.22,12.30,3.96,1.03
2015-12-31,19.25,17.50,15.17,3.86,1.05
2015-09-30,15.74,13.11,9.63,3.38,0.86
2015-06-30,15.75,12.81,11.57,3.21,0.87
2015-03-31,17.98,15.36,16.07,3.82,1.00
2014-12-31,16.79,14.99,13.04,3.23,0.95
2014-09-30,14.74,17.76,13.55,2.91,0.84
2014-06-30,15.62,21.40,16.23,2.96,0.91
2014-03-31,13.66,20.08,12.28,2.66,0.82
2013-12-31,14.03,23.77,14.35,2.65,0.85
2013-09-30,13.56,16.33,37.72,2.42,0.85
2013-06-30,11.43,13.13,0.00,2.03,0.73
2013-03-31,10.18,11.18,0.00,1.76,0.67
2012-12-31,8.56,9.01,21.92,1.45,0.57
2012-09-30,8.59,11.30,259.47,1.74,0.59
2012-06-30,8.33,8.25,13.69,1.67,0.59
2012-03-31,8.71,8.89,11.23,1.59,0.64
2011-12-31,7.39,7.54,30.00,1.33,0.55
2011-09-30,5.43,6.39,7.29,0.00,0.41
2011-06-30,9.36,17.67,16.85,0.00,0.73
2011-03-31,9.36,19.11,11.58,0.00,0.74
2010-12-31,7.88,17.90,5.92,1.50,0.63
2010-09-30,7.44,23.25,7.38,0.00,0.61
2010-06-30,5.29,19.58,4.40,0.00,0.44
2010-03-31,6.17,38.56,6.43,0.00,0.51
2009-12-31,5.47,36.49,5.87,1.05,0.45
2009-09-30,5.58,18.59,6.89,0.00,0.46
2009-06-30,3.75,10.70,6.16,0.00,0.29
2009-03-31,3.06,6.37,3.50,0.00,0.23
2008-12-31,2.94,5.99,2.09,0.62,0.21
2008-09-30,5.75,14.02,5.18,0.00,0.41
2008-06-30,6.38,23.62,5.54,0.00,0.45
2008-03-31,6.24,18.34,12.41,0.00,0.46
2007-12-31,6.01,30.07,20.11,1.22,0.45
2007-09-30,7.70,0.00,13.84,0.00,0.56
2007-06-30,8.45,169.09,32.81,0.00,0.61
2007-03-31,9.13,0.00,86.21,0.00,0.64
2006-12-31,9.08,0.00,0.00,2.19,0.63
