Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,234.56,114.42,51.93,5.05,10.49
2020-09-30,169.97,86.28,37.63,3.66,7.79
2020-06-30,160.39,67.39,32.11,3.50,7.29
2020-03-31,110.28,36.64,27.11,2.49,4.75
2019-12-31,144.92,43.26,40.93,3.20,5.93
2019-09-30,135.60,28.07,42.55,3.02,5.47
2019-06-30,154.25,27.54,61.31,3.47,6.13
2019-03-31,151.78,23.46,44.96,3.55,5.86
2018-12-31,113.29,15.35,26.50,2.72,4.26
2018-09-30,156.07,22.49,37.23,3.78,5.75
2018-06-30,220.63,30.60,40.01,5.46,7.93
2018-03-31,233.38,33.77,39.19,5.88,8.62
2017-12-31,214.13,33.67,39.74,5.68,8.29
2017-09-30,185.06,27.25,34.96,5.06,7.58
2017-06-30,145.10,24.30,32.92,4.30,6.54
2017-03-31,120.70,22.73,40.62,3.87,6.00
2016-12-31,98.71,20.35,31.00,3.37,5.27
2016-09-30,82.35,17.90,30.39,2.91,4.65
2016-06-30,80.00,17.82,26.39,2.99,4.62
2016-03-31,96.08,21.89,26.29,3.78,5.65
2015-12-31,89.16,19.60,24.61,3.74,5.28
2015-09-30,75.97,16.96,21.97,3.30,4.57
2015-06-30,85.18,19.58,34.96,3.86,5.38
2015-03-31,92.70,22.50,50.16,4.51,6.14
2014-12-31,74.92,19.66,43.05,3.75,5.14
2014-09-30,68.78,19.99,41.30,3.46,4.97
2014-06-30,68.80,21.50,40.21,3.50,5.16
2014-03-31,71.08,23.08,33.99,3.85,5.51
2013-12-31,77.61,26.04,83.50,4.34,6.27
2013-09-30,56.35,19.10,52.20,3.32,4.69
2013-06-30,60.73,20.59,56.52,3.83,5.17
2013-03-31,66.41,23.14,52.82,4.42,5.94
2012-12-31,66.65,23.72,32.07,4.61,6.09
2012-09-30,56.74,20.41,37.50,3.99,5.32
2012-06-30,43.16,16.41,30.08,3.29,4.18
2012-03-31,51.54,20.29,53.65,3.99,5.06
2011-12-31,33.54,13.97,47.54,3.60,3.44
2011-09-30,43.01,18.54,50.39,4.88,4.61
2011-06-30,72.00,37.11,140.67,8.49,8.62
2011-03-31,57.11,37.33,83.22,7.48,7.86
2010-12-31,31.31,27.71,42.51,4.64,4.97
2010-09-30,23.90,37.35,36.27,3.91,4.47
2010-06-30,15.08,36.78,16.76,2.77,3.24
2010-03-31,14.64,91.51,20.16,2.68,3.55
2009-12-31,16.57,138.05,17.58,2.97,4.12
2009-09-30,15.05,60.20,23.32,2.71,3.66
2009-06-30,10.86,25.26,22.21,2.02,2.43
2009-03-31,8.34,12.83,28.40,1.59,1.74
2008-12-31,13.05,16.31,0.00,2.41,2.63
2008-09-30,19.32,24.77,0.00,3.79,3.94
2008-06-30,18.63,25.17,0.00,3.68,4.04
2008-03-31,15.54,22.52,0.00,3.19,3.56
2007-12-31,19.79,29.99,0.00,4.35,4.79
2007-09-30,19.47,52.61,0.00,4.52,4.52
