Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,26.24,57.03,11.16,8.07,1.81
2020-06-30,25.03,35.75,12.44,7.04,1.72
2020-03-31,22.32,21.47,11.96,5.72,1.50
2019-12-31,29.27,31.81,19.14,5.74,1.97
2019-09-30,29.18,21.77,18.08,5.54,1.98
2019-06-30,27.67,23.06,16.03,4.79,1.87
2019-03-31,30.76,25.42,17.03,5.01,2.08
2018-12-31,27.63,21.75,14.10,4.25,1.87
2018-09-30,28.92,36.15,20.47,4.27,1.96
2018-06-30,28.86,43.72,19.91,4.01,1.96
2018-03-31,26.63,42.26,22.47,3.37,1.83
2017-12-31,30.04,43.53,20.70,3.70,2.08
2017-09-30,30.50,38.12,23.56,4.36,2.10
2017-06-30,26.56,35.90,19.80,3.78,1.84
2017-03-31,27.14,71.42,25.02,3.77,1.87
2016-12-31,24.32,52.87,26.93,3.31,1.68
2016-09-30,27.64,92.14,21.13,3.39,1.94
2016-06-30,28.97,76.23,24.58,3.39,2.04
2016-03-31,24.34,35.28,15.98,9.90,1.72
2015-12-31,19.08,32.90,15.95,7.63,1.35
2015-09-30,21.54,35.31,18.98,7.34,1.48
2015-06-30,21.17,42.34,24.67,6.18,1.40
2015-03-31,24.55,14.88,38.13,6.83,1.58
2014-12-31,25.68,15.28,32.49,6.19,1.60
2014-09-30,21.69,11.60,31.52,8.98,1.35
2014-06-30,23.55,12.46,24.08,3.50,1.47
2014-03-31,18.31,29.07,19.86,3.34,1.16
2013-12-31,20.16,39.53,17.45,3.67,1.28
2013-09-30,17.79,44.47,17.75,3.17,1.11
2013-06-30,17.35,25.15,21.93,3.03,1.05
2013-03-31,23.44,30.45,22.52,3.96,1.39
2012-12-31,19.90,20.10,17.98,3.25,1.15
2012-09-30,19.35,18.78,12.65,2.56,1.15
2012-06-30,18.55,20.38,9.24,2.55,1.13
2012-03-31,16.07,8.33,8.54,2.17,1.02
2011-12-31,17.04,8.61,8.14,2.34,1.13
2011-09-30,17.36,8.86,9.01,1.89,1.19
2011-06-30,18.57,18.38,9.73,1.83,1.30
2011-03-31,16.88,0.00,8.45,1.67,1.19
2010-12-31,13.44,0.00,6.98,1.38,0.94
2010-09-30,11.91,0.00,6.21,1.21,0.87
2010-06-30,11.94,14.39,6.68,1.14,0.87
2010-03-31,14.53,13.71,9.01,1.37,1.05
2009-12-31,12.04,11.15,7.38,1.14,0.89
2009-09-30,14.11,17.86,9.84,1.40,0.96
2009-06-30,15.21,23.77,12.36,1.58,1.03
2009-03-31,11.73,30.08,10.45,1.30,0.79
2008-12-31,13.09,31.92,17.74,1.46,0.87
2008-09-30,12.92,23.92,22.73,1.37,0.87
2008-06-30,14.05,19.25,34.10,1.49,0.97
2008-03-31,13.99,18.91,42.98,1.53,0.99
2007-12-31,19.59,26.12,34.14,2.19,1.45
2007-09-30,16.13,20.42,49.31,1.88,1.24
2007-06-30,13.83,20.54,71.68,1.67,1.11
2007-03-31,13.83,20.64,55.16,1.74,1.15
2006-12-31,14.58,23.03,326.27,1.87,1.24
