Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,183.95,112.85,27.09,15.85,4.04
2020-09-30,124.95,52.50,18.40,10.77,2.69
2020-06-30,121.33,45.78,19.33,10.94,2.62
2020-03-31,99.57,31.41,20.95,9.99,2.11
2019-12-31,154.10,59.96,33.66,14.64,3.30
2019-09-30,142.99,52.19,35.11,13.91,3.16
2019-06-30,160.94,66.78,35.86,15.05,3.64
2019-03-31,151.68,85.21,37.25,15.95,3.50
2018-12-31,127.84,96.12,34.21,13.48,2.95
2018-09-30,158.50,100.96,41.77,15.30,3.71
2018-06-30,132.90,146.04,50.66,13.10,3.17
2018-03-31,117.62,0.00,61.39,10.86,2.91
2017-12-31,123.15,4105.00,76.92,11.37,3.30
2017-09-30,124.41,0.00,48.45,13.06,3.62
2017-06-30,123.51,224.56,47.55,13.11,3.84
2017-03-31,107.99,50.23,33.68,87.19,3.60
2016-12-31,101.07,45.94,26.83,137.21,3.46
2016-09-30,88.45,40.39,23.83,-696.46,3.12
2016-06-30,97.41,44.48,26.63,-152.35,3.54
2016-03-31,89.35,40.07,24.35,-65.42,3.35
2015-12-31,90.70,43.82,25.76,-56.41,3.57
2015-09-30,83.93,43.04,25.07,-43.58,3.46
2015-06-30,85.78,43.54,25.09,-41.86,3.64
2015-03-31,83.85,43.22,25.78,-50.54,3.68
2014-12-31,84.21,41.69,24.78,45.73,3.79
2014-09-30,73.47,36.55,21.23,42.40,3.46
2014-06-30,70.52,34.74,22.40,31.74,3.46
2014-03-31,69.44,35.79,23.81,26.47,3.59
2013-12-31,71.05,37.01,24.14,18.08,3.78
2013-09-30,60.00,31.91,20.93,17.19,3.29
2013-06-30,56.99,31.49,19.66,16.15,3.20
2013-03-31,54.41,30.91,22.28,15.98,3.15
2012-12-31,46.02,26.45,18.73,14.01,2.73
2012-09-30,46.09,28.99,18.68,16.51,2.84
2012-06-30,43.05,27.42,17.65,18.71,2.72
2012-03-31,42.64,29.41,16.61,23.15,2.78
2011-12-31,34.77,25.20,16.09,17.85,2.34
2011-09-30,34.87,27.03,15.57,17.09,2.43
2011-06-30,40.29,34.14,21.85,18.02,2.92
2011-03-31,41.67,39.31,24.95,19.30,3.13
2010-12-31,33.20,34.58,18.03,17.04,2.56
2010-09-30,29.44,34.64,18.76,18.36,2.35
2010-06-30,23.25,27.35,15.61,20.71,1.90
2010-03-31,22.24,26.80,17.33,18.45,1.87
2009-12-31,18.04,21.22,11.99,15.37,1.53
2009-09-30,18.27,19.44,12.20,23.33,1.54
2009-06-30,15.26,16.41,10.31,40.09,1.25
2009-03-31,11.01,10.49,6.64,232.28,0.86
2008-12-31,17.83,16.98,11.03,-78.51,1.39
2008-09-30,22.68,21.20,12.81,-144.09,1.81
2008-06-30,20.72,20.93,13.30,-46.76,1.73
2008-03-31,19.34,23.59,15.36,-103.87,1.73
2007-12-31,17.56,25.45,15.32,99.38,1.64
2007-09-30,24.46,47.04,31.02,35.82,2.45
2007-06-30,24.59,50.18,30.66,32.25,2.56
2007-03-31,23.95,46.06,36.13,70.34,2.55
2006-12-31,19.79,38.80,27.01,78.25,2.21
