Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,161.99,54.91,35.34,7.97,7.25
2020-09-30,162.16,41.69,35.50,8.02,7.29
2020-06-30,183.04,47.42,40.14,9.05,8.30
2020-03-31,154.03,40.01,37.40,7.79,7.06
2019-12-31,144.13,39.38,38.08,7.44,6.82
2019-09-30,144.05,40.01,43.79,7.50,6.96
2019-06-30,131.80,37.44,38.25,7.10,6.57
2019-03-31,136.14,35.55,62.75,7.37,6.86
2018-12-31,123.78,31.02,35.53,6.86,6.27
2018-09-30,156.20,30.51,45.99,8.82,8.07
2018-06-30,126.90,26.11,35.72,7.40,6.69
2018-03-31,117.38,25.57,25.29,7.42,6.37
2017-12-31,113.15,25.54,26.41,7.45,6.23
2017-09-30,99.17,31.29,22.33,7.38,5.51
2017-06-30,99.91,31.82,24.72,7.50,5.63
2017-03-31,89.28,26.49,17.99,6.85,4.97
2016-12-31,84.86,25.87,17.24,6.78,4.81
2016-09-30,81.51,24.93,19.69,6.55,4.70
2016-06-30,82.89,26.57,21.12,6.55,4.89
2016-03-31,80.05,28.49,27.37,6.65,4.87
2015-12-31,73.64,26.68,24.62,6.36,4.58
2015-09-30,65.46,23.89,18.98,5.48,4.17
2015-06-30,60.62,22.12,20.38,4.94,3.94
2015-03-31,65.23,25.18,21.17,5.52,4.36
2014-12-31,57.77,23.02,20.09,5.07,3.97
2014-09-30,51.57,21.31,19.06,4.51,3.65
2014-06-30,54.85,23.24,18.44,4.69,4.01
2014-03-31,51.26,22.19,20.05,3.89,3.89
2013-12-31,54.23,23.68,21.42,4.05,4.16
2013-09-30,47.15,22.14,19.61,3.65,3.66
2013-06-30,42.85,21.00,17.50,3.60,3.35
2013-03-31,41.83,21.02,17.64,3.34,3.34
2012-12-31,35.44,18.85,15.39,2.92,2.90
2012-09-30,34.06,18.41,14.04,2.89,2.86
2012-06-30,30.97,17.40,14.38,2.71,2.66
2012-03-31,30.50,17.94,14.91,2.71,2.63
2011-12-31,29.95,18.04,13.92,2.75,2.62
2011-09-30,25.74,15.70,12.29,2.45,2.28
2011-06-30,26.56,16.70,12.71,2.61,2.38
2011-03-31,29.89,19.66,14.69,3.04,2.73
2010-12-31,25.63,16.97,13.68,2.69,2.39
2010-09-30,22.34,15.51,12.75,2.46,2.15
2010-06-30,20.84,15.10,12.74,2.37,2.12
2010-03-31,20.92,15.38,13.26,2.46,2.22
2009-12-31,20.03,15.53,12.26,2.47,2.21
2009-09-30,20.25,15.94,11.38,2.60,2.30
2009-06-30,17.83,14.62,10.06,2.38,2.03
2009-03-31,13.96,11.93,9.70,1.93,1.62
2008-12-31,16.51,14.11,11.60,2.34,1.93
2008-09-30,17.22,14.85,12.49,2.49,2.04
2008-06-30,18.26,15.74,12.77,2.62,2.21
2008-03-31,20.75,17.30,15.84,2.98,2.56
2007-12-31,20.42,17.16,16.72,2.89,2.61
2007-09-30,21.64,18.49,15.58,3.14,2.87
2007-06-30,21.49,18.85,16.58,3.20,2.97
2007-03-31,20.02,18.37,18.90,3.03,2.86
2006-12-31,17.77,16.92,9.59,2.75,2.65
