Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,147.84,23.25,21.40,6.04,4.89
2020-06-30,138.73,20.28,20.87,5.80,4.61
2020-03-31,128.46,16.99,15.11,5.52,4.16
2019-12-31,141.97,20.94,16.44,6.28,4.65
2019-09-30,125.06,19.54,13.38,5.65,4.13
2019-06-30,134.63,22.33,15.40,5.85,4.49
2019-03-31,134.20,24.85,16.69,6.05,4.47
2018-12-31,123.08,21.94,15.45,5.48,4.11
2018-09-30,130.94,261.89,17.51,5.44,4.39
2018-06-30,114.23,265.65,14.84,4.87,3.87
2018-03-31,119.75,315.14,16.26,5.08,4.17
2017-12-31,129.74,332.67,18.16,5.79,4.66
2017-09-30,120.00,20.83,16.87,4.36,4.45
2017-06-30,121.33,20.49,18.32,4.53,4.63
2017-03-31,113.48,19.07,17.93,4.35,4.37
2016-12-31,104.29,17.74,17.30,4.01,4.05
2016-09-30,106.20,18.80,18.11,3.97,4.15
2016-06-30,108.32,20.36,17.49,4.09,4.29
2016-03-31,95.94,17.44,14.42,3.63,3.84
2015-12-31,90.43,16.47,13.00,3.50,3.63
2015-09-30,81.59,15.60,13.31,3.16,3.27
2015-06-30,84.52,14.85,12.42,3.29,3.34
2015-03-31,86.60,15.49,13.20,3.54,3.36
2014-12-31,89.40,15.68,13.04,3.57,3.45
2014-09-30,90.54,14.99,13.40,3.31,3.49
2014-06-30,88.26,16.29,15.15,3.19,3.45
2014-03-31,82.30,15.71,14.99,3.04,3.30
2013-12-31,76.19,15.81,15.35,2.90,3.07
2013-09-30,71.62,15.92,14.51,2.89,2.91
2013-06-30,70.41,15.61,14.94,2.84,2.86
2013-03-31,66.35,18.03,14.30,2.78,2.73
2012-12-31,56.60,14.62,11.39,2.43,2.36
2012-09-30,55.15,18.14,10.99,2.39,2.34
2012-06-30,53.59,17.07,10.61,2.44,2.30
2012-03-31,51.82,14.24,10.74,2.32,2.21
2011-12-31,51.07,14.68,11.12,2.44,2.18
2011-09-30,49.14,11.99,10.63,2.18,2.12
2011-06-30,50.87,12.17,10.80,2.24,2.23
2011-03-31,44.92,10.19,9.52,2.05,2.01
2010-12-31,46.47,9.72,8.92,2.25,2.11
2010-09-30,46.16,9.48,8.01,2.21,2.06
2010-06-30,43.59,9.01,7.66,2.27,1.95
2010-03-31,47.68,10.02,8.67,2.49,2.13
2009-12-31,46.75,10.62,9.08,2.55,2.11
2009-09-30,43.85,9.57,9.20,2.40,2.03
2009-06-30,40.57,8.92,8.82,2.42,1.86
2009-03-31,37.24,8.15,8.54,2.35,1.68
2008-12-31,42.01,9.19,9.39,2.74,1.87
2008-09-30,48.26,10.92,11.28,2.93,2.14
2008-06-30,44.53,10.78,11.05,2.68,2.02
2008-03-31,44.59,11.12,11.01,2.75,2.08
2007-12-31,45.55,12.55,10.57,2.99,2.18
2007-09-30,44.59,12.56,9.94,2.94,2.22
2007-06-30,41.54,11.51,9.25,2.79,2.14
2007-03-31,40.36,11.50,9.38,2.85,2.15
2006-12-31,43.96,11.79,10.76,3.23,2.45
