Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,142.19,42.96,29.89,7.99,6.39
2020-10-31,104.87,31.68,22.05,5.89,4.71
2020-07-31,99.89,31.41,23.01,5.58,4.61
2020-04-30,96.77,31.42,20.01,5.85,4.39
2020-01-31,92.99,26.49,21.27,5.58,4.04
2019-10-31,100.91,31.05,21.90,6.30,4.47
2019-07-31,89.52,55.26,19.54,5.72,4.04
2019-04-30,87.03,61.29,26.48,5.84,4.00
2019-01-31,74.02,77.10,27.53,5.23,3.48
2018-10-31,57.08,66.37,24.12,4.38,2.80
2018-07-31,58.00,45.67,41.68,4.16,2.94
2018-04-30,51.68,95.70,28.57,3.83,2.73
2018-01-31,46.72,99.40,29.84,3.53,2.61
2017-10-31,44.67,74.45,31.76,3.59,2.52
2017-07-31,41.59,31.27,22.32,3.48,2.41
2017-04-30,37.43,19.10,21.07,3.18,2.21
2017-01-31,37.07,16.85,17.35,3.86,2.18
2016-10-31,32.80,16.91,17.15,3.68,1.93
2016-07-31,29.24,9.68,18.72,3.11,1.72
2016-04-30,26.08,8.99,14.29,2.95,1.56
2016-01-31,23.40,7.93,15.39,2.90,1.40
2015-10-31,33.08,11.06,19.85,4.32,1.98
2015-07-31,30.54,15.42,7.13,4.67,1.81
