Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,29.59,0.00,8.44,0.73,1.41
2020-06-30,31.14,0.00,7.48,0.77,1.50
2020-03-31,23.85,15.19,6.23,0.57,1.16
2019-12-31,30.37,19.10,7.98,0.72,1.49
2019-09-30,26.06,0.00,6.68,0.61,1.26
2019-06-30,28.51,0.00,9.93,0.67,1.36
2019-03-31,29.55,0.00,22.01,0.70,1.40
2018-12-31,38.48,0.00,26.56,0.91,1.79
2018-09-30,48.68,5.75,110.87,0.91,2.28
2018-06-30,54.92,6.30,0.00,1.02,2.58
2018-03-31,53.88,5.96,139.51,0.99,2.53
2017-12-31,66.64,7.44,0.00,1.23,3.13
2017-09-30,65.94,20.54,293.98,1.36,3.12
2017-06-30,72.30,23.10,0.00,1.50,3.43
2017-03-31,76.15,27.00,205.92,1.60,3.59
2016-12-31,72.75,25.80,63.66,1.54,3.39
2016-09-30,74.03,32.47,121.80,1.56,2.95
2016-06-30,72.69,55.06,34.78,1.52,2.87
