Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,258.20,44.36,22.82,13.49,6.66
2020-09-30,192.47,23.42,18.65,10.77,5.11
2020-06-30,192.39,25.02,18.69,11.16,5.25
2020-03-31,141.48,22.07,14.96,9.43,3.99
2019-12-31,174.48,24.44,22.86,10.18,5.23
2019-09-30,155.40,21.70,21.86,9.15,4.99
2019-06-30,114.54,15.19,17.59,6.82,3.90
2019-03-31,114.93,13.67,16.39,6.44,4.09
2018-12-31,85.53,9.37,10.20,8.10,3.09
2018-09-30,96.45,16.49,13.00,9.42,3.64
2018-06-30,96.60,18.98,13.08,9.30,3.76
2018-03-31,102.02,22.72,12.69,11.61,4.11
2017-12-31,97.80,23.57,13.47,12.50,4.05
2017-09-30,98.10,15.02,12.45,10.50,4.18
2017-06-30,84.14,14.31,12.69,9.95,3.80
2017-03-31,86.94,14.51,14.55,11.88,3.95
2016-12-31,71.51,13.00,13.52,11.61,3.44
2016-09-30,62.90,12.68,13.90,12.58,3.18
2016-06-30,65.59,14.61,13.99,14.84,3.45
2016-03-31,64.71,17.73,14.92,21.14,3.64
2015-12-31,61.13,18.30,11.99,26.03,3.44
2015-09-30,43.72,17.63,9.77,23.15,2.52
2015-06-30,48.67,21.63,14.22,18.23,2.84
2015-03-31,50.05,23.50,16.86,16.20,2.97
2014-12-31,59.91,23.68,21.02,16.18,3.47
2014-09-30,53.57,16.53,15.47,2.50,3.08
2014-06-30,49.06,14.14,11.53,2.21,2.82
2014-03-31,46.36,13.25,12.34,2.11,2.68
2013-12-31,42.92,13.13,8.96,2.01,2.58
2013-09-30,40.23,13.10,8.82,1.92,2.45
2013-06-30,36.56,11.39,7.36,1.74,2.18
2013-03-31,34.35,8.88,6.19,1.65,1.93
2012-12-31,30.88,7.53,6.64,1.53,1.68
2012-09-30,30.57,7.40,5.75,1.52,1.68
2012-06-30,31.32,7.02,6.01,1.58,1.68
2012-03-31,34.37,7.76,6.45,1.82,1.84
2011-12-31,30.27,6.82,5.81,1.70,1.63
2011-09-30,23.83,4.89,4.45,1.35,1.23
2011-06-30,24.96,5.37,5.38,1.46,1.34
2011-03-31,29.01,7.48,8.39,1.82,1.74
2010-12-31,23.57,7.88,8.38,1.60,1.62
2010-09-30,21.35,10.52,8.40,1.53,1.70
2010-06-30,16.75,13.51,6.84,1.25,1.59
2010-03-31,18.49,43.01,7.66,1.42,2.07
2009-12-31,21.51,0.00,9.95,1.66,2.69
2009-09-30,21.24,0.00,18.84,1.65,2.72
2009-06-30,14.88,0.00,12.98,1.16,1.68
2009-03-31,11.72,0.00,7.03,0.92,1.12
2008-12-31,12.66,0.00,5.79,0.94,1.06
2008-09-30,18.21,11.38,5.89,1.11,1.40
2008-06-30,23.33,11.97,6.38,1.36,1.72
2008-03-31,21.20,9.34,6.43,1.21,1.51
2007-12-31,27.42,11.33,8.52,1.62,1.93
2007-09-30,31.66,13.14,10.32,1.89,2.27
2007-06-30,31.11,11.87,12.23,1.68,2.32
2007-03-31,30.12,12.05,11.86,1.74,2.39
2006-12-31,28.03,12.63,12.30,1.46,2.41
