Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,13.42,268.40,7.79,0.95,2.60
2020-09-30,11.84,236.86,6.94,0.84,2.25
2020-06-30,14.30,204.35,8.78,1.01,2.65
2020-03-31,12.89,22.23,7.67,0.87,2.26
2019-12-31,19.38,20.18,17.48,1.29,3.32
2019-09-30,18.63,20.70,16.52,1.22,3.07
2019-06-30,18.65,18.84,19.10,1.22,2.99
2019-03-31,17.65,25.96,19.38,1.16,2.77
2018-12-31,13.42,20.33,13.49,0.88,2.09
2018-09-30,15.29,0.00,22.73,0.96,2.42
2018-06-30,15.06,0.00,20.28,0.96,2.43
2018-03-31,12.68,253.61,18.99,0.80,2.06
2017-12-31,15.11,1511.13,22.07,0.95,2.46
2017-09-30,15.93,28.45,20.28,0.97,2.64
2017-06-30,15.82,51.02,17.57,0.97,2.61
2017-03-31,17.84,57.54,17.61,1.14,2.99
2016-12-31,16.90,67.59,20.12,1.08,2.88
2016-09-30,18.76,0.00,20.30,1.20,3.13
2016-06-30,15.09,251.45,23.36,0.95,2.44
2016-03-31,14.29,238.21,38.41,0.90,2.25
2015-12-31,11.84,74.02,0.00,0.75,1.80
2015-09-30,21.57,40.69,0.00,1.34,2.56
2015-06-30,29.50,38.31,0.00,1.82,2.71
2015-03-31,31.97,35.92,0.00,1.96,2.43
2014-12-31,31.81,33.48,0.00,1.96,2.06
2014-09-30,28.49,23.75,22.24,1.02,1.82
2014-06-30,26.64,23.17,21.52,0.96,1.76
2014-03-31,23.56,20.49,23.62,0.85,1.62
2013-12-31,25.80,22.43,28.10,0.94,1.90
2013-09-30,25.20,22.11,42.78,0.92,2.08
2013-06-30,26.75,25.72,43.90,0.97,2.56
2013-03-31,26.86,43.33,41.47,1.14,3.06
2012-12-31,24.29,69.41,38.39,1.04,3.33
2012-09-30,24.17,105.11,51.28,1.14,3.70
2012-06-30,21.72,86.86,0.00,1.06,3.50
2012-03-31,25.82,45.30,725.23,2.55,4.22
2011-12-31,21.29,31.30,0.00,2.00,3.49
