Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,121.32,26.72,36.78,4.79,1.07
2020-11-30,93.48,20.59,28.34,3.69,0.83
2020-08-31,106.93,25.70,33.54,4.41,0.97
2020-05-31,88.05,23.36,21.68,4.00,0.81
2020-02-29,87.31,16.38,0.00,3.78,0.72
2019-11-30,97.26,18.85,0.00,4.31,0.84
2019-08-31,83.28,15.98,0.00,3.80,0.74
2019-05-31,78.28,15.50,0.00,3.75,0.73
2019-02-28,62.10,12.96,0.00,3.10,0.61
2018-11-30,66.07,15.26,0.00,3.30,0.66
2018-08-31,78.05,19.27,0.00,3.93,0.80
2018-05-31,68.92,18.18,0.00,3.60,0.73
2018-02-28,61.92,17.25,0.00,3.36,0.67
2017-11-30,68.91,18.47,0.00,3.79,0.75
2017-08-31,67.15,18.45,0.00,3.82,0.76
2017-05-31,62.83,17.95,0.00,3.67,0.74
2017-02-28,64.54,19.74,0.00,3.87,0.78
2016-11-30,57.79,18.23,0.00,3.59,0.73
2016-08-31,58.95,19.14,0.00,3.68,0.76
2016-05-31,53.66,17.54,0.00,3.48,0.71
2016-02-29,46.26,15.32,0.00,3.10,0.63
2015-11-30,57.30,19.23,0.00,3.89,0.81
2015-08-31,61.00,20.68,0.00,3.89,0.88
2015-05-31,71.04,25.10,0.00,4.53,1.06
2015-02-28,67.11,24.58,0.00,4.44,1.04
2014-11-30,56.98,22.79,0.00,3.78,0.92
2014-08-31,52.40,22.11,0.00,3.38,0.88
2014-05-31,44.31,19.35,0.00,2.91,0.77
2014-02-28,48.43,22.32,0.00,3.24,0.88
2013-11-30,50.35,22.99,0.00,3.42,0.93
2013-08-31,47.56,22.33,0.00,3.34,0.91
2013-05-31,46.77,23.50,0.00,3.41,0.94
2013-02-28,38.41,20.54,0.00,2.87,0.81
2012-11-30,36.26,19.92,0.00,2.74,0.79
2012-08-31,30.59,17.28,0.00,2.37,0.69
2012-05-31,28.21,15.85,0.00,2.28,0.65
2012-02-29,30.69,16.96,0.00,2.61,0.71
2011-11-30,28.76,16.07,0.00,2.47,0.68
2011-08-31,28.11,15.70,0.00,2.49,0.67
2011-05-31,29.66,16.66,0.00,2.76,0.72
2011-02-28,35.37,21.18,0.00,3.57,0.89
2010-11-30,32.90,20.43,0.00,3.40,0.87
2010-08-31,19.93,12.61,55.84,2.16,0.55
2010-05-31,21.73,13.84,28.45,2.48,0.61
2010-02-28,20.19,16.02,118.83,2.33,0.60
2009-11-30,19.88,18.07,0.00,2.40,0.62
2009-08-31,17.31,25.84,0.00,2.19,0.56
2009-05-31,11.21,43.12,101.72,1.52,0.37
2009-02-28,9.43,36.27,18.27,1.30,0.30
2008-11-30,7.61,40.05,51.87,1.07,0.22
2008-08-31,14.80,34.42,0.00,2.09,0.41
2008-05-31,19.66,29.79,0.00,2.82,0.52
2008-02-29,18.36,22.12,0.00,2.70,0.49
2007-11-30,22.87,24.86,0.00,3.43,0.62
2007-08-31,22.66,22.89,0.00,3.50,0.63
2007-05-31,24.00,25.26,0.00,3.93,0.68
2007-02-28,26.35,28.80,0.00,4.56,0.76
2006-11-30,23.07,25.21,180.80,4.13,0.69
