Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,48.98,25.51,28.15,10.36,6.32
2020-06-30,43.97,20.74,23.80,9.84,5.53
2020-03-31,43.16,18.60,20.05,9.34,5.01
2019-12-31,53.54,25.86,24.58,10.86,6.19
2019-09-30,52.26,29.04,24.82,10.83,6.14
2019-06-30,48.53,29.59,25.97,10.22,5.81
2019-03-31,44.31,28.22,29.90,9.55,5.38
2018-12-31,44.39,29.59,30.16,9.94,5.56
2018-09-30,42.96,66.09,34.23,9.06,5.41
2018-06-30,40.45,74.90,35.51,8.53,5.06
2018-03-31,39.69,124.04,31.53,7.82,4.94
2017-12-31,41.56,153.93,33.29,9.33,4.97
2017-09-30,40.45,38.52,28.42,7.78,4.70
2017-06-30,39.98,41.65,26.92,7.73,4.47
2017-03-31,37.53,26.24,23.66,6.95,4.02
2016-12-31,36.34,24.23,23.76,6.71,3.80
2016-09-30,36.78,22.29,24.61,6.04,3.80
2016-06-30,39.07,22.46,25.24,6.28,3.97
2016-03-31,39.68,23.90,24.68,6.84,3.98
2015-12-31,36.46,21.83,19.93,6.12,3.63
2015-09-30,33.79,21.66,17.16,5.59,3.31
2015-06-30,32.76,19.16,16.31,4.97,3.18
2015-03-31,33.59,21.26,16.92,5.04,3.23
2014-12-31,34.69,21.82,18.31,4.96,3.36
2014-09-30,34.81,19.34,18.37,4.52,3.37
2014-06-30,34.31,18.45,17.60,4.39,3.33
2014-03-31,31.08,16.62,15.96,4.15,3.02
2013-12-31,32.95,17.34,18.34,4.34,3.18
2013-09-30,30.01,15.55,16.50,4.08,2.88
2013-06-30,31.54,16.69,17.93,4.29,3.02
2013-03-31,31.58,16.58,17.89,4.27,3.02
2012-12-31,28.11,14.34,16.09,3.79,2.69
2012-09-30,29.21,15.29,17.56,3.90,2.83
2012-06-30,29.91,15.87,19.49,4.13,2.91
2012-03-31,28.12,14.96,19.52,3.82,2.77
2011-12-31,26.39,14.30,18.42,3.74,2.64
2011-09-30,25.30,9.32,18.34,3.43,2.56
2011-06-30,25.03,9.34,18.09,3.24,2.77
2011-03-31,24.50,9.46,17.89,3.44,3.00
2010-12-31,24.11,9.55,15.10,3.53,3.20
2010-09-30,21.31,13.11,13.48,3.50,3.09
2010-06-30,18.11,11.39,11.94,3.24,2.66
2010-03-31,19.71,12.97,13.44,3.61,2.93
2009-12-31,20.26,13.83,14.98,3.68,3.04
2009-09-30,18.95,14.04,14.08,3.59,2.88
2009-06-30,16.80,12.44,12.87,3.31,2.53
2009-03-31,15.26,12.56,13.19,3.34,2.24
2008-12-31,15.55,12.49,12.68,3.45,2.28
2008-09-30,18.02,13.97,15.15,3.51,2.62
2008-06-30,17.59,14.18,15.14,3.51,2.62
2008-03-31,20.46,15.33,16.47,4.12,3.17
2007-12-31,20.50,15.95,16.65,4.37,3.31
2007-09-30,19.09,16.32,14.92,4.48,3.24
2007-06-30,17.27,15.35,14.22,4.21,3.08
2007-03-31,15.74,14.12,13.64,4.22,2.95
2006-12-31,15.71,14.55,14.23,4.31,3.07
