Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,33.84,9.02,6.93,2.58,0.20
2020-10-31,31.86,8.50,6.52,2.43,0.19
2020-07-31,34.23,10.47,6.78,2.71,0.21
2020-04-30,30.95,11.86,6.25,2.58,0.20
2020-01-31,26.15,12.82,11.64,2.40,0.17
2019-10-31,23.85,12.17,11.63,2.19,0.16
2019-07-31,20.48,10.09,12.08,1.90,0.14
2019-04-30,24.82,10.88,17.09,2.32,0.17
2019-01-31,27.14,7.34,17.32,2.76,0.18
2018-10-31,28.38,6.54,17.93,2.98,0.19
2018-07-31,27.10,6.17,26.82,2.94,0.19
2018-04-30,23.42,5.63,21.76,2.69,0.17
2018-01-31,28.11,13.32,34.24,3.54,0.21
2017-10-31,19.06,11.34,14.38,2.70,0.15
2017-07-31,22.45,13.61,13.20,3.26,0.18
2017-04-30,27.04,16.29,20.16,3.97,0.22
2017-01-31,30.86,15.13,41.94,4.25,0.26
2016-10-31,28.05,13.49,33.32,3.95,0.24
2016-07-31,30.85,14.69,19.40,4.41,0.27
2016-04-30,31.83,14.87,17.22,4.65,0.28
2016-01-31,34.81,16.86,21.15,4.95,0.31
2015-10-31,33.81,16.78,23.36,5.23,0.31
2015-07-31,35.00,17.95,26.27,5.74,0.32
2015-04-30,30.65,16.48,23.39,5.33,0.28
2015-01-31,30.63,17.76,21.41,5.48,0.28
2014-10-31,24.64,15.30,16.67,4.48,0.23
2014-07-31,21.59,14.11,20.46,4.18,0.21
2014-04-30,20.22,13.66,15.95,4.11,0.21
2014-01-31,15.79,10.89,12.96,2.97,0.17
2013-10-31,18.66,12.57,15.67,3.84,0.20
2013-07-31,17.04,11.36,12.73,3.63,0.18
2013-04-30,14.85,10.21,12.83,3.32,0.16
2013-01-31,11.90,8.59,13.59,2.90,0.13
2012-10-31,10.77,15.96,18.73,2.94,0.13
2012-07-31,9.42,17.45,15.47,2.62,0.12
2012-04-30,9.84,19.11,12.56,2.66,0.12
2012-01-31,10.00,21.05,14.62,2.83,0.13
2011-10-31,9.71,10.06,8.29,2.27,0.13
2011-07-31,10.36,10.80,8.95,2.36,0.15
2011-04-30,10.09,10.79,10.37,2.33,0.15
2011-01-31,8.84,10.10,7.51,2.07,0.14
2010-10-31,9.05,10.64,9.84,2.17,0.14
2010-07-31,8.67,578.10,10.34,2.13,0.14
2010-04-30,9.06,0.00,11.62,2.27,0.15
2010-01-31,8.70,193.28,17.53,2.27,0.15
2009-10-31,9.35,81.30,19.38,2.49,0.16
2009-07-31,8.61,8.87,17.25,1.92,0.15
2009-04-30,8.67,8.80,16.53,1.99,0.15
2009-01-31,8.98,9.50,14.66,2.20,0.16
2008-10-31,10.92,11.87,23.69,2.69,0.19
2008-07-31,11.22,12.13,25.71,2.84,0.20
2008-04-30,10.77,11.90,18.08,2.82,0.20
2008-01-31,10.03,11.80,27.75,2.71,0.20
2007-10-31,11.55,13.13,21.91,3.26,0.23
2007-07-31,10.17,12.04,18.84,2.82,0.21
2007-04-30,11.54,14.42,23.17,3.11,0.25
2007-01-31,9.98,12.88,17.80,2.86,0.22
2006-10-31,8.74,12.49,7.32,2.68,0.20
