Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,212.59,32.46,33.26,4.42,7.67
2020-12-31,204.13,31.16,31.94,4.24,7.36
2020-09-30,180.44,29.82,29.78,3.53,6.52
2020-06-30,148.64,25.41,25.88,2.95,5.27
2020-03-31,126.32,21.16,24.25,2.52,4.28
2019-12-31,151.71,28.04,30.27,3.07,5.30
2019-09-30,131.41,23.05,26.79,2.51,4.68
2019-06-30,120.02,21.47,25.56,2.33,4.38
2019-03-31,113.92,19.78,28.07,2.22,4.22
2018-12-31,93.45,15.22,28.16,1.84,3.53
2018-09-30,110.49,11.18,30.46,2.21,4.25
2018-06-30,103.03,10.95,29.91,2.11,4.05
2018-03-31,106.47,11.53,24.53,2.22,4.26
2017-12-31,101.65,11.04,26.09,2.15,4.15
2017-09-30,104.64,20.56,33.50,2.46,4.40
2017-06-30,100.41,20.16,36.67,2.35,4.35
2017-03-31,82.01,17.02,32.34,1.95,3.70
2016-12-31,80.84,18.25,26.10,1.96,3.74
2016-09-30,88.56,19.68,28.91,2.17,4.12
2016-06-30,85.21,18.60,35.40,2.12,3.93
2016-03-31,80.52,17.97,47.96,2.04,3.71
2015-12-31,70.08,15.93,94.40,1.80,3.19
2015-09-30,84.92,19.30,0.00,2.21,3.80
2015-06-30,84.92,19.08,126.44,2.23,3.74
2015-03-31,94.72,20.50,0.00,2.53,4.07
2014-12-31,112.90,24.76,0.00,3.07,4.84
2014-09-30,111.88,25.96,0.00,3.12,4.84
2014-06-30,99.01,23.97,0.00,2.84,4.38
2014-03-31,93.74,30.34,0.00,2.77,4.27
2013-12-31,113.41,35.66,0.00,3.40,5.28
2013-09-30,99.98,33.55,0.00,3.08,4.75
2013-06-30,96.68,35.41,0.00,3.06,4.68
2013-03-31,100.99,27.44,91.99,3.19,4.96
2012-12-31,75.86,22.18,56.46,2.46,3.73
2012-09-30,68.69,19.85,43.46,2.28,3.43
2012-06-30,62.90,17.72,45.31,2.14,3.19
2012-03-31,64.47,20.80,41.09,2.27,3.28
2011-12-31,61.16,20.39,43.90,2.20,3.20
2011-09-30,44.93,17.08,20.26,1.67,2.40
2011-06-30,53.35,24.25,27.72,2.05,3.00
2011-03-31,48.96,25.77,30.47,1.93,2.80
2010-12-31,43.04,25.93,21.30,1.63,2.45
2010-09-30,33.64,22.58,18.00,1.29,1.93
2010-06-30,32.69,25.54,17.13,1.28,1.87
2010-03-31,32.53,32.20,61.20,1.33,1.99
2009-12-31,29.94,50.74,0.00,1.24,1.91
2009-09-30,23.82,36.09,0.00,0.99,1.53
2009-06-30,14.49,15.92,0.00,0.61,0.88
2009-03-31,11.43,8.16,0.00,0.48,0.64
2008-12-31,17.13,9.16,0.00,0.72,0.91
2008-09-30,39.89,19.65,0.00,1.94,2.08
2008-06-30,39.56,19.88,0.00,1.82,2.11
2008-03-31,36.07,20.85,228.72,1.59,1.94
2007-12-31,30.87,19.79,0.00,1.38,1.67
2007-09-30,28.93,20.52,21.69,1.33,1.56
2007-06-30,33.76,27.01,22.46,1.59,1.82
2007-03-31,32.00,26.89,55.52,1.54,1.74
2006-12-31,26.06,24.13,43.22,1.25,1.38
