Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,103.76,24.41,12.36,3.97,1.25
2020-09-30,88.86,20.91,10.59,3.40,1.07
2020-06-30,93.01,21.99,11.67,3.72,1.16
2020-03-31,90.69,22.12,13.87,3.83,1.15
2019-12-31,96.50,21.02,14.47,3.98,1.27
2019-09-30,84.35,18.42,10.97,3.66,1.15
2019-06-30,78.12,17.63,12.19,3.35,1.11
2019-03-31,62.44,14.06,9.04,2.73,0.92
2018-12-31,51.11,13.41,11.25,2.25,0.77
2018-09-30,66.67,20.20,13.86,2.89,1.02
2018-06-30,56.62,19.73,13.66,2.48,0.87
2018-03-31,62.43,24.29,17.85,2.76,0.96
2017-12-31,61.35,25.78,20.86,2.74,0.93
2017-09-30,55.99,27.58,16.17,2.56,0.75
2017-06-30,48.60,21.13,12.61,2.26,0.65
2017-03-31,47.81,21.63,12.71,2.26,0.63
2016-12-31,47.52,19.80,11.68,2.27,0.62
2016-09-30,39.97,10.72,10.72,1.92,0.63
2016-06-30,32.39,9.00,6.01,2.10,0.50
2016-03-31,33.83,9.53,5.21,2.21,0.52
2015-12-31,37.57,10.92,6.16,2.53,0.59
2015-09-30,27.23,15.83,5.34,2.06,0.53
2015-06-30,26.40,25.14,6.95,2.07,0.52
2015-03-31,27.23,49.52,8.34,2.02,0.53
2015-01-31,26.87,0.00,22.85,0.00,0.52
2014-10-31,23.56,0.00,6.50,1.79,0.46
2014-07-31,23.58,0.00,12.81,1.82,0.46
2014-04-30,23.56,0.00,10.39,1.26,0.46
2014-01-31,28.44,0.00,7.43,1.43,0.53
2013-10-31,29.34,0.00,21.24,1.34,0.41
2013-07-31,37.84,0.00,42.65,1.38,0.50
2013-04-30,34.15,0.00,29.12,1.27,0.37
2013-01-31,27.43,0.00,0.00,0.00,0.26
2012-10-31,24.66,0.00,0.00,0.86,0.21
2012-07-31,25.68,0.00,9.31,0.93,0.20
2012-04-30,26.71,0.00,15.27,1.01,0.21
2012-01-31,27.72,0.00,28.00,0.00,0.22
2011-10-31,26.79,0.00,3.32,0.98,0.21
2011-07-31,34.55,0.00,5.30,1.22,0.28
2011-04-30,37.50,0.00,5.81,1.38,0.31
2011-01-31,35.71,0.00,2.79,1.30,0.30
2010-10-31,33.49,0.00,5.83,1.25,0.38
2010-07-31,35.84,0.00,7.69,1.46,0.41
2010-04-30,37.52,0.00,8.31,1.61,0.44
2010-01-31,39.51,0.00,8.05,0.00,0.47
2009-10-31,38.17,0.00,7.78,0.90,0.46
2009-07-31,38.99,0.00,9.29,0.94,0.48
2009-04-30,39.01,0.00,7.26,0.99,0.50
2009-01-31,42.55,0.00,11.00,0.00,0.57
2008-10-31,39.81,0.00,10.29,1.02,0.53
2008-07-31,40.71,0.00,13.74,1.07,0.57
2008-04-30,40.95,0.00,13.01,1.04,0.61
2008-01-31,40.73,0.00,22.91,0.00,0.64
2007-10-31,42.48,0.00,23.90,0.92,0.67
2007-07-31,36.12,0.00,6.06,0.66,0.56
