Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,75.64,9.62,5.68,1.31,1.04
2020-08-31,74.38,10.37,5.80,1.35,1.03
2020-05-31,59.99,9.03,5.92,1.13,0.83
2020-02-29,59.68,9.49,8.16,1.15,0.83
2019-11-30,58.89,10.22,13.43,1.16,0.84
2019-08-31,50.32,8.32,13.12,1.03,0.73
2019-05-31,48.95,8.40,13.73,1.03,0.72
2019-02-28,47.26,8.64,11.69,1.03,0.71
2018-11-30,42.05,7.99,8.31,0.93,0.63
2018-08-31,50.80,12.30,11.56,1.19,0.82
2018-05-31,50.83,13.31,11.75,1.22,0.87
2018-02-28,55.55,14.66,21.02,1.37,1.01
2017-11-30,61.60,18.01,16.78,1.85,1.15
2017-08-31,50.75,14.63,15.69,1.56,0.98
2017-05-31,50.27,14.70,24.57,1.59,1.00
2017-02-28,47.76,13.80,14.91,1.54,0.99
2016-11-30,41.61,10.59,21.45,1.35,0.88
2016-08-31,46.22,12.16,14.46,1.56,1.02
2016-05-31,44.49,11.86,19.66,1.53,1.01
2016-02-29,40.91,11.40,39.27,1.44,0.97
2015-11-30,49.91,14.43,0.00,1.77,1.22
2015-08-31,49.57,14.93,0.00,1.84,1.25
2015-05-31,45.38,14.45,0.00,1.70,1.21
2015-02-28,48.82,16.49,0.00,1.89,1.38
2014-11-30,45.89,16.33,0.00,1.79,1.35
2014-08-31,38.02,15.39,0.00,1.55,1.22
2014-05-31,39.65,17.78,0.00,1.67,1.34
2014-02-28,42.50,19.06,0.00,1.85,1.52
2013-11-30,34.60,16.17,0.00,1.53,1.32
2013-08-31,30.74,15.60,0.00,1.36,1.28
2013-05-31,37.95,20.74,0.00,1.81,1.74
2013-02-28,37.21,11.34,0.00,1.76,1.88
2012-11-30,36.64,11.82,0.00,1.75,1.94
2012-08-31,31.20,11.56,0.00,1.54,1.78
2012-05-31,26.22,10.88,0.00,1.31,1.57
2012-02-29,22.43,53.41,0.00,1.28,1.37
2011-11-30,17.63,36.73,0.00,1.01,1.11
2011-08-31,14.04,28.65,0.00,0.80,0.90
2011-05-31,18.09,33.50,0.00,1.04,1.16
2011-02-28,19.17,28.20,19.25,1.11,1.19
2010-11-30,14.42,28.83,10.12,0.84,0.88
2010-08-31,12.45,23.94,9.87,0.75,0.73
2010-05-31,16.33,0.00,6.79,1.00,0.96
2010-02-28,15.46,0.00,6.33,0.96,0.86
2009-11-30,11.91,0.00,4.82,0.85,0.64
2009-08-31,14.19,0.00,3.77,1.08,0.67
2009-05-31,8.87,0.00,2.43,0.63,0.37
2009-02-28,6.21,0.00,2.92,0.40,0.24
2008-11-30,6.57,0.00,0.94,0.40,0.23
2008-08-31,12.10,0.00,1.35,0.57,0.35
2008-05-31,15.35,0.00,1.48,0.70,0.36
2008-02-29,16.78,0.00,1.48,0.73,0.31
2007-11-30,14.17,0.00,5.03,0.59,0.22
2007-08-31,25.09,0.00,7.02,0.79,0.33
2007-05-31,40.31,0.00,9.23,1.16,0.46
2007-02-28,43.28,17.38,7.44,1.20,0.44
2006-11-30,46.05,12.65,14.14,1.28,0.46
