Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,246.38,39.30,15.91,2.91,1.73
2020-09-30,188.27,21.92,12.16,2.23,1.48
2020-06-30,166.11,45.26,13.78,2.20,1.42
2020-03-31,126.39,39.13,11.51,1.75,1.07
2019-12-31,169.17,20.24,15.85,2.17,1.45
2019-09-30,168.00,22.11,17.23,2.26,1.47
2019-06-30,172.90,20.46,21.56,2.37,1.54
2019-03-31,152.98,17.40,16.57,2.12,1.38
2018-12-31,126.36,14.69,13.29,1.79,1.15
2018-09-30,173.68,12.54,16.55,2.43,1.59
2018-06-30,179.53,14.37,15.47,2.60,1.68
2018-03-31,161.75,13.43,14.68,2.36,1.56
2017-12-31,159.51,13.06,13.92,2.39,1.61
2017-09-30,150.97,21.11,13.97,2.52,1.59
2017-06-30,154.14,21.65,16.30,2.67,1.66
2017-03-31,143.47,19.90,14.33,2.60,1.56
2016-12-31,128.38,18.55,14.11,2.39,1.40
2016-09-30,137.48,21.89,16.60,2.56,1.49
2016-06-30,130.27,21.50,15.04,2.51,1.42
2016-03-31,117.13,20.23,12.90,2.31,1.30
2015-12-31,123.64,29.09,17.10,2.53,1.43
2015-09-30,108.47,23.94,17.77,2.23,1.33
2015-06-30,121.22,26.18,22.47,2.56,1.58
2015-03-31,126.09,27.23,32.02,2.81,1.75
2014-12-31,107.90,18.20,17.36,3.24,1.55
2014-09-30,101.75,17.04,16.19,3.12,1.50
2014-06-30,102.40,17.04,14.74,3.27,1.56
2014-03-31,98.21,16.40,16.20,3.33,1.54
2013-12-31,91.37,14.64,13.58,3.14,1.46
2013-09-30,99.14,16.33,14.88,3.39,1.61
2013-06-30,100.10,16.77,15.94,3.40,1.67
2013-03-31,90.20,15.26,13.08,3.01,1.53
2012-12-31,86.62,14.48,12.58,2.98,1.49
2012-09-30,92.47,15.26,12.50,3.23,1.62
2012-06-30,92.61,15.86,13.14,3.37,1.65
2012-03-31,91.54,16.70,13.36,3.42,1.66
2011-12-31,85.97,16.92,12.26,3.36,1.59
2011-09-30,79.05,15.81,11.90,3.10,1.49
2011-06-30,96.79,19.24,14.43,3.80,1.88
2011-03-31,92.13,17.42,13.02,3.85,1.86
2010-12-31,87.92,16.56,12.16,3.65,1.85
2010-09-30,78.43,14.58,11.47,3.51,1.71
2010-06-30,75.35,14.35,10.05,3.52,1.69
2010-03-31,75.71,15.05,10.53,3.66,1.74
2009-12-31,74.84,14.97,10.91,3.74,1.74
2009-09-30,65.70,13.83,9.70,3.45,1.55
2009-06-30,67.79,14.93,11.13,3.67,1.63
2009-03-31,58.49,13.86,9.73,3.48,1.43
2008-12-31,64.41,15.56,11.53,4.13,1.61
2008-09-30,69.50,17.20,12.22,4.52,1.82
2008-06-30,69.63,17.58,13.71,4.30,1.91
2008-03-31,73.68,18.01,15.63,4.82,2.11
2007-12-31,75.53,19.22,16.12,4.86,2.26
2007-09-30,78.23,20.86,19.93,4.58,2.46
2007-06-30,78.26,21.50,19.21,4.77,2.61
2007-03-31,72.63,20.99,18.79,4.78,2.58
2006-12-31,73.47,22.68,19.13,4.54,2.78
