Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,237.22,56.35,33.59,2.56,4.69
2020-06-30,210.52,49.65,31.49,2.31,4.17
2020-03-31,170.91,39.47,33.66,1.90,3.31
2019-12-31,210.32,50.08,47.05,2.18,4.07
2019-09-30,190.54,58.63,59.25,2.00,3.40
2019-06-30,196.60,103.47,61.22,2.01,3.67
2019-03-31,171.42,66.18,38.42,1.65,3.38
2018-12-31,151.25,46.68,28.53,1.45,3.12
2018-09-30,154.98,46.26,25.18,6.62,3.78
2018-06-30,151.73,31.61,24.83,6.68,3.72
2018-03-31,137.74,30.21,23.35,5.75,3.43
2017-12-31,146.86,34.00,24.54,6.47,3.73
2017-09-30,131.99,23.49,24.33,5.61,3.42
2017-06-30,124.45,23.26,23.84,5.69,3.28
2017-03-31,110.70,20.77,21.57,5.30,2.96
2016-12-31,108.66,20.82,23.62,5.69,2.97
2016-09-30,111.34,21.09,23.10,5.64,3.06
2016-06-30,102.93,18.71,23.64,5.29,2.83
2016-03-31,104.11,20.14,23.59,5.60,2.85
2015-12-31,92.49,17.26,23.17,5.50,2.49
2015-09-30,91.40,18.58,25.03,5.61,2.38
2015-06-30,106.54,20.73,29.14,5.71,2.69
2015-03-31,106.97,18.90,27.07,5.72,2.63
2014-12-31,114.15,19.89,28.17,5.49,2.75
2014-09-30,113.09,17.95,25.09,4.75,2.73
2014-06-30,115.89,18.78,23.92,4.63,2.84
2014-03-31,113.70,18.70,32.85,4.76,2.81
2013-12-31,112.32,19.13,37.43,4.72,2.82
2013-09-30,103.33,18.26,41.75,4.63,2.64
2013-06-30,98.49,17.59,53.68,4.62,2.58
2013-03-31,94.90,17.16,43.48,4.30,2.54
2012-12-31,92.63,16.51,48.88,4.27,2.49
2012-09-30,87.46,15.59,53.54,4.10,2.37
2012-06-30,91.07,16.32,48.58,4.61,2.44
2012-03-31,95.50,17.24,53.15,4.55,2.56
2011-12-31,88.61,16.26,41.30,4.56,2.42
2011-09-30,77.10,17.13,83.73,3.78,2.15
2011-06-30,88.94,20.64,99.87,3.97,2.57
2011-03-31,82.96,20.14,74.43,3.85,2.48
2010-12-31,77.56,20.20,46.71,3.84,2.39
2010-09-30,72.98,16.22,22.06,3.53,2.30
2010-06-30,61.12,14.12,19.59,3.24,1.97
2010-03-31,66.37,16.19,21.70,3.54,2.24
2009-12-31,63.84,15.88,24.44,3.46,2.22
2009-09-30,64.63,18.10,32.65,3.67,2.26
2009-06-30,55.93,15.36,27.94,3.47,1.86
2009-03-31,52.67,14.01,37.30,3.70,1.63
2008-12-31,46.14,12.17,34.39,3.28,1.37
2008-09-30,55.38,13.41,39.23,3.49,1.63
2008-06-30,72.43,18.29,50.92,4.02,2.24
2008-03-31,64.49,17.11,34.65,3.88,2.11
2007-12-31,67.61,18.68,37.74,4.15,2.34
2007-09-30,63.62,18.39,31.47,4.13,2.31
2007-06-30,54.46,16.65,25.27,3.59,2.05
2007-03-31,47.42,15.15,23.03,3.38,1.84
2006-12-31,44.47,14.82,22.46,3.13,1.76
