Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,27.73,14.15,8.14,1.56,0.73
2020-06-30,26.20,14.48,7.15,1.55,0.68
2020-03-31,20.51,10.79,7.52,1.25,0.51
2019-12-31,35.70,20.52,13.63,2.17,0.89
2019-09-30,31.45,22.63,10.25,1.98,0.79
2019-06-30,26.61,20.16,10.27,1.68,0.67
2019-03-31,28.38,21.18,16.93,1.83,0.73
2018-12-31,23.73,15.61,15.35,1.55,0.63
2018-09-30,31.67,17.50,26.25,2.06,0.88
2018-06-30,31.90,17.92,34.32,2.12,0.93
2018-03-31,37.95,21.44,38.88,2.66,1.17
2017-12-31,40.67,23.65,36.25,2.99,1.30
2017-09-30,35.99,22.49,29.89,2.75,1.19
2017-06-30,32.95,20.47,23.10,2.64,1.12
2017-03-31,29.27,18.53,19.11,2.50,1.01
2016-12-31,30.65,20.57,22.01,2.74,1.11
2016-09-30,35.46,23.33,32.35,3.18,1.34
2016-06-30,31.70,21.86,23.47,2.94,1.25
2016-03-31,31.93,23.14,32.36,3.03,1.34
2015-12-31,29.63,21.47,24.37,2.91,1.27
2015-09-30,28.36,21.32,20.25,2.85,1.22
2015-06-30,30.25,23.27,24.49,3.12,1.32
2015-03-31,25.56,20.45,23.15,2.80,1.14
2014-12-31,28.12,22.68,34.73,3.14,1.28
2014-09-30,26.59,21.44,29.08,3.02,1.27
2014-06-30,26.69,22.62,32.29,3.10,1.37
2014-03-31,26.35,24.17,25.43,3.22,1.46
2013-12-31,32.90,31.94,29.62,4.21,1.97
2013-09-30,31.87,32.52,35.03,4.25,2.01
2013-06-30,25.75,27.99,37.43,3.61,1.72
2013-03-31,21.76,24.59,57.78,3.18,1.53
2012-12-31,21.10,24.11,53.80,3.20,1.54
2012-09-30,18.48,21.61,37.02,2.91,1.38
2012-06-30,16.68,19.86,33.61,2.72,1.32
2012-03-31,15.59,19.85,29.67,2.63,1.32
2011-12-31,15.04,21.18,35.12,2.69,1.36
2011-09-30,12.08,18.30,39.93,2.24,1.19
2011-06-30,13.05,21.04,49.94,2.48,1.36
2011-03-31,12.05,20.42,43.93,2.37,1.33
2010-12-31,11.36,19.59,33.41,2.34,1.34
2010-09-30,10.40,18.25,27.47,2.24,1.28
2010-06-30,9.64,17.69,23.25,2.14,1.25
2010-03-31,10.15,19.71,19.12,2.33,1.37
2009-12-31,9.80,22.01,25.83,2.36,1.37
2009-09-30,9.27,25.75,24.12,2.31,1.36
2009-06-30,8.23,23.50,24.44,2.12,1.21
2009-03-31,7.14,19.82,24.77,1.90,1.05
2008-12-31,5.83,16.42,24.09,1.60,0.86
2008-09-30,8.49,21.76,30.93,2.32,1.24
2008-06-30,9.04,24.92,38.19,2.61,1.45
2008-03-31,11.24,35.67,85.31,3.37,2.03
2007-12-31,10.51,38.22,152.10,3.32,2.18
2007-09-30,8.70,36.26,125.04,2.83,2.14
2007-06-30,6.17,27.40,90.40,3.02,1.59
2007-03-31,5.47,25.42,54.65,2.79,1.47
2006-12-31,5.75,28.74,77.88,3.05,1.62
