Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,146.63,23.96,25.18,28.07,5.80
2020-06-30,161.84,26.27,28.71,36.24,6.48
2020-03-31,136.11,22.50,33.27,40.72,5.44
2019-12-31,128.29,14.64,31.57,45.51,5.40
2019-09-30,108.53,13.20,32.35,30.09,4.78
2019-06-30,107.52,13.49,28.29,36.33,4.91
2019-03-31,125.24,19.94,30.60,47.40,5.90
2018-12-31,111.09,35.49,26.62,10.76,5.35
2018-09-30,102.49,227.77,23.17,7.73,5.56
2018-06-30,81.06,0.00,19.45,7.49,4.36
2018-03-31,72.99,68.86,16.81,5.43,3.90
2017-12-31,79.10,0.00,18.33,7.46,4.18
2017-09-30,79.61,37.73,17.16,5.86,3.75
2017-06-30,76.11,32.95,17.15,5.91,3.66
2017-03-31,77.28,37.33,18.51,6.05,3.79
2016-12-31,67.13,26.02,18.34,5.25,3.36
2016-09-30,72.78,31.64,26.42,5.15,3.71
2016-06-30,70.96,30.59,32.50,5.34,3.66
2016-03-31,64.46,29.70,36.35,4.73,3.40
2015-12-31,74.90,33.14,40.09,5.67,4.00
2015-09-30,73.93,33.45,33.92,5.37,4.01
2015-06-30,73.31,37.99,27.17,5.53,4.00
2015-03-31,63.36,30.91,22.95,4.70,3.47
2014-12-31,59.74,26.79,19.38,4.31,3.27
2014-09-30,55.75,22.30,16.23,3.51,2.96
2014-06-30,53.02,16.88,14.18,3.29,2.70
2014-03-31,49.79,13.95,11.36,3.04,2.43
2013-12-31,42.75,9.92,9.46,2.71,2.01
2013-09-30,41.78,9.54,9.76,2.79,1.97
2013-06-30,40.42,9.08,10.38,2.99,1.94
2013-03-31,46.32,11.11,13.20,3.49,2.28
2012-12-31,39.86,10.89,10.07,3.09,1.97
2012-09-30,37.92,10.28,8.61,2.74,1.86
2012-06-30,33.94,9.37,6.93,2.75,1.62
2012-03-31,31.47,8.15,5.62,2.46,1.46
2011-12-31,32.08,8.23,5.42,2.74,1.47
2011-09-30,28.17,6.74,4.55,2.17,1.28
2011-06-30,28.20,6.64,4.76,2.29,1.31
2011-03-31,26.09,5.93,4.49,2.17,1.23
2010-12-31,25.63,5.60,4.58,2.38,1.23
2010-09-30,26.35,6.04,4.87,2.45,1.27
2010-06-30,23.85,5.90,4.77,2.69,1.15
2010-03-31,25.43,6.55,6.22,2.80,1.25
2009-12-31,24.72,6.26,7.57,2.98,1.24
2009-09-30,22.55,0.00,6.28,2.62,1.17
2009-06-30,23.30,0.00,5.41,3.13,1.23
2009-03-31,22.16,0.00,5.07,3.30,1.18
2008-12-31,26.36,0.00,4.53,4.45,1.42
2008-09-30,28.41,12.91,5.06,2.35,1.53
2008-06-30,29.49,8.48,5.92,2.28,1.63
2008-03-31,32.64,10.17,7.17,2.49,1.85
2007-12-31,33.47,12.35,8.89,2.81,1.96
2007-09-30,35.40,17.27,10.36,3.10,2.18
2007-06-30,34.49,17.24,11.02,3.38,2.21
2007-03-31,32.91,15.31,10.17,3.24,2.21
2006-12-31,31.68,12.93,11.62,3.26,2.19
