Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,354.98,19.81,15.56,16.40,1.53
2020-09-30,380.57,16.40,17.30,21.36,1.67
2020-06-30,360.12,15.78,14.75,26.59,1.62
2020-03-31,332.44,15.09,14.56,26.74,1.54
2019-12-31,379.44,17.29,18.48,33.50,1.80
2019-09-30,377.79,17.96,15.96,27.07,1.84
2019-06-30,350.09,17.06,21.80,34.14,1.74
2019-03-31,287.19,14.68,29.04,32.17,1.46
2018-12-31,248.76,14.13,38.36,48.24,1.33
2018-09-30,326.29,29.77,86.24,92.62,1.77
2018-06-30,276.90,30.56,30.67,164.63,1.56
2018-03-31,314.74,38.20,21.60,-809.50,1.81
2017-12-31,297.33,43.53,16.31,-108.82,1.73
2017-09-30,285.57,22.97,18.15,37.65,1.68
2017-06-30,253.99,14.84,17.98,54.22,1.54
2017-03-31,243.25,14.13,17.61,44.42,1.52
2016-12-31,225.67,13.14,16.58,40.61,1.46
2016-09-30,214.97,12.77,13.81,25.92,1.57
2016-06-30,221.03,18.92,13.69,22.35,1.69
2016-03-31,195.93,17.34,12.63,18.75,1.50
2015-12-31,190.63,16.63,14.41,18.65,1.49
2015-09-30,180.68,16.03,21.25,19.72,1.48
2015-06-30,160.83,14.28,24.19,16.75,1.29
2015-03-31,174.22,15.72,29.79,15.58,1.42
2014-12-31,164.08,14.64,17.51,15.15,1.33
2014-09-30,154.51,15.62,11.82,10.67,1.12
2014-06-30,134.84,13.77,10.63,9.91,0.98
2014-03-31,135.84,14.05,11.87,8.98,0.99
2013-12-31,122.70,13.44,10.80,7.96,0.88
2013-09-30,104.31,11.14,24.79,26.16,0.74
2013-06-30,87.87,9.86,13.96,40.64,0.62
2013-03-31,77.37,8.94,11.12,81.54,0.54
2012-12-31,73.03,8.75,38.74,601.03,0.51
2012-09-30,72.99,8.38,8.09,9.67,0.51
2012-06-30,67.32,7.83,11.13,9.91,0.47
2012-03-31,68.64,8.21,11.26,14.17,0.49
2011-12-31,61.11,7.80,6.36,19.60,0.45
2011-09-30,54.16,6.39,7.78,5.95,0.40
2011-06-30,59.77,7.53,8.71,6.10,0.46
2011-03-31,58.78,7.33,7.55,5.38,0.47
2010-12-31,50.63,6.35,6.84,5.01,0.41
2010-09-30,51.06,6.89,9.05,4.69,0.43
2010-06-30,52.90,6.69,6.74,5.14,0.46
2010-03-31,58.63,7.74,8.00,5.40,0.52
2009-12-31,52.65,6.75,8.82,4.76,0.47
2009-09-30,54.12,7.05,5.46,6.56,0.51
2009-06-30,55.48,7.37,6.39,7.56,0.53
2009-03-31,47.16,6.05,5.00,6.51,0.46
2008-12-31,56.97,7.24,6.67,7.81,0.57
2008-09-30,73.74,9.56,10.49,3.01,0.72
2008-06-30,66.11,8.71,9.92,2.81,0.65
2008-03-31,66.28,9.13,10.44,2.85,0.66
2007-12-31,69.98,9.84,9.06,2.92,0.71
2007-09-30,71.85,10.41,9.56,4.00,0.74
2007-06-30,62.12,9.47,8.99,3.59,0.66
2007-03-31,63.80,10.49,8.68,3.81,0.70
2006-12-31,60.33,10.37,9.17,3.69,0.66
