Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,30.73,8.04,11.69,0.28,0.34
2020-06-30,35.65,36.38,8.20,0.33,0.42
2020-03-31,25.21,7.73,0.00,0.29,0.29
2019-12-31,56.15,12.97,0.00,0.56,0.66
2019-09-30,57.00,14.32,0.00,0.57,0.68
2019-06-30,60.57,8.59,0.00,0.66,0.75
2019-03-31,54.83,7.88,31.20,0.68,0.71
2018-12-31,47.61,6.45,5.38,0.68,0.64
2018-09-30,62.48,6.75,11.37,0.89,0.89
2018-06-30,57.20,6.44,10.50,0.82,0.86
2018-03-31,66.81,7.43,18.36,0.91,1.05
2017-12-31,70.01,7.58,20.10,0.88,1.11
2017-09-30,66.67,10.43,12.87,0.90,1.10
2017-06-30,61.06,9.36,15.17,0.85,1.02
2017-03-31,58.87,9.72,12.72,0.88,1.02
2016-12-31,59.35,11.89,11.05,0.93,1.06
2016-09-30,41.86,7.88,7.17,0.59,0.77
2016-06-30,34.32,8.21,3.92,0.50,0.63
2016-03-31,34.47,8.25,3.88,0.56,0.64
2015-12-31,43.95,9.75,5.00,0.79,0.83
2015-09-30,41.34,8.81,3.69,0.71,0.76
2015-06-30,51.40,9.40,4.98,0.88,0.98
2015-03-31,49.69,8.87,5.18,0.77,0.97
2014-12-31,49.70,8.78,5.27,0.81,0.99
2014-09-30,46.03,8.18,8.91,0.77,0.96
2014-06-30,44.06,8.46,10.79,0.74,0.95
2014-03-31,43.25,8.86,9.06,0.79,0.96
2013-12-31,43.93,9.70,15.13,0.86,1.01
2013-09-30,35.63,8.13,9.10,0.70,0.84
2013-06-30,30.85,6.77,12.37,0.61,0.74
2013-03-31,27.48,6.09,10.74,0.50,0.67
2012-12-31,21.73,4.85,4.92,0.39,0.55
2012-09-30,20.23,12.56,5.95,0.37,0.54
2012-06-30,18.22,28.47,5.32,0.36,0.51
2012-03-31,21.89,39.80,5.54,0.47,0.64
2011-12-31,16.06,20.86,3.96,0.36,0.48
2011-09-30,12.89,4.16,2.65,0.26,0.38
2011-06-30,23.45,6.88,4.38,0.53,0.70
2011-03-31,24.69,9.04,5.33,0.59,0.75
2010-12-31,22.81,9.02,4.23,0.56,0.70
2010-09-30,19.61,8.92,3.91,0.46,0.60
2010-06-30,19.91,10.53,4.58,0.50,0.63
2010-03-31,25.16,26.76,3.92,0.62,0.83
2009-12-31,20.38,0.00,6.21,0.53,0.67
2009-09-30,21.22,0.00,6.09,0.55,0.72
2009-06-30,14.08,0.00,2.92,0.47,0.45
2009-03-31,5.47,0.00,1.74,0.19,0.16
2008-12-31,15.24,80.23,3.14,0.49,0.43
2008-09-30,34.13,13.18,13.83,0.92,0.99
2008-06-30,35.82,11.12,9.39,0.88,1.02
2008-03-31,40.78,9.92,6.99,0.95,1.15
2007-12-31,45.31,10.25,6.35,1.02,1.30
2007-09-30,51.05,9.52,3.98,1.15,1.33
2007-06-30,54.60,10.04,3.98,1.25,1.45
2007-03-31,51.86,9.79,4.41,1.17,1.41
2006-12-31,50.49,9.86,4.24,1.14,1.43
