Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,50.88,18.99,0.00,2.15,3.59
2020-06-30,46.80,17.73,0.00,2.03,3.20
2020-03-31,46.88,18.75,0.00,2.05,3.15
2019-12-31,52.78,22.65,0.00,2.39,3.45
2019-09-30,51.67,23.17,0.00,2.40,3.36
2019-06-30,46.69,21.62,0.00,2.26,3.08
2019-03-31,44.50,20.32,0.00,2.16,2.89
2018-12-31,39.56,18.15,0.00,1.95,2.61
2018-09-30,39.56,17.74,0.00,1.96,2.61
2018-06-30,39.02,18.67,0.00,2.00,2.58
2018-03-31,37.38,18.06,0.00,1.95,2.50
2017-12-31,38.65,19.42,0.00,2.04,2.62
2017-09-30,37.44,20.13,0.00,1.99,2.58
2017-06-30,35.90,21.12,0.00,1.95,2.45
2017-03-31,35.12,21.15,0.00,1.95,2.40
2016-12-31,33.31,20.25,0.00,1.87,2.28
2016-09-30,33.41,22.05,0.00,1.87,2.32
2016-06-30,34.37,19.75,0.00,1.96,2.40
2016-03-31,31.88,19.09,0.00,1.83,2.25
2015-12-31,26.55,15.81,0.00,1.54,1.84
2015-09-30,24.64,13.69,199.36,1.42,1.66
2015-06-30,24.10,14.22,110.29,1.43,1.65
2015-03-31,26.07,15.56,0.00,1.55,1.75
2014-12-31,27.27,15.81,114.72,1.66,1.80
2014-09-30,22.56,12.89,87.37,1.38,1.48
2014-06-30,24.56,13.88,0.00,1.54,1.60
2014-03-31,22.73,12.73,56.78,1.43,1.49
2013-12-31,20.44,12.66,0.00,1.30,1.38
2013-09-30,19.45,11.94,0.00,1.24,1.35
2013-06-30,19.62,12.26,0.00,1.29,1.35
2013-03-31,19.35,12.06,0.00,1.28,1.34
2012-12-31,16.76,11.56,0.00,1.11,1.20
2012-09-30,16.40,11.76,24.28,1.12,1.17
2012-06-30,17.06,13.49,0.00,1.20,1.22
2012-03-31,16.06,13.44,22.85,1.13,1.14
2011-12-31,16.18,11.85,37.86,1.13,1.11
2011-09-30,14.04,10.60,17.64,0.99,0.99
2011-06-30,14.60,10.07,17.38,1.05,1.00
2011-03-31,13.83,9.64,14.09,0.99,0.94
2010-12-31,12.91,9.93,18.83,0.91,0.87
2010-09-30,12.62,9.49,0.00,0.91,0.81
2010-06-30,10.90,23.96,0.00,0.81,0.71
2010-03-31,11.29,30.51,0.00,0.84,0.74
2009-12-31,10.14,20.08,0.00,0.74,0.65
2009-09-30,9.20,18.78,0.00,0.69,0.59
2009-06-30,8.51,7.21,0.00,0.62,0.53
2009-03-31,7.91,5.97,0.00,0.58,0.48
2008-12-31,9.23,7.07,0.00,0.66,0.55
2008-09-30,10.06,5.15,3.75,0.73,0.61
2008-06-30,10.59,5.28,4.00,0.78,0.65
2008-03-31,10.72,5.51,3.02,0.80,0.68
2007-12-31,12.34,6.46,2.87,0.93,0.81
2007-09-30,11.53,6.20,10.44,0.92,0.77
2007-06-30,11.59,7.00,7.95,0.95,0.79
2007-03-31,13.28,8.12,7.99,1.08,0.93
2006-12-31,11.09,8.18,3.24,0.89,0.78
