Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,157.55,22.28,11.80,29.09,1.40
2020-07-31,147.89,19.67,10.14,25.67,1.40
2020-04-30,103.64,17.51,15.12,45.60,1.08
2020-01-31,114.33,20.90,29.90,44.24,1.24
2019-10-31,109.28,28.91,35.66,34.14,1.20
2019-07-31,98.80,30.87,26.25,29.04,1.10
2019-04-30,109.65,37.55,22.64,26.94,1.24
2019-01-31,92.80,33.14,14.79,20.40,1.06
2018-10-31,91.41,20.31,13.75,13.66,1.05
2018-07-31,94.90,19.90,16.50,13.31,1.11
2018-04-30,78.37,17.07,15.61,11.21,0.95
2018-01-31,99.09,24.17,20.88,14.00,1.22
2017-10-31,75.35,18.07,13.68,10.91,0.93
2017-07-31,72.58,20.45,12.36,10.97,0.92
2017-04-30,79.16,24.89,14.82,12.21,1.04
2017-01-31,67.87,19.62,13.33,9.14,0.92
2016-10-31,61.60,22.57,12.40,8.02,0.88
2016-07-31,75.67,24.41,15.95,9.49,1.12
2016-04-30,69.62,23.28,14.14,8.63,1.06
2016-01-31,65.39,24.13,16.67,7.77,1.03
2015-10-31,67.10,21.23,16.81,7.34,1.09
2015-07-31,62.79,21.29,14.15,6.71,1.05
2015-04-30,62.08,22.25,13.15,6.20,1.07
2015-01-31,60.90,22.55,14.70,5.86,1.08
2014-10-31,51.23,20.25,12.41,4.65,0.93
2014-07-31,42.67,17.71,11.22,3.76,0.80
2014-04-30,40.75,18.11,12.77,3.59,0.80
2014-01-31,40.93,19.21,13.38,3.56,0.82
2013-10-31,43.85,20.88,14.05,3.64,0.90
2013-07-31,39.12,19.76,12.06,3.18,0.83
2013-04-30,33.58,19.30,15.31,2.76,0.75
2013-01-31,33.24,19.78,14.28,2.66,0.76
2012-10-31,28.06,16.70,12.39,2.22,0.65
2012-07-31,21.88,14.49,11.18,1.70,0.52
2012-04-30,26.97,17.86,12.18,2.11,0.66
2012-01-31,22.89,16.12,11.33,1.72,0.58
2011-10-31,17.84,13.02,9.43,1.34,0.48
2011-07-31,18.19,12.29,8.04,1.37,0.50
2011-04-30,21.99,15.49,12.91,1.66,0.63
2011-01-31,20.69,14.57,11.39,1.55,0.60
2010-10-31,17.73,13.13,11.26,1.31,0.52
2010-07-31,17.14,13.29,13.80,1.27,0.51
2010-04-30,22.29,18.27,10.93,1.69,0.68
2010-01-31,17.73,14.78,11.42,1.36,0.55
2009-10-31,15.97,13.65,11.69,1.21,0.50
2009-07-31,18.25,14.37,20.03,1.41,0.56
2009-04-30,17.39,12.42,26.75,1.39,0.53
2009-01-31,14.71,9.87,24.22,1.20,0.45
2008-10-31,17.40,10.48,19.18,1.42,0.53
2008-07-31,16.22,9.21,18.47,1.36,0.50
2008-04-30,20.02,11.18,40.16,1.76,0.62
2008-01-31,20.93,11.25,80.08,1.90,0.66
2007-10-31,21.22,10.72,49.87,1.94,0.67
2007-07-31,22.04,10.96,33.16,2.05,0.71
2007-04-30,23.98,12.36,49.25,2.30,0.79
2007-01-31,26.41,13.27,62.85,2.56,0.88
2006-10-31,23.58,11.64,25.14,2.38,0.79
