Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,472.27,23.43,33.41,12.28,5.84
2020-09-30,330.91,18.77,23.61,8.82,4.45
2020-06-30,321.40,21.24,24.92,9.01,4.78
2020-03-31,237.58,17.08,18.62,7.58,3.76
2019-12-31,288.01,21.33,19.17,9.29,4.66
2019-09-30,226.67,16.69,13.52,6.60,3.77
2019-06-30,183.32,13.36,10.21,5.61,3.06
2019-03-31,173.70,10.84,10.52,4.87,2.78
2018-12-31,131.32,7.78,8.22,3.46,2.08
2018-09-30,145.24,10.90,11.30,4.14,2.29
2018-06-30,164.32,12.35,12.47,3.92,2.61
2018-03-31,192.09,18.65,14.20,4.58,3.29
2017-12-31,173.62,19.14,16.62,4.41,3.22
2017-09-30,174.05,15.91,14.34,3.81,3.62
2017-06-30,132.69,14.42,13.02,3.07,3.03
2017-03-31,120.09,15.32,13.46,2.84,3.02
2016-12-31,98.54,17.72,12.81,2.43,2.76
2016-09-30,87.89,17.47,12.09,2.23,2.61
2016-06-30,77.76,14.90,10.85,2.04,2.31
2016-03-31,76.13,16.92,12.90,2.07,2.29
2015-12-31,72.90,15.06,12.12,2.02,2.17
2015-09-30,59.74,13.10,11.84,1.71,1.85
2015-06-30,74.07,20.02,22.33,2.20,2.50
2015-03-31,63.72,14.78,16.24,1.98,2.24
2014-12-31,71.82,17.47,16.04,2.29,2.59
2014-09-30,67.47,16.95,14.77,2.20,2.47
2014-06-30,60.89,16.55,14.60,1.97,2.28
2014-03-31,49.42,17.46,16.72,1.67,1.96
2013-12-31,48.92,24.71,24.91,1.70,2.12
2013-09-30,46.00,40.00,20.32,1.65,2.13
2013-06-30,39.84,59.46,12.34,1.45,1.93
2013-03-31,37.25,124.17,12.74,1.33,1.78
2012-12-31,32.46,56.95,9.43,1.15,1.52
2012-09-30,28.55,35.69,7.71,1.00,1.35
2012-06-30,33.91,24.93,10.77,1.23,1.56
2012-03-31,40.09,17.90,9.81,1.84,1.84
2011-12-31,33.26,10.05,7.02,1.61,1.46
2011-09-30,34.12,7.08,7.22,1.74,1.37
2011-06-30,39.79,6.87,6.59,1.99,1.54
2011-03-31,50.91,8.66,8.60,2.72,2.01
2010-12-31,46.52,8.66,9.20,2.75,1.96
2010-09-30,37.60,9.10,8.60,2.45,1.83
2010-06-30,34.20,12.62,13.90,2.44,2.06
2010-03-31,33.53,36.85,44.79,2.57,2.59
2009-12-31,35.23,0.00,0.00,2.83,3.75
2009-09-30,30.69,0.00,0.00,2.60,3.90
2009-06-30,23.36,0.00,0.00,2.03,2.64
2009-03-31,20.46,0.00,21.08,1.71,1.76
2008-12-31,19.12,15.05,8.49,1.39,1.27
2008-09-30,28.29,11.94,10.75,2.02,1.61
2008-06-30,32.48,9.33,8.00,2.29,1.66
2008-03-31,34.34,8.20,7.41,2.58,1.73
2007-12-31,38.84,8.59,8.45,3.13,1.98
2007-09-30,47.85,10.05,8.49,4.28,2.50
2007-06-30,46.18,9.52,8.56,4.85,2.58
2007-03-31,42.53,9.64,10.89,3.40,2.54
2006-12-31,45.48,11.78,9.71,3.71,2.99
