Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,9.85,8.28,3.54,0.79,0.49
2020-06-30,9.58,8.48,3.30,0.78,0.47
2020-03-31,8.81,7.80,2.93,0.73,0.43
2019-12-31,12.05,0.00,4.11,0.98,0.58
2019-09-30,11.19,0.00,3.67,0.89,0.55
2019-06-30,10.32,0.00,3.24,0.82,0.49
2019-03-31,10.27,0.00,3.19,0.83,0.48
2018-12-31,12.72,0.00,3.38,0.69,0.58
2018-09-30,17.28,9.14,3.06,0.82,0.69
2018-06-30,14.83,8.19,2.96,0.70,0.55
2018-03-31,12.68,8.08,3.27,0.58,0.44
2017-12-31,12.49,7.09,3.41,0.57,0.40
2017-09-30,13.62,23.48,14.14,0.58,0.44
2017-06-30,16.75,24.27,18.56,0.70,0.53
2017-03-31,16.19,15.87,7.55,0.67,0.51
2016-12-31,15.98,13.77,5.21,0.65,0.49
2016-09-30,18.03,10.61,5.19,0.71,0.56
2016-06-30,18.71,10.45,4.20,0.73,0.57
2016-03-31,20.20,11.95,4.61,0.79,0.63
2015-12-31,15.63,9.83,3.75,0.60,0.49
2015-09-30,15.30,11.77,3.68,0.59,0.48
2015-06-30,17.54,13.92,4.25,0.68,0.56
2015-03-31,20.30,15.15,5.16,0.78,0.64
2014-12-31,22.91,16.97,5.92,0.87,0.72
2014-09-30,23.36,16.34,6.30,0.81,0.74
2014-06-30,20.41,0.00,5.45,0.70,0.66
2014-03-31,18.25,0.00,4.28,0.62,0.60
2013-12-31,17.40,0.00,4.04,0.59,0.58
2013-09-30,16.85,0.00,3.59,0.60,0.57
2013-06-30,18.67,10.86,3.55,0.61,0.63
2013-03-31,18.27,13.05,3.52,0.60,0.62
2012-12-31,20.04,16.16,3.74,0.65,0.68
2012-09-30,20.30,19.34,4.38,0.63,0.66
2012-06-30,19.51,22.95,4.97,0.60,0.63
2012-03-31,18.73,20.81,5.67,0.56,0.60
2011-12-31,17.70,13.93,5.28,0.53,0.61
2011-09-30,15.44,8.44,3.68,0.43,0.59
2011-06-30,18.46,7.79,4.35,0.51,0.76
2011-03-31,18.65,6.24,4.19,0.59,0.81
2010-12-31,20.37,6.49,5.20,0.64,0.87
2010-09-30,17.13,5.40,3.29,0.54,0.64
2010-06-30,14.17,4.24,6.14,0.45,0.52
2010-03-31,14.77,4.57,4.57,0.47,0.53
2009-12-31,14.76,4.81,3.59,0.47,0.52
2009-09-30,13.43,4.06,5.20,0.43,0.53
2009-06-30,12.00,3.74,1.99,0.38,0.47
2009-03-31,10.76,3.16,2.51,0.34,0.42
2008-12-31,10.17,2.86,2.50,0.32,0.40
2008-09-30,13.29,3.70,3.19,0.42,0.54
2008-06-30,12.45,3.31,3.24,0.38,0.51
2008-03-31,11.60,2.99,1.91,0.36,0.48
2007-12-31,14.45,3.87,2.31,0.46,0.62
2007-09-30,16.08,4.86,2.55,0.53,0.71
2007-06-30,17.04,5.78,2.84,0.59,0.80
2007-03-31,15.68,4.90,3.05,0.55,0.77
2006-12-31,15.13,4.88,3.51,0.54,0.76
