Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,52.81,0.00,0.00,3.51,3.18
2020-12-31,46.61,0.00,0.00,3.10,2.81
2020-09-30,37.50,0.00,44.11,2.27,1.58
2020-06-30,34.18,85.45,8.10,1.85,1.10
2020-03-31,35.61,10.47,9.04,2.00,0.88
2019-12-31,53.77,12.56,8.62,2.84,1.30
2019-09-30,53.62,12.00,10.24,2.84,1.32
2019-06-30,50.23,11.63,9.41,2.72,1.26
2019-03-31,51.16,12.12,8.70,2.84,1.31
2018-12-31,45.81,10.63,8.85,2.57,1.20
2018-09-30,61.55,9.74,13.75,3.41,1.67
2018-06-30,50.02,8.23,13.84,2.87,1.39
2018-03-31,56.13,9.29,27.63,3.38,1.58
2017-12-31,64.00,11.00,21.37,3.91,1.83
2017-09-30,54.63,15.70,18.46,3.68,1.60
2017-06-30,60.50,18.56,20.01,4.25,1.81
2017-03-31,52.23,15.78,14.05,3.85,1.61
2016-12-31,48.34,13.69,13.57,3.52,1.52
2016-09-30,37.64,10.72,13.43,2.88,1.19
2016-06-30,37.85,10.04,12.42,3.00,1.21
2016-03-31,43.14,12.72,18.61,3.68,1.41
2015-12-31,41.39,12.70,23.13,3.64,1.40
2015-09-30,36.50,13.42,17.00,3.41,1.27
2015-06-30,31.69,13.66,31.91,2.92,1.15
2015-03-31,42.35,20.26,22.02,4.10,1.55
2014-12-31,40.40,24.48,24.37,4.03,1.51
2014-09-30,32.19,19.28,17.64,2.94,1.23
2014-06-30,25.55,16.38,11.16,2.33,1.00
2014-03-31,22.41,18.68,12.05,2.16,0.90
2013-12-31,17.85,16.84,12.28,1.70,0.73
2013-09-30,13.77,15.82,9.63,1.37,0.57
2013-06-30,12.15,23.37,9.39,1.27,0.52
2013-03-31,12.67,24.85,89.81,1.31,0.55
2012-12-31,9.62,17.18,10.17,1.00,0.43
2012-09-30,8.23,12.66,7.20,0.87,0.37
2012-06-30,8.64,19.20,21.53,0.94,0.39
2012-03-31,7.71,21.43,10.86,0.83,0.36
2011-12-31,8.01,33.38,16.00,0.90,0.40
2011-09-30,7.52,34.18,9.58,0.90,0.40
2011-06-30,10.67,15.93,5.97,1.19,0.60
2011-03-31,11.80,19.35,5.07,1.34,0.70
2010-12-31,12.12,19.87,8.48,1.45,0.75
2010-09-30,12.20,20.68,7.15,1.53,0.78
2010-06-30,10.37,34.56,8.90,1.39,0.69
2010-03-31,12.33,56.06,21.17,1.66,0.86
2009-12-31,10.66,118.44,19.75,1.45,0.76
2009-09-30,8.95,0.00,0.00,1.27,0.64
2009-06-30,6.27,0.00,0.00,0.90,0.44
2009-03-31,5.89,73.67,0.00,0.89,0.40
2008-12-31,8.02,32.08,0.00,1.20,0.54
2008-09-30,13.49,28.11,10.38,1.41,0.93
2008-06-30,12.12,14.10,2.72,1.02,0.86
2008-03-31,11.52,14.77,4.75,1.17,0.86
2007-12-31,11.33,13.33,5.75,1.20,0.89
2007-09-30,13.74,17.85,17.89,1.61,1.12
2007-06-30,13.84,22.69,148.53,1.61,1.19
2007-03-31,13.64,20.99,0.00,1.63,1.20
2006-12-31,14.21,23.69,0.00,1.73,1.29
