Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,58.24,0.00,0.00,12.58,12.32
2020-12-31,59.60,0.00,0.00,12.87,12.61
2020-09-30,46.66,0.00,0.00,9.28,6.00
2020-06-30,45.54,103.50,0.00,7.69,4.05
2020-03-31,42.47,15.44,59.03,5.95,2.75
2019-12-31,67.73,19.35,28.58,7.95,3.80
2019-09-30,56.03,22.78,21.50,6.61,3.17
2019-06-30,56.58,22.63,20.83,6.62,3.19
2019-03-31,57.63,29.40,14.15,6.92,3.28
2018-12-31,48.57,15.93,10.12,5.58,2.79
2018-09-30,54.59,11.37,11.10,5.49,3.16
2018-06-30,69.40,14.49,13.42,6.87,4.09
2018-03-31,64.73,13.54,12.42,6.11,3.87
2017-12-31,61.93,17.49,13.18,6.41,3.86
2017-09-30,56.60,21.36,12.64,6.49,3.66
2017-06-30,55.72,21.60,13.41,6.48,3.66
2017-03-31,49.21,21.40,13.25,5.49,3.37
2016-12-31,45.47,21.65,13.63,4.82,3.21
2016-09-30,48.34,23.58,16.48,5.08,3.44
2016-06-30,36.08,17.60,13.34,3.79,2.58
2016-03-31,42.19,18.92,16.63,4.18,2.95
2015-12-31,35.31,14.30,14.59,3.19,2.41
2015-09-30,30.11,10.83,11.24,2.86,1.97
2015-06-30,41.10,13.89,12.45,3.87,2.56
2015-03-31,42.52,13.29,10.89,3.89,2.52
2014-12-31,44.42,12.66,9.82,3.93,2.47
2014-09-30,47.07,14.22,9.93,4.26,2.59
2014-06-30,57.22,17.66,12.28,5.28,3.16
2014-03-31,60.24,19.75,13.18,5.53,3.43
2013-12-31,58.46,20.95,13.52,5.04,3.51
2013-09-30,49.01,18.71,13.23,4.36,3.07
2013-06-30,38.85,17.04,12.54,3.58,2.60
2013-03-31,41.10,21.30,16.73,3.83,2.91
2012-12-31,33.45,18.08,17.12,3.18,2.48
2012-09-30,31.45,18.39,18.14,2.46,2.44
2012-06-30,29.34,16.96,16.23,2.37,2.33
2012-03-31,38.62,20.43,23.42,3.09,3.12
2011-12-31,28.54,18.29,19.97,2.22,2.46
2011-09-30,25.61,16.96,17.49,2.05,2.33
2011-06-30,28.19,22.03,26.82,2.33,2.70
2011-03-31,28.20,34.39,78.00,2.48,2.83
2010-12-31,30.69,61.38,0.00,2.74,3.26
2010-09-30,23.28,0.00,0.00,2.10,2.64
2010-06-30,14.79,0.00,0.00,1.40,1.82
2010-03-31,14.13,0.00,0.00,1.34,1.93
2009-12-31,9.98,0.00,0.00,0.95,1.43
2009-09-30,11.25,0.00,0.00,1.84,1.44
2009-06-30,5.25,0.00,0.00,0.84,0.57
2009-03-31,2.01,0.00,0.00,0.30,0.19
2008-12-31,3.96,0.00,0.00,0.57,0.33
2008-09-30,24.12,0.00,0.00,3.76,1.97
2008-06-30,31.69,0.00,0.00,4.88,2.89
2008-03-31,49.18,1229.61,0.00,7.63,5.14
2007-12-31,68.83,208.57,0.00,10.82,8.30
2007-09-30,89.11,165.02,0.00,14.37,12.48
2007-06-30,51.02,53.71,0.00,8.15,7.47
2007-03-31,57.85,49.87,0.00,9.43,8.81
2006-12-31,59.76,48.20,0.00,10.21,9.49
