Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,88.09,0.00,0.00,75.79,4.11
2020-09-30,53.88,0.00,0.00,46.36,2.51
2020-06-30,44.33,0.00,0.00,13.76,1.17
2020-03-31,45.46,0.00,34.53,7.95,0.88
2019-12-31,71.47,0.00,102.69,10.44,1.33
2019-09-30,66.34,0.00,31.92,9.18,1.27
2019-06-30,66.25,0.00,30.82,9.91,1.25
2019-03-31,63.54,0.00,34.88,10.75,1.23
2018-12-31,49.25,0.00,14.56,7.71,0.97
2018-09-30,54.47,0.00,43.39,7.36,1.10
2018-06-30,48.57,0.00,72.84,7.22,1.03
2018-03-31,42.14,0.00,21.47,6.42,0.91
2017-12-31,42.57,0.00,22.65,6.25,0.94
2017-09-30,43.55,2177.50,13.82,5.58,1.08
2017-06-30,34.85,0.00,10.92,4.93,0.88
2017-03-31,30.37,0.00,9.67,4.66,0.81
2016-12-31,26.60,0.00,12.65,4.02,0.71
2016-09-30,27.48,0.00,20.20,3.68,0.69
2016-06-30,23.50,0.00,15.87,3.37,0.62
2016-03-31,22.31,0.00,13.56,3.22,0.63
2015-12-31,24.57,0.00,29.86,3.44,0.70
2015-09-30,24.04,0.00,34.27,3.14,0.70
2015-06-30,27.49,0.00,32.30,3.85,0.83
2015-03-31,25.23,0.00,40.14,3.66,0.77
2014-12-31,26.11,0.00,34.03,3.54,0.79
2014-09-30,24.02,1201.00,92.42,2.87,0.72
2014-06-30,24.69,0.00,18.76,3.03,0.74
2014-03-31,21.75,0.00,11.09,2.77,0.64
2013-12-31,19.76,0.00,12.92,2.48,0.60
2013-09-30,18.55,0.00,8.77,2.24,0.57
2013-06-30,15.50,0.00,10.08,1.99,0.49
2013-03-31,12.37,0.00,9.31,1.68,0.40
2012-12-31,9.31,0.00,7.15,1.18,0.30
2012-09-30,8.61,0.00,13.20,0.99,0.29
2012-06-30,9.18,0.00,9.37,1.13,0.32
2012-03-31,9.40,0.00,11.71,1.14,0.32
2011-12-31,8.31,0.00,53.75,0.97,0.28
2011-09-30,8.01,0.00,41.03,0.88,0.26
2011-06-30,11.47,0.00,66.26,1.28,0.36
2011-03-31,10.00,0.00,16.57,1.14,0.33
2010-12-31,11.42,0.00,22.64,1.33,0.37
2010-09-30,9.88,0.00,0.00,1.05,0.30
2010-06-30,10.45,0.00,0.00,1.22,0.25
2010-03-31,14.50,0.00,0.00,1.63,0.31
2009-12-31,8.51,0.00,0.00,1.02,0.18
2009-09-30,8.19,0.00,0.00,0.93,0.17
2009-06-30,4.86,0.00,0.00,0.63,0.10
2009-03-31,2.67,0.00,0.00,0.35,0.05
2008-12-31,5.74,0.00,0.00,0.61,0.11
2008-09-30,16.27,17.13,0.00,1.29,0.32
2008-06-30,10.58,0.00,0.00,0.93,0.21
2008-03-31,12.13,0.00,0.00,1.09,0.24
2007-12-31,14.52,0.00,0.00,1.25,0.28
2007-09-30,21.25,0.00,0.00,1.90,0.42
2007-06-30,22.38,0.00,0.00,2.39,0.42
2007-03-31,22.06,0.00,404.77,2.43,0.44
2006-12-31,22.40,0.00,0.00,2.36,0.44
