Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,137.57,92.95,31.02,2.57,9.39
2020-09-30,114.11,41.05,25.73,2.13,7.81
2020-06-30,111.86,38.05,24.99,2.07,7.69
2020-03-31,99.63,35.33,21.98,1.83,6.86
2019-12-31,126.55,41.35,26.35,2.30,8.80
2019-09-30,123.87,54.09,31.37,2.27,8.70
2019-06-30,111.31,53.77,27.77,2.02,7.91
2019-03-31,102.45,49.73,31.98,1.85,7.35
2018-12-31,88.80,46.01,27.31,1.59,6.43
2018-09-30,92.05,37.12,28.51,1.63,6.73
2018-06-30,91.66,30.35,23.81,1.61,6.75
2018-03-31,82.23,28.16,19.05,1.43,6.08
2017-12-31,89.73,31.37,27.71,1.55,6.73
2017-09-30,94.61,42.62,25.06,1.64,6.82
2017-06-30,92.48,39.52,28.48,1.61,6.53
2017-03-31,88.54,35.56,33.39,1.53,6.15
2016-12-31,84.44,31.16,25.76,1.44,5.72
2016-09-30,80.29,28.27,39.37,1.93,5.59
2016-06-30,90.21,30.68,44.00,2.18,6.37
2016-03-31,85.95,20.56,22.51,2.07,6.14
2015-12-31,75.67,17.16,17.37,1.81,5.45
2015-09-30,67.59,15.72,19.99,1.61,4.91
2015-06-30,59.50,14.99,15.00,1.43,4.38
2015-03-31,62.51,24.42,44.09,1.54,4.66
2014-12-31,59.83,30.68,31.87,1.48,4.52
2014-09-30,52.03,37.98,20.21,1.27,3.62
2014-06-30,57.32,37.71,25.00,1.41,4.03
2014-03-31,52.99,21.28,12.66,1.29,3.77
2013-12-31,46.59,16.70,19.56,1.12,3.41
2013-09-30,47.42,13.82,12.91,1.97,3.99
2013-06-30,50.89,16.26,0.00,2.15,4.40
2013-03-31,51.35,20.96,0.00,2.28,4.51
2012-12-31,47.64,18.68,0.00,2.13,4.22
2012-09-30,47.55,18.87,0.00,2.15,4.41
2012-06-30,49.21,22.89,0.00,2.34,4.58
2012-03-31,47.85,28.83,0.00,2.27,4.52
2011-12-31,44.17,33.98,0.00,2.31,4.18
2011-09-30,42.08,41.66,0.00,2.35,3.85
2011-06-30,46.73,62.30,0.00,2.71,4.19
2011-03-31,44.02,74.61,0.00,2.58,3.80
2010-12-31,43.10,76.96,0.00,2.78,3.54
2010-09-30,39.16,68.71,0.00,2.73,3.07
2010-06-30,34.19,58.95,0.00,2.22,2.61
2010-03-31,34.00,43.04,47.80,2.16,2.57
2009-12-31,31.30,36.40,0.00,2.01,2.37
2009-09-30,28.84,35.60,11.09,1.85,2.14
2009-06-30,23.07,28.83,0.00,1.46,1.70
2009-03-31,19.02,25.37,0.00,1.22,1.40
2008-12-31,22.47,35.11,0.00,1.43,1.63
2008-09-30,29.29,46.50,0.00,1.73,2.13
2008-06-30,30.08,35.39,0.00,1.77,2.18
2008-03-31,29.02,33.36,0.00,1.97,2.10
2007-12-31,24.53,24.29,0.00,1.57,1.80
2007-09-30,28.29,31.79,0.00,1.70,2.08
2007-06-30,29.46,45.32,0.00,1.64,2.18
2007-03-31,31.24,58.95,0.00,1.76,2.31
2006-12-31,31.45,108.46,0.00,1.77,2.31
