Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,136.28,257.13,19.94,193.00,3.27
2020-09-30,92.58,174.68,13.55,131.11,2.22
2020-06-30,85.73,62.12,11.20,-351.93,1.69
2020-03-31,74.81,26.81,12.10,-1212.48,1.21
2019-12-31,150.82,39.80,35.46,69.51,2.42
2019-09-30,123.43,31.98,29.93,48.15,2.02
2019-06-30,138.71,34.00,28.19,36.84,2.32
2019-03-31,123.20,24.16,26.15,25.59,2.08
2018-12-31,106.57,20.90,16.56,16.24,1.83
2018-09-30,129.15,27.36,14.95,18.96,2.26
2018-06-30,123.43,28.18,15.10,15.08,2.20
2018-03-31,132.19,35.25,14.55,13.10,2.42
2017-12-31,131.63,36.57,14.69,13.20,2.46
2017-09-30,106.66,28.98,15.53,8.66,2.03
2017-06-30,96.72,33.35,15.22,7.38,1.80
2017-03-31,90.52,32.56,15.09,6.67,1.64
2016-12-31,79.19,29.44,14.36,5.71,1.39
2016-09-30,64.24,22.62,11.57,4.29,1.11
2016-06-30,63.14,18.79,10.68,-4.64,1.11
2016-03-31,67.32,20.59,9.98,-4.67,1.23
2015-12-31,63.16,20.05,9.15,-4.51,1.20
2015-09-30,64.07,20.94,9.98,-4.60,1.25
2015-06-30,69.61,23.76,12.12,-6.13,1.41
2015-03-31,74.93,27.75,17.13,-8.16,1.57
2014-12-31,72.61,28.59,17.27,-9.24,1.57
2014-09-30,64.88,27.61,15.72,-10.11,1.46
2014-06-30,59.32,26.72,15.13,-10.03,1.38
2014-03-31,51.67,24.03,13.22,-9.36,1.24
2013-12-31,45.37,22.57,16.83,-9.56,1.11
2013-09-30,38.53,18.52,19.46,-8.21,0.92
2013-06-30,36.82,18.41,12.97,-7.48,0.92
2013-03-31,38.37,20.74,17.34,-8.62,1.01
2012-12-31,33.75,19.62,18.21,-8.17,0.95
2012-09-30,35.28,22.47,16.76,-8.55,1.03
2012-06-30,35.24,57.77,17.75,-10.12,1.03
2012-03-31,33.91,60.56,15.81,-13.29,1.00
2011-12-31,26.06,50.12,10.20,-11.11,0.77
2011-09-30,22.88,40.13,8.49,17.90,0.69
2011-06-30,29.70,22.67,12.51,9.23,0.93
2011-03-31,29.69,23.75,12.52,7.78,0.95
2010-12-31,34.59,28.59,13.66,8.01,1.12
2010-09-30,29.76,28.90,11.02,7.99,0.96
2010-06-30,24.84,0.00,9.87,7.36,0.81
2010-03-31,26.12,0.00,13.36,8.82,0.86
2009-12-31,22.55,0.00,11.12,7.07,0.74
2009-09-30,22.76,0.00,17.88,8.25,0.73
2009-06-30,18.13,67.81,18.25,4.56,0.56
2009-03-31,13.39,22.95,8.28,3.57,0.40
2008-12-31,15.84,16.34,18.23,4.02,0.46
2008-09-30,21.13,14.53,8.34,5.22,0.61
2008-06-30,21.19,13.91,9.26,5.25,0.62
2008-03-31,27.60,17.12,11.31,7.47,0.83
2007-12-31,27.45,15.95,12.93,6.94,0.86
2007-09-30,34.84,19.57,41.90,7.85,1.15
2007-06-30,34.60,19.43,29.90,6.67,1.18
2007-03-31,39.12,22.99,19.14,6.88,1.39
2006-12-31,38.08,27.01,13.37,5.73,1.39
