Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,218.20,33.31,38.24,-19.19,8.64
2020-06-30,182.31,28.89,39.34,-14.34,7.23
2020-03-31,162.33,21.28,22.72,-12.99,5.96
2019-12-31,192.76,24.46,25.08,-17.52,7.02
2019-09-30,208.10,27.31,30.00,-18.23,7.62
2019-06-30,200.20,26.31,28.95,-22.33,7.41
2019-03-31,182.02,24.14,29.82,-21.21,6.80
2018-12-31,169.13,22.43,30.30,-20.73,6.34
2018-09-30,158.36,24.03,29.56,-17.97,5.94
2018-06-30,147.41,21.65,31.36,-19.55,5.49
2018-03-31,146.19,22.12,30.69,-24.33,5.33
2017-12-31,159.88,25.14,33.74,-35.92,5.73
2017-09-30,144.69,20.88,33.81,-33.17,5.11
2017-06-30,140.61,23.01,28.69,-56.93,4.88
2017-03-31,118.26,20.89,24.01,-47.46,4.13
2016-12-31,110.25,20.34,21.97,-40.98,3.89
2016-09-30,103.68,19.60,17.54,-53.01,3.69
2016-06-30,107.33,20.68,20.09,143.10,3.89
2016-03-31,111.27,21.40,20.61,25.28,4.10
2015-12-31,103.81,21.58,19.86,13.28,3.88
2015-09-30,85.91,18.55,17.04,9.49,3.22
2015-06-30,82.16,19.02,18.05,7.33,3.07
2015-03-31,83.48,18.72,19.40,7.02,3.07
2014-12-31,79.59,16.48,18.54,5.96,2.87
2014-09-30,79.83,15.65,18.05,5.70,2.84
2014-06-30,84.10,15.21,18.38,5.11,2.97
2014-03-31,81.19,14.73,17.75,4.97,2.89
2013-12-31,79.68,14.33,18.66,4.93,2.86
2013-09-30,78.36,14.14,18.95,5.14,2.83
2013-06-30,79.98,14.67,19.94,5.27,2.92
2013-03-31,79.90,14.82,20.67,5.26,2.94
2012-12-31,70.14,13.09,18.27,4.60,2.60
2012-09-30,72.31,13.62,18.96,5.23,2.71
2012-06-30,69.22,12.99,17.29,4.97,2.61
2012-03-31,76.11,14.20,17.89,5.28,2.89
2011-12-31,77.30,14.64,18.27,5.49,3.00
2011-09-30,67.16,13.14,15.77,5.15,2.68
2011-06-30,64.05,12.94,15.37,4.42,2.67
2011-03-31,57.37,12.13,14.53,4.12,2.51
2010-12-31,57.40,12.53,14.74,4.13,2.58
2010-09-30,55.29,12.21,14.88,4.28,2.53
2010-06-30,48.51,11.05,13.38,3.93,2.25
2010-03-31,48.74,11.50,13.07,3.71,2.31
2009-12-31,45.23,11.00,13.18,3.47,2.21
2009-09-30,40.98,10.59,11.99,3.35,2.05
2009-06-30,40.92,10.85,12.71,3.37,2.05
2009-03-31,38.52,10.06,12.77,3.35,1.91
2008-12-31,43.48,11.53,13.18,3.62,2.12
2008-09-30,42.77,10.80,13.72,3.65,2.10
2008-06-30,38.74,10.20,12.76,2.98,1.96
2008-03-31,38.19,17.68,13.11,3.00,1.97
2007-12-31,40.06,20.34,16.57,3.06,2.12
2007-09-30,36.09,18.90,14.44,2.85,1.98
2007-06-30,33.63,19.78,13.94,2.66,1.90
2007-03-31,29.85,10.05,13.29,2.26,1.74
2006-12-31,29.37,10.34,14.14,2.29,1.76
