Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,162.35,142.41,24.44,8.25,8.09
2020-12-31,137.78,120.86,20.74,7.00,6.87
2020-09-30,102.22,43.68,15.94,4.89,5.08
2020-06-30,104.39,41.76,16.62,4.79,5.10
2020-03-31,66.94,30.15,11.59,2.94,3.25
2019-12-31,103.04,40.73,18.13,4.39,4.96
2019-09-30,91.05,59.51,14.75,4.05,4.26
2019-06-30,84.62,57.17,13.33,3.81,3.87
2019-03-31,80.60,56.76,13.93,3.62,3.76
2018-12-31,69.59,53.53,12.88,3.20,3.45
2018-09-30,75.97,2532.40,15.49,3.47,4.05
2018-06-30,87.18,207.57,19.68,4.01,5.06
2018-03-31,87.23,89.01,17.75,6.25,5.32
2017-12-31,83.55,86.13,15.70,6.15,5.15
2017-09-30,85.02,34.01,28.02,5.61,5.48
2017-06-30,72.77,38.91,15.62,4.96,4.81
2017-03-31,69.25,108.20,16.14,4.85,4.67
2016-12-31,59.91,157.65,15.89,5.05,4.42
2016-09-30,57.71,288.56,10.37,4.95,4.62
2016-06-30,46.87,130.19,14.13,3.98,4.16
2016-03-31,44.17,29.64,14.53,4.19,4.42
2015-12-31,42.29,25.94,14.87,4.05,4.29
2015-09-30,38.86,22.33,15.10,3.71,3.98
2015-06-30,42.42,22.81,15.71,4.09,4.38
2015-03-31,43.42,26.16,16.98,4.26,4.53
2014-12-31,39.78,23.26,14.82,3.51,4.23
2014-09-30,41.30,22.95,16.13,3.69,4.47
2014-06-30,42.36,23.02,17.16,3.91,4.66
2014-03-31,41.14,22.73,15.44,3.85,4.61
2013-12-31,38.24,24.05,15.85,3.67,4.37
2013-09-30,34.15,29.44,13.93,3.36,3.98
2013-06-30,31.29,53.03,14.63,3.16,3.78
2013-03-31,30.59,50.15,15.40,3.11,3.91
2012-12-31,26.86,37.30,13.38,2.72,3.63
2012-09-30,26.67,25.40,16.18,2.64,3.82
2012-06-30,26.68,17.10,13.15,2.56,3.97
2012-03-31,29.67,17.87,17.25,2.88,4.35
2011-12-31,28.94,15.31,15.82,2.86,4.07
2011-09-30,24.34,12.05,11.60,2.44,3.31
2011-06-30,29.33,13.58,13.93,2.97,3.83
2011-03-31,29.15,13.62,12.39,3.05,3.78
2010-12-31,26.24,13.67,12.15,2.99,3.62
2010-09-30,23.64,13.28,11.30,2.70,3.53
2010-06-30,20.61,13.93,9.90,2.44,3.49
2010-03-31,20.67,17.82,9.58,2.50,4.08
2009-12-31,21.06,23.93,11.41,2.61,4.67
2009-09-30,18.97,20.85,14.69,2.39,4.49
2009-06-30,15.94,14.76,13.58,2.00,3.58
2009-03-31,14.74,11.08,13.35,1.81,3.06
2008-12-31,13.35,8.29,10.70,2.39,2.61
2008-09-30,19.78,12.44,9.98,3.64,3.76
2008-06-30,20.31,14.01,10.83,3.56,4.07
2008-03-31,21.58,15.30,12.12,3.84,4.52
2007-12-31,20.50,12.97,11.65,3.33,4.35
2007-09-30,23.47,15.34,15.07,2.60,5.05
2007-06-30,23.75,14.66,14.90,2.52,5.05
2007-03-31,22.63,14.05,13.52,2.45,4.80
2006-12-31,20.67,14.87,6.74,2.36,4.40
