Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,289.26,30.10,29.32,32.19,10.33
2020-06-30,273.62,29.97,28.86,41.69,10.02
2020-03-31,210.18,26.08,25.35,49.33,8.06
2019-12-31,235.44,31.73,28.09,53.18,9.35
2019-09-30,202.68,29.67,26.21,54.86,8.37
2019-06-30,192.81,29.99,27.60,63.47,8.28
2019-03-31,178.30,26.41,25.80,104.02,7.76
2018-12-31,137.48,20.40,19.51,40.09,6.02
2018-09-30,163.65,29.33,22.64,51.74,7.00
2018-06-30,166.51,29.63,21.76,69.45,7.14
2018-03-31,157.07,29.69,19.42,71.77,7.00
2017-12-31,143.37,27.84,41.93,-238.27,6.62
2017-09-30,134.86,48.16,42.67,-164.34,6.59
2017-06-30,117.54,47.39,40.38,-48.03,5.96
2017-03-31,107.86,49.71,54.68,-28.49,5.59
2016-12-31,90.44,68.52,15.45,-16.79,4.91
2016-09-30,103.51,22.36,18.80,-55.29,5.80
2016-06-30,89.26,20.01,16.98,-46.44,5.18
2016-03-31,91.62,20.63,16.89,-50.65,5.39
2015-12-31,94.79,20.52,17.38,-55.82,5.56
2015-09-30,92.47,19.89,17.01,-76.12,5.47
2015-06-30,101.35,22.47,19.63,-196.37,6.11
2015-03-31,97.14,20.62,20.03,-134.32,6.02
2014-12-31,89.35,19.42,20.32,425.69,5.78
2014-09-30,87.89,19.88,20.92,38.18,5.92
2014-06-30,81.28,19.12,18.69,25.47,5.71
2014-03-31,73.29,19.44,19.15,39.82,5.42
2013-12-31,72.25,20.07,18.26,44.44,5.46
2013-09-30,64.54,19.21,15.37,47.57,4.94
2013-06-30,55.70,16.68,13.77,26.88,4.31
2013-03-31,48.60,15.68,11.90,23.30,3.91
2012-12-31,45.67,15.07,13.30,25.71,3.79
2012-09-30,39.94,14.47,15.55,27.64,3.57
2012-06-30,32.92,13.06,13.86,67.57,3.15
2012-03-31,37.75,14.63,14.36,93.00,3.68
2011-12-31,30.07,12.08,9.38,-42.23,3.04
2011-09-30,27.07,10.26,8.15,-34.51,2.76
2011-06-30,33.95,12.81,11.08,-467.59,3.51
2011-03-31,29.91,12.78,11.54,-30.52,3.29
2010-12-31,23.32,10.90,9.61,-18.04,2.72
2010-09-30,21.86,10.99,8.88,-17.21,2.66
2010-06-30,17.35,9.48,7.73,-8.26,2.18
2010-03-31,25.79,14.49,11.87,-11.44,3.30
2009-12-31,23.14,13.69,9.95,-9.20,3.06
2009-09-30,17.59,10.79,8.33,-6.42,2.46
2009-06-30,22.56,13.51,10.04,-7.11,3.21
2009-03-31,19.56,11.11,9.94,-5.01,2.75
2008-12-31,17.07,9.18,9.20,-4.07,2.40
2008-09-30,28.74,14.51,14.22,-7.71,3.93
2008-06-30,29.03,14.30,12.10,-8.61,3.87
2008-03-31,29.30,12.06,9.48,-7.94,3.72
2007-12-31,29.95,11.65,10.11,-9.61,3.65
2007-09-30,42.20,13.84,12.19,-17.89,5.04
2007-06-30,51.99,16.83,15.44,-52.20,6.40
2007-03-31,51.81,18.98,16.60,-202.40,6.88
2006-12-31,57.59,22.15,18.99,95.85,8.28
