Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,58.47,23.58,27.08,3.00,3.17
2020-09-30,57.14,26.21,17.23,3.02,3.15
2020-06-30,50.57,21.25,20.10,2.77,2.83
2020-03-31,49.26,19.32,22.59,2.73,2.75
2019-12-31,53.87,20.25,25.16,2.83,3.04
2019-09-30,53.83,19.79,23.37,2.89,3.07
2019-06-30,52.18,20.46,24.42,2.88,2.99
2019-03-31,48.09,21.66,21.51,2.68,2.77
2018-12-31,38.36,17.36,17.54,2.16,2.20
2018-09-30,40.91,18.76,22.47,2.33,2.35
2018-06-30,38.81,19.21,23.13,2.25,2.23
2018-03-31,39.28,18.53,22.64,2.19,2.28
2017-12-31,40.07,20.98,36.35,2.29,2.38
2017-09-30,37.88,26.30,37.98,2.17,2.28
2017-06-30,40.02,35.10,36.55,2.34,2.44
2017-03-31,39.74,35.81,37.69,2.35,2.41
2016-12-31,40.72,38.78,36.56,2.47,2.48
2016-09-30,40.15,75.76,27.84,2.25,2.42
2016-06-30,41.45,8.93,29.27,2.33,2.47
2016-03-31,36.39,7.91,27.19,2.03,2.09
2015-12-31,40.50,9.12,29.15,2.28,2.25
2015-09-30,37.64,7.25,29.81,2.00,2.01
2015-06-30,36.87,29.26,31.06,2.40,1.90
2015-03-31,32.23,23.52,26.58,2.13,1.64
2014-12-31,32.30,25.43,28.64,1.93,1.61
2014-09-30,30.35,15.33,11.28,1.65,1.51
2014-06-30,33.16,16.42,12.53,1.73,1.66
2014-03-31,30.35,15.18,11.76,1.62,1.53
2013-12-31,30.88,13.85,11.20,1.62,1.57
2013-09-30,27.38,17.90,29.34,1.48,1.39
2013-06-30,24.75,18.75,24.22,1.40,1.26
2013-03-31,26.44,16.95,15.67,1.47,1.35
2012-12-31,21.89,12.88,16.01,1.20,1.12
2012-09-30,23.21,12.41,12.47,1.12,1.18
2012-06-30,21.52,10.60,10.67,1.05,0.96
2012-03-31,21.01,10.51,13.11,1.00,0.82
2011-12-31,20.50,10.30,13.06,1.03,0.74
2011-09-30,18.28,9.99,14.00,0.88,0.60
2011-06-30,19.02,10.93,20.92,0.86,0.64
2011-03-31,16.79,9.76,26.01,0.79,0.58
2010-12-31,16.71,6.88,14.02,0.81,0.58
2010-09-30,16.22,6.24,16.40,0.81,0.58
2010-06-30,14.58,5.36,8.02,0.76,0.53
2010-03-31,15.59,5.67,6.89,0.79,0.58
2009-12-31,13.88,6.81,5.42,0.79,0.53
2009-09-30,13.28,7.95,5.44,0.78,0.53
2009-06-30,12.67,6.18,5.82,0.77,0.49
2009-03-31,11.02,5.59,5.48,0.72,0.42
2008-12-31,13.11,6.83,7.16,0.86,0.49
2008-09-30,15.81,7.22,9.66,0.88,0.60
2008-06-30,13.62,8.30,9.81,0.74,0.55
2008-03-31,14.71,9.19,10.26,0.82,0.62
2007-12-31,15.34,9.41,10.53,0.86,0.69
2007-09-30,16.09,9.87,13.83,0.93,0.75
2007-06-30,16.31,9.59,11.60,0.94,0.78
2007-03-31,14.54,8.71,10.75,0.83,0.71
2006-12-31,16.27,8.79,10.55,0.93,0.81
