Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,100.06,38.19,28.45,2.68,4.85
2020-07-31,95.45,29.19,27.11,2.54,4.62
2020-04-30,95.96,27.03,21.53,2.53,4.49
2020-01-31,112.80,28.63,22.97,2.91,4.91
2019-10-31,105.90,30.61,22.76,2.80,4.64
2019-07-31,98.64,30.16,23.56,2.62,4.36
2019-04-30,85.46,24.99,19.75,2.28,3.80
2019-01-31,84.60,23.37,23.70,2.27,3.77
2018-10-31,85.49,51.81,23.99,2.31,3.83
2018-07-31,85.44,36.99,25.56,2.29,3.89
2018-04-30,75.44,33.38,28.54,2.01,3.44
2018-01-31,80.86,39.83,25.76,2.18,3.73
2017-10-31,75.81,20.77,24.28,1.99,3.53
2017-07-31,78.59,26.46,22.39,2.10,3.64
2017-04-30,77.37,26.77,19.13,2.11,3.63
2017-01-31,70.41,24.88,19.02,1.95,3.36
2016-10-31,75.51,25.09,21.50,2.06,3.67
2016-07-31,80.28,31.24,23.75,2.18,3.97
2016-04-30,72.16,29.10,24.66,1.94,3.57
2016-01-31,68.86,40.51,19.85,1.90,3.21
2015-10-31,66.72,34.93,16.52,1.79,3.19
2015-07-31,70.37,29.57,17.09,1.88,3.45
2015-04-30,66.50,24.81,17.03,1.78,3.40
2015-01-31,63.52,20.36,16.37,3.15,3.63
2014-10-31,60.39,20.89,16.25,3.06,3.50
2014-07-31,54.43,18.45,14.27,2.77,3.20
2014-04-30,51.61,17.15,11.46,2.65,3.08
2014-01-31,49.41,14.04,11.22,2.55,2.97
2013-10-31,49.90,13.34,11.85,2.66,3.04
2013-07-31,47.77,13.73,11.75,2.57,2.94
2013-04-30,40.15,11.88,9.20,2.18,2.49
2013-01-31,39.86,11.83,9.61,2.27,2.52
2012-10-31,35.35,10.78,9.25,2.08,2.27
2012-07-31,33.31,9.60,8.28,1.97,2.16
2012-04-30,32.07,9.40,8.53,1.94,2.11
2012-01-31,32.18,10.09,9.20,1.95,2.17
2011-10-31,28.80,9.09,8.09,1.82,1.96
2011-07-31,29.66,10.34,9.05,1.92,2.04
2011-04-30,34.14,11.94,11.40,2.29,2.38
2011-01-31,31.16,10.39,9.34,2.17,2.22
2010-10-31,28.47,9.85,8.08,2.06,2.04
2010-07-31,29.68,9.42,8.67,2.19,2.15
2010-04-30,34.86,12.49,10.87,2.61,2.51
2010-01-31,34.06,15.84,10.88,2.62,2.46
2009-10-31,28.23,13.77,10.02,2.29,2.09
2009-07-31,27.85,15.65,9.84,2.35,2.11
2009-04-30,25.00,12.26,8.33,2.12,1.93
2009-01-31,26.00,10.24,10.24,2.23,2.01
2008-10-31,31.12,15.88,12.58,2.76,2.43
2008-07-31,40.62,20.01,16.11,3.74,3.28
2008-04-30,37.29,19.03,14.33,3.64,3.16
2008-01-31,35.53,18.31,12.61,3.64,3.16
2007-10-31,36.16,14.58,14.53,3.56,3.32
2007-07-31,38.53,15.48,16.41,3.92,3.57
2007-04-30,40.16,16.66,19.39,4.18,3.80
2007-01-31,40.46,17.37,20.88,4.24,3.94
2006-10-31,36.77,16.20,15.32,4.12,3.71
