Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,36.41,5.98,2.91,0.45,0.51
2020-06-30,35.34,4.59,2.75,0.42,0.48
2020-03-31,29.19,3.11,2.02,0.38,0.38
2019-12-31,48.24,7.97,3.30,0.67,0.66
2019-09-30,44.23,5.89,4.28,0.59,0.63
2019-06-30,46.14,7.58,4.85,0.67,0.69
2019-03-31,39.18,7.61,3.14,0.63,0.57
2018-12-31,37.44,7.58,3.23,0.68,0.56
2018-09-30,42.21,8.67,3.44,0.80,0.64
2018-06-30,39.03,9.98,2.99,0.73,0.60
2018-03-31,40.71,10.57,3.80,0.74,0.70
2017-12-31,44.47,13.04,3.90,0.79,0.77
2017-09-30,45.36,0.00,3.10,0.84,0.86
2017-06-30,42.58,473.08,3.32,0.65,0.82
2017-03-31,40.63,0.00,3.01,0.64,0.78
2016-12-31,41.13,67.42,3.09,0.67,0.75
2016-09-30,33.62,10.35,2.74,0.47,0.65
2016-06-30,29.84,7.85,2.50,0.41,0.55
2016-03-31,32.61,7.00,2.76,0.47,0.60
2015-12-31,35.47,7.79,2.85,0.57,0.65
2015-09-30,34.43,6.69,2.61,0.54,0.54
2015-06-30,40.61,6.88,2.82,0.65,0.63
2015-03-31,36.40,5.92,2.51,0.55,0.55
2014-12-31,38.68,7.14,2.70,0.60,0.60
2014-09-30,38.17,7.80,2.53,0.60,0.60
2014-06-30,39.21,10.00,2.82,0.63,0.63
2014-03-31,37.00,11.64,2.61,0.63,0.61
2013-12-31,37.57,12.91,2.60,0.68,0.61
2013-09-30,32.53,14.59,3.09,0.60,0.53
2013-06-30,31.53,67.08,2.81,0.57,0.51
2013-03-31,26.02,12.05,2.00,0.44,0.40
2012-12-31,22.43,19.85,1.41,0.38,0.35
2012-09-30,22.94,10.93,1.48,0.38,0.36
2012-06-30,20.54,3.23,1.41,0.35,0.31
2012-03-31,24.87,4.64,2.12,0.45,0.38
2011-12-31,20.76,3.30,2.16,0.38,0.32
2011-09-30,18.25,3.45,1.58,0.32,0.28
2011-06-30,28.58,12.54,2.70,0.56,0.48
2011-03-31,29.15,9.75,3.32,0.61,0.48
2010-12-31,28.96,9.11,3.23,0.58,0.47
2010-09-30,24.62,7.07,3.41,0.48,0.40
2010-06-30,24.18,10.20,2.22,0.50,0.40
2010-03-31,27.75,0.00,2.97,0.63,0.52
2009-12-31,22.64,0.00,4.87,0.55,0.46
2009-09-30,23.86,0.00,2.97,0.56,0.44
2009-06-30,18.80,0.00,3.47,0.56,0.31
2009-03-31,14.27,5.53,1.72,0.50,0.22
2008-12-31,21.84,5.29,1.52,0.72,0.31
2008-09-30,34.30,7.85,2.53,0.87,0.54
2008-06-30,32.32,6.69,2.15,0.71,0.54
2008-03-31,36.91,7.31,2.47,0.79,0.61
2007-12-31,37.75,6.88,2.91,0.78,0.61
2007-09-30,42.23,4.69,4.23,0.90,0.71
2007-06-30,39.05,4.34,4.49,0.86,0.65
2007-03-31,38.24,4.60,4.60,0.83,0.67
2006-12-31,35.73,4.48,4.20,0.80,0.64
