Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,92.82,45.61,30.61,6.29,4.46
2020-08-31,102.04,36.06,31.64,6.90,4.96
2020-05-31,86.38,31.07,29.67,6.28,4.27
2020-02-29,71.81,27.51,27.46,5.34,3.61
2019-11-30,82.83,31.55,28.72,6.37,4.15
2019-08-31,79.44,30.21,27.84,6.07,3.99
2019-05-31,75.84,29.57,27.48,5.94,3.81
2019-02-28,65.84,26.66,22.44,5.20,3.30
2018-11-30,72.34,20.64,29.56,6.01,3.63
2018-08-31,59.99,17.83,21.89,5.08,3.03
2018-05-31,48.31,15.39,18.00,4.17,2.48
2018-02-28,50.82,16.55,23.01,4.34,2.67
2017-11-30,48.39,26.15,19.63,4.93,2.61
2017-08-31,44.83,24.77,24.67,4.64,2.50
2017-05-31,48.84,25.91,27.22,6.73,2.78
2017-02-28,45.94,24.77,25.27,6.62,2.65
2016-11-30,42.36,22.90,21.43,6.48,2.46
2016-08-31,47.14,26.04,26.90,6.70,2.76
2016-05-31,44.70,26.45,24.11,6.38,2.64
2016-02-29,42.76,25.91,25.20,6.29,2.55
2015-11-30,39.20,25.13,21.93,5.92,2.36
2015-08-31,36.00,23.22,22.29,5.23,2.19
2015-05-31,35.46,21.62,24.30,5.23,2.17
2015-02-28,33.88,20.72,22.45,5.08,2.08
2014-11-30,33.23,19.90,23.40,4.72,2.06
2014-08-31,30.99,19.49,20.94,4.06,1.93
2014-05-31,31.99,21.18,21.07,4.19,2.01
2014-02-28,29.22,19.68,19.23,3.84,1.86
2013-11-30,30.20,20.69,21.94,4.07,1.96
2013-08-31,29.45,19.31,24.14,4.33,1.92
2013-05-31,29.93,19.63,23.86,4.56,1.98
2013-02-28,29.01,18.96,21.67,4.44,1.93
2012-11-30,27.69,18.22,21.49,4.32,1.85
2012-08-31,26.22,18.02,17.13,4.03,1.77
2012-05-31,23.93,16.97,18.35,3.87,1.64
2012-02-29,21.30,15.38,19.82,3.34,1.50
2011-11-30,20.44,14.65,22.51,3.36,1.48
2011-08-31,19.93,14.24,22.97,3.07,1.50
2011-05-31,20.82,14.51,20.40,3.35,1.63
2011-02-28,19.65,13.98,18.81,3.30,1.58
2010-11-30,18.04,13.12,15.95,3.28,1.46
2010-08-31,16.24,12.35,14.86,3.13,1.33
2010-05-31,15.60,12.79,13.51,3.23,1.27
2010-02-28,14.91,12.80,11.30,2.97,1.22
2009-11-30,14.24,12.60,11.28,2.79,1.18
2009-08-31,12.90,12.84,10.80,2.52,1.07
2009-05-31,12.00,12.25,13.19,2.48,1.00
2009-02-28,12.23,12.29,15.28,2.89,1.02
2008-11-30,11.53,11.88,12.31,2.84,0.96
2008-08-31,15.57,15.65,16.61,3.33,1.31
2008-05-31,14.38,15.14,14.80,3.00,1.24
2008-02-29,13.10,14.56,14.24,2.91,1.16
2007-11-30,14.45,16.61,25.99,3.40,1.32
2007-08-31,13.48,15.95,26.90,3.55,1.26
2007-05-31,13.95,17.66,26.62,3.60,1.34
2007-02-28,14.25,16.47,23.06,3.77,1.39
2006-11-30,14.34,18.99,16.68,4.00,1.43
