Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,480.48,66.18,83.23,20.32,28.27
2020-06-30,499.18,72.34,56.16,22.19,30.88
2020-03-31,331.01,55.45,41.26,15.73,22.62
2019-12-31,376.68,69.75,61.83,18.56,27.94
2019-09-30,324.92,61.42,58.82,17.67,24.93
2019-06-30,318.41,65.12,57.78,18.16,25.99
2019-03-31,243.33,51.88,49.44,14.53,20.68
2018-12-31,208.48,45.62,44.76,12.91,18.12
2018-09-30,175.74,41.45,41.87,11.42,15.80
2018-06-30,194.38,47.18,49.49,13.11,17.74
2018-03-31,213.17,52.64,55.93,14.93,19.99
2017-12-31,197.36,50.74,52.69,14.42,19.09
2017-09-30,180.16,46.31,43.75,13.24,17.68
2017-06-30,196.03,51.45,46.96,14.69,19.48
2017-03-31,182.44,49.44,45.06,14.20,18.07
2016-12-31,142.72,42.60,75.60,11.45,14.65
2016-09-30,160.58,51.47,95.50,13.36,17.20
2016-06-30,140.77,48.54,116.09,12.15,15.78
2016-03-31,120.61,45.34,102.75,11.04,14.42
2015-12-31,107.56,42.35,37.10,10.30,13.36
2015-09-30,89.48,36.37,32.79,8.94,11.37
2015-06-30,89.05,38.39,33.35,9.23,11.72
2015-03-31,79.39,36.75,31.38,8.60,10.87
2014-12-31,68.50,34.77,27.27,7.65,9.89
2014-09-30,58.95,29.33,30.83,6.76,8.84
2014-06-30,51.37,25.30,25.72,5.98,7.80
2014-03-31,56.11,27.24,32.53,6.66,8.57
2013-12-31,63.24,31.46,35.45,7.69,10.02
2013-09-30,56.54,29.14,27.13,7.42,9.58
2013-06-30,43.98,24.16,24.37,6.11,7.96
2013-03-31,34.99,21.20,19.41,5.20,6.79
2012-12-31,33.00,20.75,17.52,5.09,6.55
2012-09-30,28.30,21.12,17.52,3.88,5.95
2012-06-30,23.77,18.01,14.33,3.38,5.07
2012-03-31,33.16,25.91,18.69,4.86,7.29
2011-12-31,26.69,22.24,18.15,3.31,6.14
2011-09-30,22.99,20.17,14.54,2.87,5.19
2011-06-30,22.06,21.63,15.59,2.86,5.22
2011-03-31,21.21,23.57,13.76,2.85,5.36
2010-12-31,18.17,22.71,12.44,2.31,4.86
2010-09-30,14.77,20.80,11.13,2.21,4.06
2010-06-30,11.94,19.58,9.13,1.61,3.45
2010-03-31,13.56,26.59,14.18,1.87,4.18
2009-12-31,11.93,28.40,12.43,1.66,3.95
2009-09-30,10.26,31.11,12.53,1.46,3.75
2009-06-30,8.13,32.53,14.35,1.17,3.18
2009-03-31,6.52,26.08,9.84,0.98,2.50
2008-12-31,6.96,31.65,10.55,1.04,2.64
2008-09-30,6.89,29.94,12.34,1.05,2.57
2008-06-30,6.45,24.81,10.50,1.03,2.38
2008-03-31,8.48,30.29,12.07,1.58,3.13
2007-12-31,10.95,36.49,15.57,2.07,4.04
2007-09-30,12.80,42.66,17.16,2.43,4.76
2007-06-30,15.35,56.85,22.61,2.94,5.80
2007-03-31,14.28,75.18,34.80,2.58,5.73
2006-12-31,11.58,77.19,39.38,2.02,4.88
