Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,336.34,39.06,32.90,3.64,4.44
2020-09-30,234.86,21.95,22.97,2.54,3.15
2020-06-30,205.55,20.66,19.98,2.33,2.71
2020-03-31,187.76,19.83,20.04,2.21,2.47
2019-12-31,276.80,28.42,30.31,3.23,3.66
2019-09-30,270.76,29.59,32.92,3.19,3.65
2019-06-30,226.81,28.21,35.20,2.78,3.20
2019-03-31,197.85,24.89,40.52,2.49,2.85
2018-12-31,168.60,22.69,32.33,2.13,2.51
2018-09-30,178.04,14.99,35.46,2.26,2.68
2018-06-30,218.01,19.09,48.56,2.83,3.39
2018-03-31,201.96,18.79,44.91,2.72,3.25
2017-12-31,214.88,19.08,54.91,2.89,3.42
2017-09-30,200.06,29.16,46.33,2.90,3.21
2017-06-30,215.48,30.96,43.58,3.22,3.46
2017-03-31,210.89,31.91,45.06,3.25,3.47
2016-12-31,213.65,32.23,45.23,3.26,3.58
2016-09-30,172.41,27.19,38.69,2.63,3.00
2016-06-30,184.41,32.99,47.08,2.91,3.28
2016-03-31,152.88,31.14,40.00,2.46,2.80
2015-12-31,130.54,30.43,33.35,2.07,2.48
2015-09-30,144.87,36.40,44.16,2.25,2.64
2015-06-30,134.59,44.42,46.19,1.45,2.51
2015-03-31,132.61,43.06,44.76,2.06,2.43
2014-12-31,104.35,41.08,39.86,1.61,1.95
2014-09-30,121.58,51.52,42.07,1.87,2.42
2014-06-30,124.13,39.91,40.76,3.68,2.49
2014-03-31,120.26,44.05,43.91,3.61,2.53
2013-12-31,93.34,36.04,28.11,2.74,2.00
2013-09-30,91.31,40.05,35.46,2.82,2.00
2013-06-30,91.16,43.41,38.52,2.93,2.06
2013-03-31,94.16,46.84,39.20,3.08,2.14
2012-12-31,86.65,47.87,55.58,2.75,1.96
2012-09-30,75.82,45.40,103.88,2.37,1.78
2012-06-30,71.73,51.98,48.81,2.32,1.76
2012-03-31,77.47,56.96,49.80,2.53,1.99
2011-12-31,67.91,38.15,29.98,2.14,1.81
2011-09-30,56.62,31.81,20.29,1.74,1.63
2011-06-30,71.22,38.71,28.49,2.24,2.04
2011-03-31,79.48,35.48,29.65,2.53,2.21
2010-12-31,81.39,38.94,27.75,2.53,2.25
2010-09-30,67.60,39.76,21.89,2.11,1.92
2010-06-30,74.08,41.15,21.13,2.38,2.12
2010-03-31,72.65,49.09,20.66,2.40,2.11
2009-12-31,77.36,41.15,19.08,2.50,2.16
2009-09-30,79.29,31.09,20.46,2.62,1.91
2009-06-30,67.63,23.32,17.67,2.32,1.50
2009-03-31,67.66,19.01,23.40,2.35,1.38
2008-12-31,82.39,19.62,39.24,3.20,1.62
2008-09-30,94.59,19.19,37.62,3.50,1.83
2008-06-30,87.19,15.94,50.92,3.40,1.68
2008-03-31,89.10,15.18,30.80,3.69,1.74
2007-12-31,110.94,18.19,35.99,4.85,2.20
2007-09-30,111.44,18.18,32.73,4.72,2.26
2007-06-30,134.84,23.82,43.82,6.23,2.82
2007-03-31,112.32,20.92,46.14,4.81,2.41
2006-12-31,86.14,16.25,55.31,3.08,1.84
