Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,117.07,36.36,22.49,6.78,3.48
2020-09-30,113.75,28.58,21.86,6.59,3.40
2020-06-30,106.05,26.85,24.12,6.40,3.17
2020-03-31,84.96,24.41,28.18,5.77,2.52
2019-12-31,109.04,32.07,28.58,6.91,3.35
2019-09-30,97.46,33.15,24.58,6.31,3.10
2019-06-30,96.74,33.47,25.74,5.88,3.16
2019-03-31,90.66,27.64,21.18,5.76,3.08
2018-12-31,77.00,23.91,18.59,5.12,2.64
2018-09-30,79.46,26.66,22.98,5.31,2.74
2018-06-30,78.36,24.49,24.22,5.08,2.74
2018-03-31,78.58,25.19,25.00,4.98,2.80
2017-12-31,77.10,26.86,25.02,5.27,2.86
2017-09-30,79.03,21.65,23.72,5.67,3.01
2017-06-30,73.52,20.31,20.86,5.33,2.84
2017-03-31,69.36,19.48,18.88,5.40,2.71
2016-12-31,63.13,18.68,18.82,5.17,2.51
2016-09-30,62.49,19.23,18.76,4.78,2.50
2016-06-30,63.29,20.22,19.43,4.90,2.55
2016-03-31,55.91,18.64,19.65,4.31,2.29
2015-12-31,50.70,17.07,17.36,4.01,2.12
2015-09-30,47.47,16.95,15.79,3.91,2.01
2015-06-30,51.26,18.78,17.36,3.96,2.19
2015-03-31,50.46,18.48,17.36,3.96,2.16
2014-12-31,51.24,19.34,16.15,3.88,2.19
2014-09-30,46.60,17.58,17.05,3.19,2.02
2014-06-30,45.89,17.92,18.90,3.04,2.03
2014-03-31,43.43,17.51,21.14,2.97,1.95
2013-12-31,42.37,17.51,25.02,2.90,1.93
2013-09-30,37.93,16.14,26.54,2.92,1.74
2013-06-30,34.56,14.77,25.73,2.77,1.59
2013-03-31,32.67,14.58,20.30,2.68,1.51
2012-12-31,29.46,13.83,16.13,2.43,1.36
2012-09-30,28.81,13.52,13.98,2.38,1.34
2012-06-30,27.17,14.08,12.92,2.33,1.27
2012-03-31,27.46,14.92,11.49,2.39,1.30
2011-12-31,26.30,14.69,10.15,2.39,1.26
2011-09-30,21.90,12.96,8.62,1.82,1.06
2011-06-30,25.55,14.60,27.50,2.04,1.26
2011-03-31,24.25,14.43,37.02,1.99,1.23
2010-12-31,22.07,14.15,26.27,1.86,1.14
2010-09-30,19.30,15.32,1708.26,1.63,1.02
2010-06-30,17.89,12.96,11.04,1.60,0.95
2010-03-31,19.22,33.13,18.43,1.73,1.03
2009-12-31,17.22,37.43,26.38,1.56,0.91
2009-09-30,19.12,35.42,12.75,1.66,1.07
2009-06-30,15.40,140.02,10.91,1.40,0.82
2009-03-31,15.34,25.15,13.96,1.39,0.77
2008-12-31,18.20,0.00,16.92,1.63,0.87
2008-09-30,23.65,0.00,0.00,1.76,1.05
2008-06-30,19.62,5.62,0.00,1.33,0.89
2008-03-31,17.86,4.87,0.00,1.21,0.85
2007-12-31,19.27,4.24,0.00,1.28,0.95
2007-09-30,18.43,3.86,29.92,1.38,0.94
2007-06-30,22.18,14.79,18.02,2.13,1.16
2007-03-31,20.91,13.94,15.86,1.95,1.11
2006-12-31,21.75,12.22,19.70,2.06,1.17
