Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,179.37,19.39,15.49,8.01,3.24
2020-12-31,173.34,18.74,14.97,7.74,3.13
2020-09-30,157.50,18.46,14.43,7.61,2.89
2020-06-30,152.00,17.23,14.73,8.02,2.82
2020-03-31,131.69,15.46,13.44,7.42,2.38
2019-12-31,168.64,21.59,17.96,9.58,3.07
2019-09-30,155.79,18.50,16.73,8.32,2.87
2019-06-30,162.77,19.66,17.46,9.23,3.01
2019-03-31,193.43,20.51,19.82,11.43,3.58
2018-12-31,176.15,19.79,20.69,10.31,3.25
2018-09-30,193.47,25.86,24.76,10.93,3.58
2018-06-30,179.42,24.82,25.26,10.09,3.34
2018-03-31,198.86,29.50,29.47,10.70,3.78
2017-12-31,211.99,26.77,26.42,10.85,4.10
2017-09-30,188.10,21.02,21.83,9.18,3.73
2017-06-30,185.49,21.15,21.04,9.51,3.74
2017-03-31,169.45,20.49,20.76,9.17,3.44
2016-12-31,157.13,19.26,18.34,9.07,3.24
2016-09-30,154.08,19.41,17.95,7.69,3.20
2016-06-30,152.17,19.41,18.60,7.70,3.17
2016-03-31,143.83,18.49,17.62,7.41,3.02
2015-12-31,129.09,17.03,16.48,6.86,2.73
2015-09-30,120.70,15.62,16.23,6.08,2.54
2015-06-30,130.46,17.03,17.40,6.21,2.74
2015-03-31,138.58,18.36,17.34,6.30,2.89
2014-12-31,137.20,18.32,17.24,6.63,2.87
2014-09-30,117.66,16.12,15.59,4.65,2.50
2014-06-30,118.26,16.66,18.02,4.29,2.56
2014-03-31,111.32,16.13,17.42,4.06,2.47
2013-12-31,114.34,17.01,18.53,4.23,2.58
2013-09-30,96.87,14.88,16.66,3.57,2.21
2013-06-30,88.22,13.83,14.65,3.29,2.05
2013-03-31,85.28,13.47,15.11,3.18,1.99
2012-12-31,74.02,11.73,13.50,2.82,1.74
2012-09-30,73.20,11.71,13.46,2.79,1.75
2012-06-30,70.51,11.52,12.81,2.89,1.69
2012-03-31,69.72,11.51,12.40,2.91,1.68
2011-12-31,63.45,10.65,11.52,2.78,1.55
2011-09-30,55.34,9.41,10.41,2.23,1.37
2011-06-30,72.62,12.33,13.57,2.90,1.84
2011-03-31,71.17,12.21,14.03,2.99,1.87
2010-12-31,65.30,11.60,11.53,2.90,1.78
2010-09-30,65.21,11.52,12.42,2.94,1.80
2010-06-30,59.03,10.77,10.01,2.94,1.67
2010-03-31,62.06,12.26,9.65,3.19,1.81
2009-12-31,60.99,13.52,10.48,3.26,1.86
2009-09-30,54.09,13.59,9.64,2.96,1.69
2009-06-30,43.73,10.83,9.30,2.72,1.34
2009-03-31,35.87,8.44,8.66,2.46,1.06
2008-12-31,41.06,8.40,9.22,2.76,1.15
2008-09-30,48.34,9.14,9.50,2.75,1.33
2008-06-30,48.90,9.40,10.15,2.73,1.38
2008-03-31,55.25,10.79,12.01,3.13,1.61
2007-12-31,58.50,10.46,14.63,3.53,1.75
2007-09-30,64.54,10.78,17.83,4.20,1.99
2007-06-30,59.54,10.18,15.95,4.15,1.88
2007-03-31,52.14,9.07,15.45,3.74,1.70
2006-12-31,52.83,10.42,14.78,3.90,1.76
