Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,43.63,32.08,9.96,25.09,3.10
2020-09-30,37.86,105.17,8.64,21.77,2.73
2020-06-30,37.70,0.00,6.95,12.11,2.75
2020-03-31,36.37,0.00,8.05,10.18,2.63
2019-12-31,45.75,0.00,11.26,13.45,3.41
2019-09-30,36.87,39.23,10.13,6.48,2.74
2019-06-30,41.85,12.46,11.77,5.40,3.12
2019-03-31,49.98,15.24,12.32,6.64,3.78
2018-12-31,42.38,11.52,9.81,5.37,3.16
2018-09-30,50.89,9.06,13.47,6.17,3.81
2018-06-30,47.31,8.51,13.58,5.65,3.57
2018-03-31,51.28,9.16,20.14,6.31,3.84
2017-12-31,58.12,10.92,23.74,7.18,4.38
2017-09-30,51.15,6.40,23.19,8.03,3.84
2017-06-30,59.44,7.84,25.76,9.19,4.46
2017-03-31,56.54,7.65,30.57,8.92,4.28
2016-12-31,53.10,7.28,28.50,8.08,4.03
2016-09-30,49.21,18.50,18.93,32.59,3.73
2016-06-30,53.16,18.46,19.02,33.05,4.06
2016-03-31,47.89,17.23,16.00,34.10,3.65
2015-12-31,44.08,16.45,15.40,30.07,3.40
2015-09-30,40.80,15.28,14.62,27.77,3.16
2015-06-30,36.29,13.96,14.48,25.68,2.84
2015-03-31,36.72,14.69,14.90,28.57,2.92
2014-12-31,35.81,13.93,15.74,23.46,2.89
2014-09-30,33.05,15.16,14.84,15.23,2.69
2014-06-30,29.81,13.74,13.10,13.46,2.43
2014-03-31,26.30,12.18,11.16,12.70,2.15
2013-12-31,26.62,11.78,12.54,12.89,2.18
2013-09-30,23.52,9.15,10.53,11.82,1.92
2013-06-30,23.63,10.79,11.15,13.29,1.96
2013-03-31,22.95,10.62,12.85,12.91,1.89
2012-12-31,20.71,10.62,11.14,13.13,1.71
2012-09-30,21.69,11.99,14.64,11.36,1.80
2012-06-30,22.15,10.75,15.70,10.53,1.86
2012-03-31,19.55,11.71,12.25,10.74,1.69
2011-12-31,18.53,11.30,11.00,10.28,1.61
2011-09-30,16.53,9.90,9.78,7.69,1.45
2011-06-30,16.03,9.77,11.83,7.16,1.40
2011-03-31,15.58,8.07,12.28,5.98,1.34
2010-12-31,14.51,7.76,11.61,5.84,1.24
2010-09-30,13.95,7.84,9.85,5.65,1.18
2010-06-30,11.45,6.90,7.04,5.27,0.98
2010-03-31,11.52,6.98,7.54,5.63,0.96
2009-12-31,10.84,7.04,7.08,5.53,0.95
2009-09-30,9.67,6.36,7.53,5.38,0.90
2009-06-30,8.73,5.75,5.16,5.41,0.86
2009-03-31,8.38,5.66,5.51,6.23,0.89
2008-12-31,7.72,3.27,3.12,5.63,0.83
2008-09-30,9.96,3.25,3.36,4.91,1.08
2008-06-30,10.17,2.62,3.23,5.32,1.13
2008-03-31,10.82,2.42,1.57,4.85,1.22
2007-12-31,11.14,2.41,2.37,1.24,1.26
2007-09-30,10.15,2.03,1.97,1.24,0.71
2007-06-30,10.12,1.98,1.86,1.32,0.50
2007-03-31,9.43,1.76,1.47,1.37,0.36
2006-12-31,9.12,1.60,1.46,0.48,0.29
