Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,18.23,0.00,13.84,0.79,0.84
2020-06-30,12.45,0.00,7.42,0.54,0.55
2020-03-31,10.73,0.00,17.34,0.47,0.47
2019-12-31,21.39,0.00,0.00,0.86,0.93
2019-09-30,20.21,0.00,0.00,0.74,0.83
2019-06-30,24.61,36.73,0.00,0.89,1.00
2019-03-31,26.79,18.48,37.53,0.96,1.09
2018-12-31,28.63,23.47,23.64,1.04,1.15
2018-09-30,31.81,0.00,11.64,1.15,1.31
2018-06-30,27.45,0.00,13.72,1.02,1.23
2018-03-31,23.74,0.00,37.00,0.86,1.10
2017-12-31,25.06,0.00,21.14,0.91,1.19
2017-09-30,21.07,21.94,63.17,0.73,1.03
2017-06-30,22.11,52.64,0.00,0.79,1.09
2017-03-31,28.07,255.22,31.88,1.02,1.39
2016-12-31,27.97,33.30,23.54,1.02,1.37
2016-09-30,23.09,18.47,15.79,0.82,1.10
2016-06-30,24.48,15.40,14.70,0.86,1.14
2016-03-31,24.98,9.25,15.37,0.87,1.06
2015-12-31,25.27,9.12,8.72,0.93,1.03
2015-09-30,28.25,8.56,11.11,1.03,1.13
2015-06-30,42.24,12.46,13.62,1.48,1.69
2015-03-31,41.28,13.99,11.45,1.48,1.68
2014-12-31,40.72,15.14,12.82,1.40,1.69
2014-09-30,39.39,19.50,18.18,1.34,1.72
2014-06-30,43.63,24.65,52.30,1.47,2.04
2014-03-31,43.89,19.34,36.64,1.58,2.08
2013-12-31,41.28,23.86,0.00,1.60,2.60
2013-09-30,37.37,16.68,36.05,1.17,2.33
2013-06-30,46.48,23.84,32.42,0.00,2.77
2013-05-31,52.53,64.86,0.00,0.00,3.16
2013-03-31,51.28,28.18,0.00,0.00,2.25
2013-02-28,50.36,49.86,0.00,1.63,2.17
2012-11-30,46.32,45.86,0.00,1.50,2.57
2012-09-30,49.12,48.64,0.00,0.00,2.86
2012-08-31,49.38,0.00,1266.13,1.67,2.78
2012-05-31,40.48,0.00,61.34,0.00,2.15
2012-02-29,48.92,0.00,557.77,1.76,2.60
2011-11-30,44.65,0.00,67.65,1.68,2.40
2011-08-31,60.14,0.00,66.73,2.19,3.38
2011-05-31,59.86,0.00,53.32,0.00,3.78
2011-02-28,72.49,0.00,37.28,2.94,4.58
2010-11-30,57.07,0.00,50.83,2.48,3.87
2010-08-31,49.47,0.00,89.97,2.43,3.93
2010-05-31,38.89,0.00,0.00,0.00,3.55
2010-02-28,49.14,0.00,0.00,2.58,4.48
2009-11-30,45.78,0.00,0.00,2.47,4.50
2009-08-31,39.69,0.00,177.32,2.05,3.03
2009-05-31,44.74,0.00,37.11,0.00,2.29
2009-02-28,35.18,0.00,0.00,2.01,1.80
2008-11-30,24.77,0.00,20.54,1.40,1.17
2008-08-31,86.99,0.00,46.30,5.04,4.48
2008-05-31,102.09,0.00,55.42,0.00,7.16
2008-02-29,90.67,0.00,22.27,6.89,6.36
2007-11-30,56.33,0.00,30.58,4.81,4.56
2007-08-31,34.23,0.00,32.35,3.32,3.15
2007-05-31,28.62,0.00,70.56,0.00,3.08
2007-02-28,20.72,0.00,14.26,2.54,2.23
2006-11-30,17.35,0.00,42.78,2.09,1.89
