Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,53.00,0.00,0.00,1.17,0.46
2020-09-30,28.60,0.00,0.00,0.63,0.20
2020-06-30,35.88,0.00,97.30,0.76,0.23
2020-03-31,22.30,0.00,7.49,0.46,0.12
2019-12-31,56.30,14.11,8.91,0.87,0.30
2019-09-30,56.29,12.08,7.06,0.86,0.29
2019-06-30,51.20,11.08,8.42,0.78,0.25
2019-03-31,54.27,10.38,7.28,0.84,0.27
2018-12-31,53.08,9.98,10.60,0.82,0.27
2018-09-30,71.40,8.86,11.37,1.69,0.40
2018-06-30,62.27,7.58,7.75,1.51,0.37
2018-03-31,64.50,9.29,13.04,1.60,0.42
2017-12-31,57.81,8.35,7.48,1.35,0.40
2017-09-30,48.82,14.98,10.90,1.23,0.36
2017-06-30,45.21,25.69,32.61,1.17,0.35
2017-03-31,43.37,19.10,11.14,1.14,0.34
2016-12-31,42.90,19.41,18.55,1.12,0.36
2016-09-30,34.30,16.10,17.61,0.91,0.30
2016-06-30,31.80,8.79,8.88,0.84,0.27
2016-03-31,30.87,8.53,17.62,0.84,0.25
2015-12-31,42.61,8.13,11.02,1.14,0.32
2015-09-30,37.86,5.99,11.00,1.56,0.27
2015-06-30,42.50,7.40,11.71,1.86,0.28
2015-03-31,41.40,7.26,11.77,1.88,0.26
2014-12-31,36.32,8.22,12.58,1.74,0.21
2014-09-30,33.89,8.42,7.53,1.69,0.20
2014-06-30,31.07,9.97,8.91,1.60,0.19
2014-03-31,34.48,13.49,22.84,1.86,0.21
2013-12-31,36.16,10.94,10.35,1.90,0.23
2013-09-30,25.22,7.44,5.58,1.36,0.17
2013-06-30,27.53,5.60,4.20,1.43,0.20
2013-03-31,34.56,6.66,4.66,1.82,0.27
2012-12-31,24.20,4.88,5.21,1.33,0.20
2012-09-30,20.84,5.59,7.78,1.23,0.18
2012-06-30,17.02,4.84,7.20,1.12,0.15
2012-03-31,16.32,4.74,5.05,1.20,0.14
