Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,75.41,20.95,28.76,6.52,3.99
2020-09-30,82.28,18.20,31.38,7.11,4.43
2020-06-30,76.16,18.57,20.91,6.94,4.13
2020-03-31,75.17,19.03,21.67,7.21,4.02
2019-12-31,88.16,23.14,22.82,8.61,4.87
2019-09-30,81.04,22.64,23.51,7.68,4.60
2019-06-30,80.19,22.46,26.94,7.42,4.76
2019-03-31,79.02,24.93,25.28,7.38,4.89
2018-12-31,72.11,31.08,23.25,6.95,4.59
2018-09-30,66.47,50.74,20.10,5.41,4.31
2018-06-30,56.49,100.87,29.47,4.60,3.72
2018-03-31,50.30,78.59,25.93,3.99,3.38
2017-12-31,51.51,55.38,31.02,4.02,3.53
2017-09-30,58.11,34.80,37.10,4.12,4.03
2017-06-30,57.76,23.38,18.82,3.97,4.00
2017-03-31,56.84,25.95,23.23,3.89,3.96
2016-12-31,52.28,25.75,16.63,3.56,3.66
2016-09-30,55.00,28.06,16.39,3.46,3.86
2016-06-30,50.40,27.69,14.41,3.21,3.60
2016-03-31,45.91,28.17,11.73,2.90,3.30
2015-12-31,45.44,29.13,11.47,2.82,3.28
2015-09-30,42.12,11.23,19.98,2.58,3.04
2015-06-30,48.13,14.07,19.67,2.91,3.46
2015-03-31,48.23,12.49,21.16,2.85,3.40
2014-12-31,47.27,11.53,20.74,2.75,3.29
2014-09-30,48.97,26.91,13.41,3.09,3.36
2014-06-30,47.44,25.10,13.61,2.84,3.23
2014-03-31,46.21,30.60,13.40,2.58,3.16
2013-12-31,40.42,27.68,11.98,2.26,2.76
2013-09-30,38.10,22.95,13.26,2.23,2.59
2013-06-30,36.84,20.02,14.62,2.15,2.51
2013-03-31,34.75,16.39,12.96,1.89,2.31
2012-12-31,31.88,14.76,12.15,1.74,2.07
2012-09-30,34.77,15.88,11.10,1.82,2.24
2012-06-30,31.89,14.63,8.86,1.68,2.03
2012-03-31,29.01,12.90,8.09,1.54,1.86
2011-12-31,28.18,13.88,8.18,1.50,1.82
2011-09-30,24.15,17.63,6.88,1.28,1.57
2011-06-30,25.75,27.69,8.89,1.37,1.71
2011-03-31,23.83,45.83,7.80,1.29,1.61
2010-12-31,25.72,91.87,8.78,1.40,1.75
2010-09-30,26.00,9.25,9.44,1.38,1.70
2010-06-30,24.44,5.67,14.17,1.31,1.68
2010-03-31,25.83,5.37,27.22,1.33,1.88
2009-12-31,25.01,4.65,29.44,1.26,1.98
2009-09-30,21.43,5.64,53.76,1.78,1.94
2009-06-30,18.71,6.93,13.89,1.74,1.71
2009-03-31,17.65,6.35,10.50,1.69,1.61
2008-12-31,19.73,5.44,8.02,1.96,1.78
2008-09-30,20.20,9.62,6.47,2.18,1.81
2008-06-30,23.86,10.42,6.39,2.52,2.15
2008-03-31,23.78,10.62,5.35,2.62,2.14
2007-12-31,36.10,24.07,13.20,4.31,3.26
2007-09-30,31.91,12.92,12.95,3.35,2.91
2007-06-30,30.51,13.87,17.16,3.40,2.86
2007-03-31,26.86,12.67,18.70,3.15,2.55
2006-12-31,26.28,12.95,9.94,3.24,2.54
