Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,4.06,0.00,43.74,0.29,0.92
2020-06-30,6.07,0.00,0.00,0.43,1.22
2020-03-31,3.26,10.19,8.37,0.22,0.54
2019-12-31,13.40,22.71,68.26,0.88,2.15
2019-09-30,12.05,11.06,27.28,0.79,1.90
2019-06-30,13.90,11.78,16.19,0.92,2.11
2019-03-31,16.30,14.95,24.87,1.09,2.47
2018-12-31,13.95,10.73,6.87,0.94,2.01
2018-09-30,22.57,28.21,14.92,1.57,3.26
2018-06-30,20.17,0.00,16.10,1.42,3.10
2018-03-31,15.56,0.00,5.18,1.10,2.63
2017-12-31,16.28,0.00,7.79,1.18,3.14
2017-09-30,13.00,0.00,4.69,0.94,2.72
2017-06-30,11.31,0.00,3.79,0.77,2.56
2017-03-31,15.03,0.00,7.55,1.02,3.57
2016-12-31,16.41,0.00,14.68,0.79,4.13
2016-09-30,14.94,0.00,28.54,0.67,4.73
2016-06-30,14.14,0.00,65.85,0.63,3.37
2016-03-31,10.45,0.00,0.00,0.46,1.90
2015-12-31,11.73,0.00,0.00,0.43,1.71
2015-09-30,14.31,0.00,0.00,0.50,1.44
2015-06-30,24.37,23.66,0.00,0.82,2.01
2015-03-31,23.80,9.92,41.48,0.78,1.68
2014-12-31,25.60,5.74,4.28,0.82,1.61
2014-09-30,33.79,9.31,7.30,1.13,2.33
2014-06-30,35.70,9.42,6.98,1.21,2.46
2014-03-31,31.59,8.80,6.59,1.09,2.18
2013-12-31,31.22,12.59,17.33,1.12,1.96
2013-09-30,30.69,12.84,12.92,1.12,2.14
2013-06-30,30.25,13.63,32.22,1.13,1.92
2013-03-31,29.35,13.47,43.74,1.12,1.74
2012-12-31,26.56,11.91,153.35,1.03,1.57
2012-09-30,25.48,9.95,164.69,1.00,1.19
2012-06-30,21.89,8.76,20.37,0.87,1.05
2012-03-31,26.96,8.10,8.15,1.09,1.30
2011-12-31,24.77,6.00,4.36,1.02,1.21
2011-09-30,18.16,4.19,2.36,0.76,0.90
2011-06-30,27.08,5.70,3.76,1.16,1.42
2011-03-31,27.27,6.26,4.12,0.79,1.53
2010-12-31,18.85,5.22,3.63,0.56,0.54
2010-09-30,16.72,5.36,2.27,0.51,0.32
2010-06-30,15.59,5.73,2.17,0.48,0.23
2010-03-31,15.74,6.84,2.61,0.50,0.19
2009-12-31,15.40,7.48,4.01,0.50,0.21
2009-09-30,15.63,10.42,140.94,0.50,0.22
2009-06-30,14.64,3.83,30.36,0.48,0.17
2009-03-31,12.68,2.93,11.79,0.42,0.13
2008-12-31,13.08,2.65,12.23,0.43,0.12
2008-09-30,18.87,3.18,7.22,0.61,0.17
2008-06-30,24.42,5.39,13.95,0.86,0.23
2008-03-31,21.37,3.75,11.94,0.77,0.22
2007-12-31,28.39,4.97,8.65,1.05,0.31
2007-09-30,26.48,4.20,18.11,1.08,0.31
2007-06-30,27.72,3.92,10.50,1.19,0.33
2007-03-31,22.75,3.15,5.84,1.05,0.27
2006-12-31,21.20,2.92,6.99,1.01,0.24
