Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,221.91,47.42,33.66,12.86,11.08
2020-09-30,209.29,33.81,32.58,12.83,10.91
2020-06-30,202.02,35.13,34.31,12.93,10.86
2020-03-31,156.12,26.02,27.73,10.35,8.67
2019-12-31,155.69,27.12,29.62,10.76,8.96
2019-09-30,136.79,25.76,27.39,9.85,8.16
2019-06-30,131.80,26.00,26.71,9.84,8.13
2019-03-31,115.62,25.69,26.65,9.34,7.35
2018-12-31,99.15,23.00,24.31,8.27,6.51
2018-09-30,111.15,46.12,27.04,9.93,7.51
2018-06-30,95.46,45.24,23.07,8.86,6.72
2018-03-31,87.98,48.88,20.51,8.54,6.47
2017-12-31,82.07,56.22,19.17,8.07,6.25
2017-09-30,71.11,24.19,17.19,6.12,5.61
2017-06-30,65.46,24.24,16.34,5.75,5.31
2017-03-31,62.19,27.52,17.20,6.89,5.03
2016-12-31,58.33,27.51,16.73,6.55,4.88
2016-09-30,53.71,25.82,15.89,5.94,4.63
2016-06-30,47.42,23.13,15.21,5.14,4.18
2016-03-31,50.82,40.33,16.88,5.35,4.73
2015-12-31,50.69,36.21,16.57,5.23,4.69
2015-09-30,40.11,26.92,13.56,4.14,3.63
2015-06-30,39.80,27.26,13.85,3.99,3.52
2015-03-31,36.42,15.11,11.16,3.28,3.20
2014-12-31,41.31,16.66,12.66,3.70,3.69
2014-09-30,40.97,16.07,12.66,3.75,3.75
2014-06-30,36.63,13.93,11.39,3.36,3.54
2014-03-31,35.76,13.39,13.28,3.38,3.61
2013-12-31,32.39,11.95,12.17,3.16,3.27
2013-09-30,28.60,10.63,10.21,2.92,3.00
2013-06-30,29.47,11.34,10.16,3.11,3.20
2013-03-31,24.24,12.43,7.45,2.64,2.70
2012-12-31,22.45,12.27,6.91,2.59,2.61
2012-09-30,24.80,13.41,7.24,3.03,2.91
2012-06-30,25.33,12.66,7.35,3.20,2.92
2012-03-31,26.53,9.65,8.25,3.25,3.09
2011-12-31,21.21,7.69,6.77,2.77,2.51
2011-09-30,20.19,7.34,6.87,2.86,2.42
2011-06-30,20.95,7.79,7.31,3.07,2.57
2011-03-31,20.33,8.10,7.25,3.21,2.57
2010-12-31,22.22,9.45,8.38,3.85,2.91
2010-09-30,19.37,8.35,7.12,3.53,2.61
2010-06-30,18.11,8.62,7.32,3.40,2.59
2010-03-31,22.94,11.89,10.16,4.40,3.45
2009-12-31,23.77,13.13,11.47,4.73,3.63
2009-09-30,19.97,12.97,9.43,4.31,3.17
2009-06-30,18.35,11.33,10.37,4.13,2.83
2009-03-31,14.09,8.10,8.06,3.39,2.10
2008-12-31,14.81,7.88,8.14,3.82,2.21
2008-09-30,20.20,10.57,12.14,5.40,3.08
2008-06-30,20.74,11.03,10.65,5.23,3.25
2008-03-31,21.31,12.32,10.60,5.28,3.52
2007-12-31,26.63,15.13,13.13,7.22,4.45
2007-09-30,21.97,14.45,12.41,6.39,3.98
2007-06-30,21.90,15.42,13.94,6.61,4.25
2007-03-31,20.64,14.85,14.32,5.65,4.19
2006-12-31,22.04,18.68,12.72,5.88,4.89
