Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,182.75,33.53,21.91,0.00,4.29
2020-12-31,170.06,31.20,20.39,-53.25,4.00
2020-09-30,156.14,34.93,17.46,-35.74,3.63
2020-06-30,138.96,28.95,14.47,-28.97,3.19
2020-03-31,131.22,25.23,13.46,-23.99,2.93
2019-12-31,158.36,32.06,17.58,-39.53,3.53
2019-09-30,166.81,27.85,18.37,-26.31,3.75
2019-06-30,162.65,27.52,19.99,-28.15,3.70
2019-03-31,136.50,23.62,14.62,-20.64,3.13
2018-12-31,111.37,19.85,21.82,-14.27,2.61
2018-09-30,125.44,0.00,23.19,-14.70,3.01
2018-06-30,111.70,0.00,23.24,-12.15,2.75
2018-03-31,100.62,0.00,30.84,-10.60,2.57
2017-12-31,85.91,0.00,12.51,-8.02,2.25
2017-09-30,80.26,20.53,16.62,-15.89,2.17
2017-06-30,81.57,21.52,14.70,-13.60,2.25
2017-03-31,80.64,22.28,12.93,-12.71,2.26
2016-12-31,77.09,23.57,13.80,-13.34,2.21
2016-09-30,70.54,20.69,14.59,-18.07,2.18
2016-06-30,60.68,21.29,14.07,-14.92,2.00
2016-03-31,69.20,23.70,20.22,-88.19,2.41
2015-12-31,62.22,19.69,14.79,-112.96,2.26
2015-09-30,61.78,25.12,0.00,-36.62,2.32
2015-06-30,51.55,20.79,0.00,5.85,2.03
2015-03-31,59.59,11.87,0.00,6.00,2.46
2014-12-31,59.65,11.54,0.00,4.74,2.55
2014-09-30,55.97,9.98,31.43,4.16,2.72
2014-06-30,58.55,9.47,22.97,3.52,2.86
2014-03-31,56.29,14.43,29.23,3.82,2.74
2013-12-31,58.81,14.38,35.20,4.06,2.58
2013-09-30,51.49,13.00,316.49,4.92,1.92
2013-06-30,49.79,14.15,92.38,4.70,1.74
2013-03-31,54.97,17.23,34.89,4.78,1.81
2012-12-31,47.60,15.87,24.89,3.99,1.61
2012-09-30,43.01,18.07,36.40,3.10,1.55
2012-06-30,40.72,19.96,20.72,3.01,1.55
2012-03-31,42.83,17.62,29.99,3.04,1.73
2011-12-31,38.83,11.49,19.75,2.35,1.62
2011-09-30,34.98,9.51,12.44,1.85,1.51
2011-06-30,38.23,6.82,16.45,1.92,1.68
2011-03-31,37.11,7.28,15.85,1.97,1.63
2010-12-31,30.45,5.94,16.14,0.93,1.34
2010-09-30,28.64,6.11,5.29,0.91,0.92
2010-06-30,21.89,8.93,4.53,0.71,0.57
2010-03-31,23.57,11.61,4.77,0.78,0.48
2009-12-31,26.05,0.00,17.63,0.87,0.43
2009-09-30,28.84,0.00,0.00,0.96,0.42
2009-06-30,22.26,0.00,0.00,0.76,0.28
2009-03-31,14.20,0.00,0.00,0.50,0.16
2008-12-31,14.87,0.00,0.00,0.50,0.16
2008-09-30,23.68,0.00,52.36,0.52,0.24
2008-06-30,24.20,0.00,28.80,0.52,0.23
2008-03-31,30.49,0.00,0.00,0.65,0.29
2007-12-31,52.32,0.00,40.78,1.10,0.47
2007-09-30,60.26,45.32,43.09,1.31,0.53
2007-06-30,57.39,14.91,12.13,1.26,0.49
2007-03-31,57.13,7.36,8.85,1.28,0.47
2006-12-31,66.30,6.49,8.08,1.32,0.56
