Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,1165.45,46.69,44.39,96.77,9.16
2020-12-31,1139.68,45.66,43.41,94.63,8.96
2020-09-30,965.75,40.63,39.71,51.87,7.90
2020-06-30,805.55,36.14,36.82,42.90,6.75
2020-03-31,690.51,31.20,35.93,53.88,5.76
2019-12-31,793.28,35.23,39.03,45.48,6.61
2019-09-30,704.40,32.33,36.67,39.14,5.97
2019-06-30,840.00,39.03,47.23,41.01,7.22
2019-03-31,723.00,34.81,40.73,31.92,6.28
2018-12-31,565.58,28.38,33.87,23.89,4.98
2018-09-30,608.98,38.67,39.27,28.69,5.47
2018-06-30,578.63,39.07,38.46,27.40,5.30
2018-03-31,575.03,40.10,38.27,26.04,5.42
2017-12-31,619.52,43.51,40.79,28.91,6.01
2017-09-30,626.16,38.00,46.63,31.22,6.27
2017-06-30,588.54,36.20,42.43,32.70,6.03
2017-03-31,478.91,31.20,35.18,28.11,5.03
2016-12-31,418.56,29.33,33.54,25.04,4.52
2016-09-30,419.83,31.01,30.18,22.01,4.66
2016-06-30,364.92,28.22,27.85,19.65,4.17
2016-03-31,344.76,27.08,28.09,16.98,4.03
2015-12-31,339.13,27.09,26.76,15.83,4.02
2015-09-30,284.74,23.24,23.57,13.28,3.38
2015-06-30,341.46,28.50,28.87,14.46,4.06
2015-03-31,328.65,27.99,28.12,13.80,3.91
2014-12-31,302.46,26.35,27.08,11.87,3.61
2014-09-30,256.13,23.41,25.45,8.61,3.11
2014-06-30,253.18,24.16,25.59,8.06,3.15
2014-03-31,235.68,23.04,25.32,7.46,3.00
2013-12-31,242.59,24.28,28.26,7.65,3.14
2013-09-30,240.09,24.73,28.57,8.41,3.17
2013-06-30,201.20,21.05,26.19,7.43,2.70
2013-03-31,213.22,23.05,28.87,8.04,2.90
2012-12-31,193.30,21.06,26.45,7.11,2.64
2012-09-30,170.74,19.54,24.73,6.55,2.36
2012-06-30,155.85,18.23,25.52,6.24,2.15
2012-03-31,184.75,21.89,30.63,7.20,2.58
2011-12-31,147.71,17.95,26.24,5.97,2.11
2011-09-30,139.96,18.11,32.27,5.39,2.07
2011-06-30,168.67,22.61,37.61,6.41,2.65
2011-03-31,172.00,24.12,39.22,7.01,2.85
2010-12-31,151.21,22.17,26.52,6.35,2.63
2010-09-30,124.44,19.38,22.51,5.41,2.26
2010-06-30,111.63,19.21,20.49,5.20,2.10
2010-03-31,109.20,21.29,20.35,5.16,2.12
2009-12-31,104.99,20.87,20.61,5.00,2.08
2009-09-30,90.59,18.64,16.33,4.69,1.81
2009-06-30,77.15,14.92,14.34,4.40,1.48
2009-03-31,51.33,8.94,9.59,3.32,0.94
2008-12-31,67.40,11.62,13.46,4.50,1.20
2008-09-30,98.00,17.25,19.95,6.43,1.77
2008-06-30,94.86,17.83,18.77,5.91,1.80
2008-03-31,97.12,19.39,20.90,6.03,1.97
2007-12-31,113.80,24.06,23.17,6.98,2.42
2007-09-30,102.00,23.61,21.07,6.89,2.30
2007-06-30,95.51,22.11,21.57,6.06,2.26
2007-03-31,89.57,21.90,21.14,5.64,2.21
2006-12-31,78.85,20.32,19.92,4.80,2.03
