Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,88.54,33.41,0.00,2.48,4.54
2020-11-30,64.09,24.18,0.00,1.79,3.29
2020-08-31,45.51,19.20,620.03,1.30,2.40
2020-05-31,47.91,24.08,211.90,1.41,2.68
2020-02-29,52.56,26.02,115.29,1.58,3.04
2019-11-30,47.51,15.43,38.15,1.44,2.61
2019-08-31,45.27,8.29,15.18,1.36,2.22
2019-05-31,32.61,3.82,6.24,0.99,1.42
2019-02-28,40.88,3.75,6.36,1.28,1.63
2018-11-30,38.56,3.18,5.24,1.24,1.49
2018-08-31,52.52,4.56,7.58,1.84,2.13
2018-05-31,57.59,5.79,9.21,2.26,2.49
2018-02-28,48.81,5.92,8.26,2.13,2.27
2017-11-30,42.39,6.68,9.53,2.10,2.16
2017-08-31,31.97,7.40,10.79,1.83,1.81
2017-05-31,30.77,14.18,115.29,2.01,1.99
2017-02-28,23.44,41.86,0.00,1.71,1.73
2016-11-30,19.53,0.00,0.00,1.63,1.58
2016-08-31,16.49,0.00,0.00,1.33,1.39
2016-05-31,12.72,41.03,0.00,1.01,1.08
2016-02-29,10.63,11.31,0.00,0.83,0.86
2015-11-30,15.93,8.80,44.02,1.24,1.23
2015-08-31,16.41,6.67,16.18,1.29,1.20
2015-05-31,27.93,9.31,16.81,2.26,1.97
2015-02-28,30.67,9.41,16.24,2.50,2.16
2014-11-30,35.95,11.63,16.08,3.09,2.55
2014-08-31,32.60,12.78,15.07,3.03,2.38
2014-05-31,28.59,9.22,12.07,2.86,2.23
2014-02-28,24.19,9.83,11.97,2.58,2.07
2013-11-30,21.10,13.44,16.95,2.20,2.04
2013-08-31,13.57,13.57,38.87,1.42,1.55
2013-05-31,11.68,0.00,61.31,1.51,1.45
2013-02-28,8.38,0.00,42.62,1.08,1.04
2012-11-30,5.97,0.00,11.63,0.74,0.74
2012-08-31,6.21,0.00,14.83,0.75,0.74
2012-05-31,5.84,0.00,0.00,0.68,0.69
2012-02-29,8.55,0.00,0.00,0.90,1.02
2011-11-30,5.99,0.00,0.00,0.61,0.71
2011-08-31,5.91,39.40,97.69,0.59,0.69
2011-05-31,10.20,16.72,8.16,1.02,1.16
2011-02-28,11.13,7.62,5.93,1.12,1.25
2010-11-30,7.27,4.08,2.97,0.73,0.84
2010-08-31,6.46,3.47,2.64,0.65,0.78
2010-05-31,9.09,6.31,4.21,0.95,1.21
2010-02-28,9.06,56.63,6.01,1.04,1.36
2009-11-30,7.52,0.00,6.83,0.90,1.25
2009-08-31,7.37,0.00,7.93,0.90,1.21
2009-05-31,5.06,0.00,0.00,0.91,0.80
2009-02-28,3.22,0.00,0.00,0.53,0.47
2008-11-30,2.74,0.00,0.00,0.38,0.37
2008-08-31,4.24,0.00,0.00,0.52,0.56
2008-05-31,8.07,0.00,0.00,0.94,1.07
2008-02-29,7.52,0.00,0.00,0.85,1.03
2007-11-30,8.32,0.00,0.00,0.84,1.13
2007-08-31,11.45,0.00,0.00,1.12,1.55
2007-05-31,12.18,0.00,0.00,1.17,1.65
2007-02-28,11.86,31.21,0.00,1.09,1.57
2006-11-30,14.60,20.28,85.38,1.33,1.98
