Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,17.11,0.00,0.00,1.15,1.34
2020-06-30,16.43,0.00,0.00,0.97,0.76
2020-03-31,10.96,0.00,0.00,0.54,0.37
2019-12-31,58.41,13.58,68.19,1.91,1.96
2019-09-30,51.77,11.66,11.47,1.76,1.78
2019-06-30,53.63,12.02,10.42,1.88,1.88
2019-03-31,54.96,12.61,33.15,2.00,1.98
2018-12-31,42.39,9.93,18.71,1.55,1.57
2018-09-30,57.43,14.36,35.76,2.05,2.19
2018-06-30,47.25,13.02,28.74,1.84,1.89
2018-03-31,52.97,15.18,32.15,2.11,2.19
2017-12-31,53.25,16.09,53.34,2.12,2.26
2017-09-30,54.05,16.89,54.22,2.23,2.35
2017-06-30,54.29,18.34,280.42,2.48,2.43
2017-03-31,50.73,18.58,39.81,2.55,2.34
2016-12-31,42.53,15.30,56.34,2.13,1.99
2016-09-30,37.70,14.33,0.00,1.89,1.80
2016-06-30,39.84,17.95,0.00,2.20,1.99
2016-03-31,55.29,24.36,0.00,3.20,2.83
2015-12-31,58.60,31.68,0.00,3.53,3.09
2015-09-30,57.30,36.73,28.29,3.35,3.15
2015-06-30,56.04,38.92,29.12,3.43,3.30
2015-03-31,54.01,41.87,27.26,3.57,3.40
2014-12-31,46.76,28.69,0.00,3.02,3.15
2014-09-30,36.02,18.76,0.00,2.54,2.57
2014-06-30,31.70,17.91,0.00,2.37,2.36
2014-03-31,32.27,27.12,0.00,2.48,2.49
2013-12-31,35.47,77.11,0.00,2.77,2.84
