Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,63.02,19.82,15.82,2.15,4.47
2020-06-30,61.10,12.76,21.89,2.14,4.54
2020-03-31,44.61,10.30,22.23,1.57,3.32
2019-12-31,42.69,12.30,22.43,1.54,3.13
2019-09-30,37.13,13.35,22.58,1.36,2.76
2019-06-30,37.53,0.00,24.89,1.51,2.81
2019-03-31,33.90,78.83,16.34,1.58,2.50
2018-12-31,32.70,51.90,22.00,1.52,2.41
2018-09-30,28.38,0.00,19.94,1.31,2.13
2018-06-30,35.27,117.56,20.94,1.60,2.59
2018-03-31,36.41,404.54,17.74,1.68,2.60
2017-12-31,34.84,0.00,14.81,1.61,2.52
2017-09-30,34.75,231.69,16.16,1.52,2.58
2017-06-30,29.95,0.00,11.05,1.33,2.25
2017-03-31,30.43,0.00,10.14,1.36,2.35
2016-12-31,31.41,0.00,10.11,1.40,2.50
2016-09-30,36.17,0.00,16.08,1.36,3.45
2016-06-30,35.99,599.83,17.13,1.33,3.57
2016-03-31,24.44,152.72,17.48,0.91,2.28
2015-12-31,16.52,38.43,10.22,0.61,1.39
2015-09-30,14.74,15.35,6.07,0.54,1.07
2015-06-30,21.39,22.06,13.64,0.79,1.50
2015-03-31,19.86,16.69,12.49,0.74,1.41
2014-12-31,17.27,16.93,21.65,0.66,1.26
2014-09-30,21.04,0.00,85.52,0.80,1.41
2014-06-30,23.20,0.00,106.31,0.88,1.49
2014-03-31,21.35,0.00,0.00,0.83,1.33
2013-12-31,20.85,0.00,0.00,0.80,1.23
2013-09-30,25.22,0.00,0.00,0.86,1.43
2013-06-30,26.67,0.00,0.00,0.92,1.44
2013-03-31,36.92,11.22,0.00,1.06,1.94
2012-12-31,40.49,11.15,0.00,1.19,2.03
2012-09-30,48.46,220.27,0.00,1.44,2.39
2012-06-30,41.67,90.59,0.00,1.28,2.01
2012-03-31,43.74,64.32,184.55,1.35,2.08
2011-12-31,50.87,68.74,32.17,1.60,2.47
2011-09-30,53.09,12.07,20.51,1.57,2.63
2011-06-30,45.30,10.09,17.38,1.32,2.27
2011-03-31,45.64,10.19,11.77,1.34,2.34
2010-12-31,51.22,11.23,14.51,1.61,2.68
2010-09-30,52.25,12.81,13.70,1.75,2.72
2010-06-30,51.23,13.48,12.39,1.83,2.81
2010-03-31,42.19,12.56,13.49,1.52,2.46
2009-12-31,39.11,14.76,16.17,1.52,2.47
2009-09-30,36.32,23.58,55.37,1.50,2.68
2009-06-30,33.65,28.52,0.00,1.50,2.71
2009-03-31,36.77,25.19,0.00,1.72,2.96
2008-12-31,33.35,17.83,0.00,1.75,2.48
2008-09-30,31.65,25.94,0.00,1.73,2.34
2008-06-30,42.49,25.44,79.01,2.17,3.01
2008-03-31,36.83,0.00,0.00,2.04,2.70
2007-12-31,39.62,0.00,0.00,2.38,3.28
2007-09-30,36.22,0.00,0.00,2.06,2.99
2007-06-30,31.55,0.00,0.00,1.84,2.88
2007-03-31,33.84,23.50,0.00,1.57,3.07
2006-12-31,36.30,20.74,0.00,1.75,3.36
