Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,134.43,76.82,59.53,19.90,5.61
2020-08-31,111.67,66.87,89.10,18.95,4.76
2020-05-31,98.17,62.13,111.68,18.99,4.18
2020-02-29,88.79,32.76,41.80,15.26,3.44
2019-11-30,92.62,32.38,44.24,15.44,3.64
2019-08-31,83.49,31.15,34.23,14.16,3.38
2019-05-31,76.02,30.53,25.72,13.19,3.15
2019-02-28,84.03,32.83,27.51,14.75,3.54
2018-11-30,73.63,56.21,25.59,13.30,3.16
2018-08-31,80.34,64.27,28.99,14.20,3.54
2018-05-31,69.81,60.71,29.49,11.39,3.17
2018-02-28,64.98,61.30,41.25,10.75,3.06
2017-11-30,58.37,25.27,33.92,8.06,2.82
2017-08-31,51.02,21.71,33.78,6.96,2.50
2017-05-31,50.85,20.26,31.24,6.73,2.51
2017-02-28,54.68,22.78,27.74,7.10,2.75
2016-11-30,47.73,21.02,26.44,6.41,2.45
2016-08-31,54.79,24.68,36.51,7.51,2.88
2016-05-31,52.34,24.23,40.25,7.18,2.82
2016-02-29,58.22,26.96,48.15,7.98,3.20
2015-11-30,62.37,30.35,35.67,7.94,3.50
2015-08-31,52.56,26.61,26.78,6.96,2.99
2015-05-31,47.82,25.85,22.74,6.44,2.77
2015-02-28,45.55,26.03,21.71,6.34,2.68
2014-11-30,46.30,27.48,30.77,6.84,2.79
2014-08-31,36.63,22.75,30.21,5.70,2.29
2014-05-31,35.76,23.92,30.33,5.75,2.34
2014-02-28,36.29,24.69,30.20,5.74,2.44
2013-11-30,36.45,23.29,34.22,5.71,2.53
2013-08-31,28.94,19.55,22.10,4.56,2.05
2013-05-31,28.31,20.85,21.19,4.57,2.05
2013-02-28,24.92,19.39,23.18,4.18,1.86
2012-11-30,22.12,19.93,21.35,3.96,1.70
2012-08-31,22.09,19.21,24.08,3.97,1.74
2012-05-31,24.46,20.68,36.39,4.32,1.97
2012-02-29,24.24,20.20,36.75,4.36,2.06
2011-11-30,21.52,18.39,32.71,4.01,1.89
2011-08-31,19.32,16.73,30.46,3.62,1.77
2011-05-31,18.76,17.05,26.39,3.57,1.82
2011-02-28,19.71,18.68,21.00,3.77,1.91
2010-11-30,19.00,18.31,17.96,3.65,1.88
2010-08-31,15.38,15.50,13.04,3.04,1.56
2010-05-31,15.85,16.38,11.03,3.15,1.64
2010-02-28,14.74,16.80,11.03,3.03,1.56
2009-11-30,14.09,18.79,13.25,2.98,1.51
2009-08-31,11.97,15.75,14.00,2.57,1.27
2009-05-31,12.28,16.21,18.36,2.74,1.26
2009-02-28,8.88,10.73,21.68,2.10,0.90
2008-11-30,11.34,12.16,19.31,2.70,1.15
2008-08-31,12.85,14.12,16.92,3.11,1.33
2008-05-31,14.45,15.50,19.57,3.63,1.57
2008-02-29,12.67,14.04,13.63,3.28,1.43
2007-11-30,13.77,16.32,14.34,3.66,1.62
2007-08-31,11.78,14.26,14.44,3.20,1.43
2007-05-31,11.83,16.20,15.14,3.38,1.48
2007-02-28,10.85,16.10,16.81,3.20,1.40
2006-11-30,10.24,15.57,12.43,3.16,1.36
