Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,20.46,21.31,0.00,0.00,5.03
2020-12-31,20.65,21.51,0.00,-24.64,5.08
2020-09-30,20.57,4.07,0.00,-25.58,5.20
2020-06-30,19.47,3.16,0.00,-22.87,5.05
2020-03-31,18.26,3.03,0.00,1074.14,4.72
2019-12-31,14.56,2.55,7.08,1.03,4.81
2019-09-30,13.42,9.52,6.74,1.37,4.42
2019-06-30,12.32,68.42,6.01,1.45,4.02
2019-03-31,12.96,324.04,6.23,1.42,3.32
2018-12-31,10.62,0.00,6.51,1.15,4.84
2018-09-30,11.92,6.48,8.23,1.27,3.92
2018-06-30,11.52,6.30,8.25,1.23,2.82
2018-03-31,14.37,8.41,11.88,1.79,3.45
2017-12-31,15.56,10.10,10.97,1.95,2.06
2017-09-30,18.14,0.00,14.21,3.18,2.44
2017-06-30,15.58,0.00,14.18,2.81,2.23
2017-03-31,16.88,0.00,0.00,2.94,2.60
2016-12-31,13.11,4.08,0.00,2.05,2.18
2016-09-30,13.73,4.05,0.00,2.22,2.41
2016-06-30,11.20,2.91,0.00,1.83,2.06
2016-03-31,9.98,2.63,12.24,1.66,1.87
2015-12-31,9.12,10.13,8.29,1.11,1.72
2015-09-30,8.39,8.65,5.44,0.97,1.57
2015-06-30,9.95,9.13,6.57,1.15,1.57
2015-03-31,9.93,7.88,6.82,1.14,1.32
2014-12-31,10.84,8.21,7.41,1.25,1.27
2014-09-30,9.88,7.05,7.10,1.16,1.03
2014-06-30,9.56,6.88,6.43,1.13,1.00
2014-03-31,8.28,6.52,5.33,0.99,0.87
2013-12-31,9.71,7.96,5.90,1.17,1.01
2013-09-30,10.12,9.04,5.57,1.25,1.04
2013-06-30,9.14,8.71,5.19,1.16,0.93
2013-03-31,9.97,9.32,5.64,1.27,1.03
2012-12-31,7.60,4.84,4.14,1.02,0.80
2012-09-30,7.26,4.57,4.18,0.99,0.78
2012-06-30,5.90,3.78,3.06,0.82,0.65
2012-03-31,7.55,4.91,3.50,1.06,0.84
2011-12-31,6.32,6.32,2.97,0.97,0.71
2011-09-30,6.58,7.75,2.96,1.05,0.77
2011-06-30,7.97,10.21,3.59,1.29,0.97
2011-03-31,7.49,9.85,3.78,1.23,0.95
2010-12-31,6.76,8.78,3.45,1.14,0.89
2010-09-30,6.11,6.30,3.23,1.03,0.82
2010-06-30,5.61,5.72,3.14,0.98,0.76
2010-03-31,6.84,7.86,3.76,1.20,0.94
2009-12-31,7.23,21.26,4.16,1.32,1.01
2009-09-30,6.65,0.00,4.02,1.28,0.93
2009-06-30,6.29,0.00,3.70,1.25,0.89
2009-03-31,6.04,0.00,3.49,1.19,0.83
2008-12-31,5.46,0.00,2.91,1.07,0.75
2008-09-30,7.91,10.55,4.09,0.59,1.10
2008-06-30,7.82,12.03,3.95,0.59,1.12
2008-03-31,6.71,12.67,3.60,0.51,1.02
2007-12-31,6.52,17.16,4.10,0.50,1.05
2007-09-30,7.83,22.37,5.22,0.61,1.33
2007-06-30,8.16,19.90,5.49,0.63,1.47
2007-03-31,6.99,17.47,5.02,0.54,1.34
2006-12-31,8.42,19.14,4.00,0.65,1.67
