Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,23.38,0.00,7.97,3.76,1.32
2020-09-30,14.13,0.00,4.82,2.27,0.80
2020-06-30,14.75,0.00,5.04,2.38,0.83
2020-03-31,12.40,0.00,4.35,1.98,0.68
2019-12-31,20.01,0.00,7.49,2.98,1.10
2019-09-30,20.88,0.00,7.11,3.16,1.15
2019-06-30,21.84,0.00,7.66,2.60,1.21
2019-03-31,22.52,0.00,7.81,2.68,1.24
2018-12-31,21.91,0.00,8.15,2.56,1.20
2018-09-30,25.61,28.46,10.10,2.16,1.38
2018-06-30,28.26,27.18,9.62,2.36,1.52
2018-03-31,28.71,23.73,9.64,2.29,1.54
2017-12-31,32.54,26.90,9.45,2.61,1.77
2017-09-30,36.71,25.85,9.90,2.93,2.04
2017-06-30,33.95,24.78,9.81,2.76,1.91
2017-03-31,35.96,27.45,10.91,2.98,2.05
2016-12-31,36.26,26.28,10.69,3.02,2.08
2016-09-30,45.97,28.38,16.08,3.71,2.67
2016-06-30,44.34,27.04,15.73,3.55,2.61
2016-03-31,44.67,27.24,15.42,3.42,2.66
2015-12-31,39.31,25.53,13.48,3.08,2.37
2015-09-30,37.30,29.14,13.36,3.02,2.27
2015-06-30,37.30,32.72,14.65,2.88,2.28
2015-03-31,36.91,36.18,15.36,2.82,2.26
2014-12-31,36.83,36.83,15.22,2.67,2.26
2014-09-30,36.28,37.79,16.09,2.43,2.22
2014-06-30,39.41,36.83,18.55,2.56,2.48
2014-03-31,36.14,18.07,17.20,2.36,2.35
2013-12-31,37.01,19.07,18.28,2.41,2.47
2013-09-30,29.25,17.51,14.08,1.93,2.01
2013-06-30,26.80,16.64,12.49,1.81,1.84
2013-03-31,28.44,36.94,14.06,2.03,1.94
2012-12-31,24.17,32.23,13.58,1.76,1.64
2012-09-30,23.69,26.33,14.68,1.72,1.64
2012-06-30,20.72,23.28,14.20,1.56,1.42
2012-03-31,23.82,29.77,17.11,1.80,1.61
2011-12-31,23.46,130.35,18.08,1.82,1.56
