Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,297.24,17.43,16.12,4.68,1.35
2020-12-31,304.72,17.87,16.53,4.80,1.39
2020-09-30,314.00,21.48,13.70,5.00,1.50
2020-06-30,304.71,21.43,14.03,5.23,1.48
2020-03-31,298.57,22.50,17.22,5.51,1.48
2019-12-31,338.22,25.66,18.96,6.44,1.70
2019-09-30,367.15,20.78,21.48,6.37,1.89
2019-06-30,315.39,16.85,21.13,5.80,1.66
2019-03-31,262.02,14.90,24.16,5.09,1.44
2018-12-31,237.03,14.16,16.05,4.94,1.38
2018-09-30,305.76,19.49,26.91,5.84,1.88
2018-06-30,295.25,23.01,23.74,6.25,1.92
2018-03-31,333.78,27.70,32.64,7.58,2.22
2017-12-31,292.49,25.50,30.48,7.14,1.98
2017-09-30,273.29,20.36,31.18,7.33,1.86
2017-06-30,242.93,18.56,30.35,7.15,1.69
2017-03-31,224.20,17.53,25.71,7.05,1.60
2016-12-31,218.44,17.92,20.83,7.27,1.60
2016-09-30,200.21,17.08,17.35,6.14,1.55
2016-06-30,207.14,18.63,19.60,6.52,1.63
2016-03-31,183.64,16.68,17.13,5.91,1.48
2015-12-31,174.48,16.79,19.77,5.73,1.43
2015-09-30,152.71,14.71,22.76,4.90,1.26
2015-06-30,145.28,14.69,17.58,4.43,1.24
2015-03-31,146.68,15.41,18.73,4.24,1.27
2014-12-31,133.75,13.73,13.96,3.68,1.19
2014-09-30,118.98,12.68,14.45,2.44,1.09
2014-06-30,107.43,11.60,13.40,2.19,1.00
2014-03-31,110.16,12.32,15.46,2.24,1.04
2013-12-31,101.81,12.21,11.24,2.09,0.98
2013-09-30,84.17,10.07,10.09,2.01,0.81
2013-06-30,72.68,9.04,9.54,1.76,0.71
2013-03-31,61.12,7.77,6.32,1.52,0.61
2012-12-31,58.39,7.49,6.41,1.47,0.59
2012-09-30,56.91,7.34,5.93,1.28,0.59
2012-06-30,54.21,6.96,5.67,1.25,0.57
2012-03-31,51.42,6.66,8.77,1.23,0.55
2011-12-31,48.82,6.48,8.47,1.20,0.53
2011-09-30,43.15,6.42,8.13,0.96,0.47
2011-06-30,56.80,8.70,10.91,1.30,0.62
2011-03-31,50.97,7.22,6.84,1.18,0.55
2010-12-31,47.47,6.97,7.65,1.03,0.51
2010-09-30,44.09,6.44,8.29,0.98,0.56
2010-06-30,39.25,5.85,10.52,0.90,0.48
2010-03-31,46.92,8.41,11.53,1.12,0.56
2009-12-31,39.68,7.60,7.73,0.96,0.47
2009-09-30,36.49,0.00,7.50,0.92,0.37
2009-06-30,31.93,0.00,4.47,0.84,0.33
2009-03-31,30.23,0.00,4.72,0.81,0.31
2008-12-31,30.89,0.00,4.08,0.85,0.33
2008-09-30,41.11,8.19,6.44,0.77,0.45
2008-06-30,45.17,9.18,8.43,0.85,0.50
2008-03-31,52.26,10.91,9.16,1.01,0.60
2007-12-31,52.57,10.25,8.43,1.00,0.62
2007-09-30,51.90,10.18,10.39,1.05,0.60
2007-06-30,51.56,11.33,10.93,1.06,0.60
2007-03-31,48.90,10.94,11.13,1.03,0.57
2006-12-31,44.38,10.11,15.23,0.92,0.52
