Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,550.43,949.02,81.51,38.03,24.54
2020-09-30,485.00,137.39,83.81,35.39,23.01
2020-06-30,405.06,110.07,73.51,31.34,20.40
2020-03-31,286.58,83.80,54.66,24.12,15.08
2019-12-31,282.32,89.06,57.34,25.14,15.60
2019-09-30,253.85,1410.28,56.76,33.49,14.67
2019-06-30,274.57,27457.00,62.46,40.82,16.82
2019-03-31,246.49,0.00,63.31,38.11,15.99
2018-12-31,178.05,0.00,53.98,28.87,12.56
2018-09-30,195.63,0.00,67.71,34.38,14.64
2018-06-30,172.47,0.00,56.59,34.41,13.55
2018-03-31,165.45,0.00,53.54,33.77,14.02
2017-12-31,130.39,0.00,45.33,29.18,11.60
2017-09-30,117.53,0.00,44.17,36.81,11.32
2017-06-30,106.00,0.00,42.01,37.51,10.95
2017-03-31,87.47,0.00,93.62,34.74,9.58
2016-12-31,74.34,0.00,228.53,32.17,8.77
2016-09-30,79.15,0.00,421.01,36.25,9.93
2016-06-30,66.40,0.00,1406.78,33.68,8.89
2016-03-31,61.18,0.00,40.33,32.94,8.76
2015-12-31,86.56,0.00,58.53,24.55,13.33
2015-09-30,69.45,0.00,56.48,21.36,11.53
2015-06-30,74.31,0.00,73.51,25.05,13.32
2015-03-31,78.78,0.00,102.26,26.63,15.34
2014-12-31,67.85,0.00,113.94,23.66,14.38
2014-09-30,58.78,0.00,127.45,20.88,13.74
2014-06-30,61.96,0.00,139.11,22.68,16.02
2014-03-31,59.92,0.00,236.93,21.28,17.25
2013-12-31,56.01,0.00,287.08,19.94,17.74
2013-09-30,51.95,0.00,376.72,25.05,15.99
2013-06-30,40.39,0.00,0.00,20.63,13.53
2013-03-31,36.20,0.00,286.85,18.42,8.48
