Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,39.58,2.53,6.01,5.00,1.07
2020-09-30,30.21,1.93,4.59,3.81,0.82
2020-06-30,31.72,1.97,5.49,4.43,0.85
2020-03-31,26.32,1.69,4.51,4.21,0.70
2019-12-31,38.07,2.27,4.05,5.72,1.03
2019-09-30,37.90,9.77,4.46,-6.08,1.08
2019-06-30,33.58,15.34,2.56,-5.27,1.01
2019-03-31,40.59,24.31,3.47,-7.06,1.27
2018-12-31,37.81,46.11,4.56,-8.69,1.23
2018-09-30,35.68,0.00,3.38,-11.05,1.27
2018-06-30,29.26,0.00,3.57,4.29,1.10
2018-03-31,29.07,0.00,3.97,4.05,1.06
2017-12-31,27.09,0.00,4.81,4.36,0.95
2017-09-30,24.31,0.00,5.91,2.09,0.99
2017-06-30,16.34,0.00,6.65,1.48,0.61
2017-03-31,17.71,0.00,6.09,1.40,0.69
2016-12-31,11.59,0.00,2.28,0.82,0.41
2016-09-30,10.57,0.00,3.29,0.61,0.35
2016-06-30,14.10,0.00,5.27,0.87,0.43
2016-03-31,12.21,0.00,5.35,0.71,0.34
2015-12-31,10.89,0.00,10.33,0.63,0.29
2015-09-30,13.59,0.00,6.28,0.37,0.29
2015-06-30,20.81,80.02,9.56,0.56,0.44
2015-03-31,22.78,1138.88,13.54,0.65,0.48
2014-12-31,24.23,115.36,10.21,0.70,0.51
2014-09-30,27.27,0.00,14.95,0.77,0.63
2014-06-30,33.13,0.00,18.42,1.00,0.81
2014-03-31,28.20,0.00,19.66,0.86,0.72
2013-12-31,25.36,0.00,0.00,0.77,0.73
2013-09-30,24.03,13.35,0.00,0.70,0.69
2013-06-30,23.38,16.46,0.00,0.71,0.68
2013-03-31,23.09,10.94,0.00,0.71,0.66
2012-12-31,19.97,9.03,0.00,0.61,0.54
2012-09-30,18.50,0.00,0.00,0.52,0.50
2012-06-30,14.95,0.00,0.00,0.42,0.40
2012-03-31,13.49,15.16,0.00,0.39,0.36
2011-12-31,15.60,20.80,0.00,0.45,0.42
2011-09-30,18.26,15.74,0.00,0.53,0.51
2011-06-30,21.16,9.32,50.87,0.60,0.60
2011-03-31,18.54,33.72,4.72,0.58,0.54
2010-12-31,16.82,9.19,4.45,0.50,0.48
2010-09-30,17.92,8.92,3.51,0.53,0.51
2010-06-30,18.26,8.45,3.66,0.56,0.51
2010-03-31,17.99,6.18,3.43,0.56,0.51
2009-12-31,20.33,6.00,4.00,0.65,0.62
2009-09-30,24.27,5.70,7.58,0.77,0.79
2009-06-30,22.35,3.68,6.83,0.73,0.75
2009-03-31,15.15,3.03,6.86,0.52,0.56
2008-12-31,20.09,4.50,9.30,0.64,0.76
2008-09-30,21.31,5.56,7.94,0.75,0.85
2008-06-30,36.93,19.14,13.25,1.77,1.69
2008-03-31,33.57,17.21,10.76,1.44,1.55
2007-12-31,37.31,18.70,10.37,1.54,1.76
2007-09-30,36.41,24.68,0.00,1.48,1.82
2007-06-30,35.79,19.14,0.00,1.54,1.80
2007-03-31,31.01,15.58,0.00,1.35,1.61
2006-12-31,24.11,13.03,38.81,1.00,1.28
