Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,258.03,32.83,26.74,4.40,6.78
2020-12-31,236.66,30.11,24.53,4.03,6.21
2020-09-30,212.25,27.32,22.23,3.61,5.56
2020-06-30,173.31,21.56,19.22,2.98,4.43
2020-03-31,143.32,15.56,15.48,2.47,3.41
2019-12-31,189.73,18.51,22.40,3.22,4.48
2019-09-30,174.69,17.01,22.16,2.99,4.10
2019-06-30,192.82,18.72,24.57,3.32,4.55
2019-03-31,180.02,17.82,23.67,3.12,4.32
2018-12-31,143.31,15.05,20.29,2.50,3.53
2018-09-30,172.17,8.30,23.09,3.03,4.36
2018-06-30,143.24,7.17,20.35,2.42,3.76
2018-03-31,128.25,6.69,21.37,2.21,3.47
2017-12-31,136.21,7.27,22.83,2.37,3.75
2017-09-30,123.74,19.46,24.65,2.78,3.48
2017-06-30,113.27,18.39,22.30,2.58,3.24
2017-03-31,103.67,17.84,24.74,2.40,3.03
2016-12-31,99.55,17.71,23.08,2.33,2.98
2016-09-30,88.84,16.45,21.67,2.09,2.67
2016-06-30,77.40,14.49,48.08,1.85,2.30
2016-03-31,75.19,13.95,27.33,1.82,2.19
2015-12-31,75.74,14.85,39.34,1.85,2.20
2015-09-30,67.91,12.26,59.90,1.67,1.92
2015-06-30,77.10,13.20,26.56,1.92,2.13
2015-03-31,90.30,14.52,30.04,2.26,2.44
2014-12-31,95.64,14.97,32.81,2.38,2.57
2014-09-30,96.87,15.16,24.50,2.41,2.60
2014-06-30,88.94,14.51,22.56,2.28,2.43
2014-03-31,83.41,14.38,23.45,2.21,2.34
2013-12-31,79.21,13.11,19.98,2.17,2.22
2013-09-30,65.61,11.51,19.45,1.97,1.89
2013-06-30,61.19,11.31,19.77,1.87,1.80
2013-03-31,64.49,11.62,25.44,2.01,1.89
2012-12-31,51.37,9.57,16.44,1.65,1.52
2012-09-30,52.43,9.55,22.10,1.70,1.56
2012-06-30,58.74,10.06,18.66,1.92,1.75
2012-03-31,53.53,9.23,12.17,1.78,1.64
2011-12-31,58.87,10.76,17.97,1.96,1.87
2011-09-30,49.01,9.54,11.90,1.61,1.63
2011-06-30,59.83,12.62,16.26,1.96,2.11
2011-03-31,55.01,13.03,19.26,1.83,2.05
2010-12-31,49.56,12.39,13.74,1.66,1.93
2010-09-30,46.68,12.51,12.19,1.57,1.87
2010-06-30,41.35,12.34,11.16,1.42,1.73
2010-03-31,43.31,14.58,15.55,1.52,1.93
2009-12-31,40.34,14.62,23.27,1.44,1.86
2009-09-30,32.95,10.46,16.53,1.20,1.46
2009-06-30,28.57,7.70,11.80,1.07,1.16
2009-03-31,25.35,5.99,8.90,0.96,0.94
2008-12-31,35.04,7.75,10.52,1.34,1.25
2008-09-30,49.03,11.32,16.44,1.81,1.77
2008-06-30,46.21,11.76,19.03,1.74,1.78
2008-03-31,39.86,10.69,15.12,1.54,1.63
2007-12-31,36.80,10.00,13.12,1.44,1.56
2007-09-30,37.69,10.44,12.40,1.48,1.64
2007-06-30,37.98,10.38,12.99,1.51,1.66
2007-03-31,36.41,10.20,12.14,1.56,1.61
2006-12-31,36.02,10.06,13.02,1.49,1.60
