Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,43.57,14.29,9.41,26.14,1.79
2020-07-31,43.52,12.54,10.46,34.02,1.83
2020-04-30,42.52,12.01,9.60,38.48,1.85
2020-01-31,51.25,12.06,11.93,40.35,2.21
2019-10-31,53.23,13.24,12.49,22.74,2.30
2019-07-31,55.20,14.15,11.80,15.29,2.39
2019-04-30,68.23,15.06,15.13,15.02,2.90
2019-01-31,59.39,15.11,12.77,11.93,2.55
2018-10-31,72.59,68.49,13.88,12.05,3.17
2018-07-31,71.36,90.33,12.31,9.65,3.20
2018-04-30,60.97,265.10,10.91,7.05,2.82
2018-01-31,56.14,0.00,10.68,6.91,2.70
2017-10-31,40.41,17.34,11.02,3.89,2.01
2017-07-31,39.32,19.00,13.22,3.84,2.00
2017-04-30,35.91,19.84,12.44,3.47,1.84
2017-01-31,34.37,31.25,11.07,3.46,1.81
2016-10-31,30.28,27.53,8.71,3.00,1.62
2016-07-31,23.38,21.07,6.75,2.33,1.24
2016-04-30,20.82,26.69,6.75,2.03,1.12
2016-01-31,19.19,15.47,6.87,1.80,1.02
2015-10-31,29.53,23.07,11.64,2.89,1.56
2015-07-31,26.90,19.49,8.34,2.66,1.43
2015-04-30,31.12,17.78,9.14,2.79,1.64
2015-01-31,32.30,16.91,10.07,2.87,1.71
2014-10-31,36.43,19.17,11.36,3.29,1.95
2014-07-31,32.92,17.42,10.58,2.79,1.79
2014-04-30,30.05,16.24,9.26,2.58,1.67
2014-01-31,35.58,20.57,10.46,3.03,1.98
2013-10-31,32.50,20.18,9.83,2.70,1.83
2013-07-31,34.30,23.99,11.05,2.92,1.96
2013-04-30,28.99,21.16,9.85,2.19,1.68
2013-01-31,29.92,21.84,9.83,2.33,1.76
2012-10-31,22.36,17.75,7.94,1.82,1.34
2012-07-31,27.15,19.39,9.54,2.25,1.64
2012-04-30,32.26,20.55,11.75,2.74,1.99
2012-01-31,31.36,20.91,11.90,2.81,2.03
2011-10-31,34.04,21.27,12.07,3.21,2.36
2011-07-31,39.49,24.99,13.91,3.81,2.91
2011-04-30,43.30,26.73,15.17,4.28,3.31
2011-01-31,45.48,28.07,14.80,4.76,3.56
2010-10-31,44.25,29.50,15.88,4.98,3.57
2010-07-31,35.15,26.04,13.00,4.40,2.98
2010-04-30,28.81,25.72,12.12,3.95,2.57
2010-01-31,24.21,25.48,19.01,3.58,2.30
2009-10-31,22.48,53.52,15.30,3.61,2.25
2009-07-31,18.66,62.21,14.11,3.22,1.85
2009-04-30,15.21,58.49,8.49,2.83,1.49
2009-01-31,12.32,42.50,5.51,2.67,1.21
2008-10-31,11.24,13.88,4.77,2.39,1.08
2008-07-31,21.23,23.86,9.08,4.83,2.16
2008-04-30,20.11,23.12,8.85,4.04,2.21
2008-01-31,19.30,22.97,9.27,3.01,2.25
2007-10-31,26.17,36.34,13.54,5.72,3.30
2007-07-31,23.55,33.17,12.53,4.44,3.16
2007-04-30,30.92,40.69,17.19,5.71,4.29
2007-01-31,31.25,45.95,17.94,5.86,4.68
2006-10-31,30.33,42.72,15.73,5.74,4.90
